"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","駅構造","開業年月日","ホーム","所在地","備考","駅番号","電報略号","乗車人員,-統計年度-","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","外部リンク","位置","種類","略称","本社所在地"
"豊後中川駅","豊後中川駅（ぶんごなかがわえき）","https://ja.wikipedia.org/wiki/豊後中川駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯33度17分4.44秒東経131度0分21.20秒","■久大本線[1]","55.3 km（久留米起点）","九州旅客鉄道（JR九州）","地上駅","1934年（昭和9年）11月15日[4]","1面1線[2]","大分県日田市天瀬町合田[2]北緯33度17分4.44秒東経131度0分21.20秒","無人駅[5]","","フハ","30人/日（降車客含まず）-2016年（暦年）[3]-","61人/日-2016年（暦年）[3]-","","","","","","",""
"豊後中村駅","豊後中村駅（ぶんごなかむらえき）","https://ja.wikipedia.org/wiki/豊後中村駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯33度13分33.64秒東経131度12分27.24秒","■久大本線","83.1 km（久留米起点）","九州旅客鉄道（JR九州）","地上駅","1928年（昭和3年）10月28日[2][2][3][4][5]","2面2線[1]","大分県玖珠郡九重町大字右田[1]北緯33度13分33.64秒東経131度12分27.24秒","簡易委託駅[6]","","ナム","77人/日（降車客含まず）-2015年-","162人/日-2015年-","","","","","","",""
"豊後三芳駅","豊後三芳駅（ぶんごみよしえき）","https://ja.wikipedia.org/wiki/豊後三芳駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯33度18分19.68秒東経130度57分6.79秒","■久大本線","49.4 km（久留米起点）","九州旅客鉄道（JR九州）","地上駅","1934年（昭和9年）11月15日[3]","1面1線[1]","大分県日田市大字日高[1]北緯33度18分19.68秒東経130度57分6.79秒","無人駅[4]","","フミ","5人/日（降車客含まず）-2016年[2]-","13人/日-2016年[2]-","","","","","","",""
"豊後森駅","豊後森駅（ぶんごもりえき）","https://ja.wikipedia.org/wiki/豊後森駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯33度16分58.58秒東経131度9分18.89秒","■久大本線","73.2 km（久留米起点）","九州旅客鉄道（JR九州）","地上駅","1929年（昭和4年）12月15日[4][5][6]","2面3線[3]","大分県玖珠郡玖珠町大字帆足245-5[1][2]北緯33度16分58.58秒東経131度9分18.89秒","業務委託駅[2]","","フモ","338人/日（降車客含まず）-2016年-","","","","","","","",""
"分水駅","分水駅（ぶんすいえき）","https://ja.wikipedia.org/wiki/分水駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯37度37分45.4秒東経138度50分22.8秒","■越後線","41.5 km（柏崎起点）","東日本旅客鉄道（JR東日本）","地上駅","1912年（大正元年）12月28日[1]","2面2線[1]","新潟県燕市分水桜町一丁目1-20[1]北緯37度37分45.4秒東経138度50分22.8秒﻿ / ﻿北緯37.629278度 東経138.839667度﻿ /37.629278; 138.839667﻿ (分水駅)座標:北緯37度37分45.4秒東経138度50分22.8秒﻿ / ﻿北緯37.629278度 東経138.839667度﻿ /37.629278; 138.839667﻿ (分水駅)","業務委託駅みどりの窓口有[1]","","フンチト（地蔵堂駅時代）","453人/日（降車客含まず）-2019年-","","","","","","","",""
"平安通駅","平安通駅（へいあんどおりえき）","https://ja.wikipedia.org/wiki/平安通駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯35度11分45秒東経136度55分47秒","名城線","0.8 km（大曽根起点）","名古屋市交通局（名古屋市営地下鉄）","地下駅","1971年（昭和46年）12月20日","2面2線（名城線）1面2線（上飯田線）","名古屋市北区平安通一丁目15北緯35度11分45秒東経136度55分47秒﻿ / ﻿北緯35.19583度 東経136.92972度﻿ /35.19583; 136.92972座標:北緯35度11分45秒東経136度55分47秒﻿ / ﻿北緯35.19583度 東経136.92972度﻿ /35.19583; 136.92972","","M11","","6,272人/日（降車客含まず）-2019年-","12,149[1]人/日-2019年-","","","","","","",""
"ベイサイド・ステーション駅","ベイサイド・ステーション駅","https://ja.wikipedia.org/wiki/ベイサイド・ステーション駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯35度37分40.6秒東経139度52分35.1秒","ディズニーリゾートライン","1.8 km（リゾートゲートウェイ・ステーション起点）","舞浜リゾートライン","高架駅","2001年（平成13年）7月27日[1]","1面1線","千葉県浦安市舞浜北緯35度37分40.6秒東経139度52分35.1秒﻿ / ﻿北緯35.627944度 東経139.876417度﻿ /35.627944; 139.876417﻿ (ベイサイド・ステーション駅)座標:北緯35度37分40.6秒東経139度52分35.1秒﻿ / ﻿北緯35.627944度 東経139.876417度﻿ /35.627944; 139.876417﻿ (ベイサイド・ステーション駅)","","","","7,792人/日（降車客含まず）-2018年-","","","","","","","",""
"平城駅","平城駅（へいじょうえき）","https://ja.wikipedia.org/wiki/平城駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯34度42分5.7秒東経135度47分6.14秒","B京都線","33.5 km（京都起点）","近畿日本鉄道（近鉄）","地上駅（地下駅舎）","1928年（昭和3年）11月3日","2面2線","奈良県奈良市山陵町宮の前269-12北緯34度42分5.7秒東経135度47分6.14秒﻿ / ﻿北緯34.701583度 東経135.7850389度﻿ /34.701583; 135.7850389﻿ (平城駅)座標:北緯34度42分5.7秒東経135度47分6.14秒﻿ / ﻿北緯34.701583度 東経135.7850389度﻿ /34.701583; 135.7850389﻿ (平城駅)",""," B25 ","ヘイ","（全日）1,549[1]人/日（降車客含まず）-2019年-","","","","","","","",""
"平成駅","平成駅（へいせいえき）","https://ja.wikipedia.org/wiki/平成駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯32度46分54.05秒東経130度42分13.70秒","■豊肥本線","145.3 km（大分起点）","九州旅客鉄道（JR九州）","地上駅[1]","1992年（平成4年）7月15日[3]","2面2線[1]","熊本市中央区平成二丁目[1][2]北緯32度46分54.05秒東経130度42分13.70秒","業務委託駅[2]","","ヘセ","1,199人/日（降車客含まず）-2019年-","","","","","","","",""
"平田駅 (岩手県)","平田駅 (岩手県)（へいたえき・三陸鉄道南リアス線）","https://ja.wikipedia.org/wiki/平田駅_(岩手県)","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯39度14分44.36秒東経141度53分9.35秒","リアス線","33.1 km（盛起点）","三陸鉄道","高架駅","1984年（昭和59年）4月1日","1面1線","岩手県釜石市大字平田北緯39度14分44.36秒東経141度53分9.35秒座標:北緯39度14分44.36秒 東経141度53分9.35秒","無人駅","","ヘタ","15人/日（降車客含まず）-2019-","","","","","","","",""
"平津駅","平津駅（へいづえき）","https://ja.wikipedia.org/wiki/平津駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯35度1分42.18秒東経136度37分8.14秒","三岐線","4.1 km（富田起点）","三岐鉄道","地上駅","1931年（昭和6年）7月23日[1]","1面2線","三重県四日市市平津町385-2北緯35度1分42.18秒東経136度37分8.14秒﻿ / ﻿北緯35.0283833度 東経136.6189278度﻿ /35.0283833; 136.6189278座標:北緯35度1分42.18秒東経136度37分8.14秒﻿ / ﻿北緯35.0283833度 東経136.6189278度﻿ /35.0283833; 136.6189278","","","ヘツ","183人/日（降車客含まず）-2019年-","","","","","","","",""
"平和駅","平和駅（へいわえき）","https://ja.wikipedia.org/wiki/平和駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯43度2分48.68秒東経141度26分19.11秒","■千歳線","54.4 km（沼ノ端起点）","北海道旅客鉄道（JR北海道）","地上駅","1986年（昭和61年）11月1日[2]","1面2線","札幌市白石区平和通16丁目北[1]北緯43度2分48.68秒東経141度26分19.11秒﻿ / ﻿北緯43.0468556度 東経141.4386417度﻿ /43.0468556; 141.4386417﻿ (平和駅)座標:北緯43度2分48.68秒東経141度26分19.11秒﻿ / ﻿北緯43.0468556度 東経141.4386417度﻿ /43.0468556; 141.4386417﻿ (平和駅)","札幌市内駅業務委託駅みどりの窓口有","○H04","ヘワ","2,804人/日（降車客含まず）-2019年-","","","","","","","",""
"平和公園停留場","平和公園停留場（へいわこうえんていりゅうじょう）","https://ja.wikipedia.org/wiki/平和公園停留場","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯32度46分27.51秒東経129度51分43.23秒","本線（■1号系統・□2号系統・■3号系統）","2.2km（住吉起点）赤迫から2.4 km","長崎電気軌道","地上駅","1933年（昭和8年）12月25日","2面2線","長崎県長崎市松山町3番3号先北緯32度46分27.51秒東経129度51分43.23秒﻿ / ﻿北緯32.7743083度 東経129.8620083度﻿ /32.7743083; 129.8620083﻿ (平和公園停留場)","","19","","1,935人/日（降車客含まず）-2015年-","","","","","","","",""
"平和島駅","平和島駅（へいわじまえき）","https://ja.wikipedia.org/wiki/平和島駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯35度34分44.6秒東経139度44分6秒","■本線","5.7 km（品川駅起点）","京浜急行電鉄（京急）","高架駅","1901年（明治34年）2月1日","2面4線","東京都大田区大森北六丁目13-11北緯35度34分44.6秒東経139度44分6秒﻿ / ﻿北緯35.579056度 東経139.73500度﻿ /35.579056; 139.73500座標:北緯35度34分44.6秒東経139度44分6秒﻿ / ﻿北緯35.579056度 東経139.73500度﻿ /35.579056; 139.73500","1961年、学校裏駅から改称。","KK08","","","48,639人/日-2019年-","","","","","","",""
"平和台駅 (千葉県)","平和台駅 (千葉県)（へいわだいえき・流鉄流山線）","https://ja.wikipedia.org/wiki/平和台駅_(千葉県)","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯35度51分3秒東経139度54分4秒","■流山線","5.1 km（馬橋起点）","流鉄","地上駅","1933年（昭和8年）4月1日[1]","1面1線","千葉県流山市流山四丁目483番地北緯35度51分3秒東経139度54分4秒﻿ / ﻿北緯35.85083度 東経139.90111度﻿ /35.85083; 139.90111座標:北緯35度51分3秒東経139度54分4秒﻿ / ﻿北緯35.85083度 東経139.90111度﻿ /35.85083; 139.90111","","RN5","","1,269人/日（降車客含まず）-2018年[統計 1]-","2,629人/日-2018年[統計 1]-","","","","","","",""
"平和台駅 (東京都)","平和台駅 (東京都)（へいわだいえき・東京地下鉄有楽町線・副都心線）","https://ja.wikipedia.org/wiki/平和台駅_(東京都)","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯35度45分28.3秒東経139度39分13.6秒","●[1]有楽町線*●[1]副都心線*","5.4 km（和光市起点）","東京地下鉄（東京メトロ）","地下駅","1983年（昭和58年）6月24日","1面2線","東京都練馬区早宮二丁目17-48北緯35度45分28.3秒東経139度39分13.6秒﻿ / ﻿北緯35.757861度 東経139.653778度﻿ /35.757861; 139.653778座標:北緯35度45分28.3秒東経139度39分13.6秒﻿ / ﻿北緯35.757861度 東経139.653778度﻿ /35.757861; 139.653778","業務委託駅（メトロコマース）","Y04[1]F04[1]","ヘワ","","44,374人/日-2019年-","","","","","","",""
"平和通駅","平和通駅（へいわどおりえき）","https://ja.wikipedia.org/wiki/平和通駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯33度52分59.2秒東経130度52分52.4秒","■小倉線","0.4 km（小倉起点）","北九州高速鉄道（モノレール）","高架駅","1985年（昭和60年）1月9日[1]","1面2線","北九州市小倉北区堺町一丁目北緯33度52分59.2秒東経130度52分52.4秒﻿ / ﻿北緯33.883111度 東経130.881222度﻿ /33.883111; 130.881222座標:北緯33度52分59.2秒東経130度52分52.4秒﻿ / ﻿北緯33.883111度 東経130.881222度﻿ /33.883111; 130.881222","* 1998年（平成10年）4月1日に小倉駅から改称","02","","","6,665人/日-2019年-","","","","","","",""
"平和通一丁目停留場","平和通一丁目停留場（へいわどおりいっちょうめていりゅうじょう）","https://ja.wikipedia.org/wiki/平和通一丁目停留場","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯33度50分51.4秒東経132度46分28.28秒","城北線","2.7 km（古町起点）","伊予鉄道","地上駅","","相対式ホーム2面1線","愛媛県松山市平和通一丁目北緯33度50分51.4秒東経132度46分28.28秒座標:北緯33度50分51.4秒 東経132度46分28.28秒","","15","","","343[1]人/日-2015年-","","","","","","",""
"辺川駅","辺川駅（へがわえき）","https://ja.wikipedia.org/wiki/辺川駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯33度41分40.23秒東経134度26分5.46秒","■牟岐線","64.3 km（徳島起点）","四国旅客鉄道（JR四国）","地上駅","1942年（昭和17年）7月1日","1面1線","徳島県海部郡牟岐町大字橘北緯33度41分40.23秒東経134度26分5.46秒﻿ / ﻿北緯33.6945083度 東経134.4348500度﻿ /33.6945083; 134.4348500座標:北緯33度41分40.23秒東経134度26分5.46秒﻿ / ﻿北緯33.6945083度 東経134.4348500度﻿ /33.6945083; 134.4348500","無人駅","○M23","ヘカ","","18[1]人/日-2019年-","","","","","","",""
"碧海古井駅","碧海古井駅（へきかいふるいえき）","https://ja.wikipedia.org/wiki/碧海古井駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯34度56分14秒東経137度5分27秒","西尾線","5.7 km（新安城起点）","名古屋鉄道","地上駅","1926年（大正15年）7月1日","1面1線","愛知県安城市古井町大久後4-5北緯34度56分14秒東経137度5分27秒﻿ / ﻿北緯34.93722度 東経137.09083度﻿ /34.93722; 137.09083座標:北緯34度56分14秒東経137度5分27秒﻿ / ﻿北緯34.93722度 東経137.09083度﻿ /34.93722; 137.09083","","GN  03 ","","","1,260人/日-2019年-","","","","","","",""
"碧南駅","碧南駅（へきなんえき）","https://ja.wikipedia.org/wiki/碧南駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯34度52分25秒東経136度59分8秒","三河線","39.8km（猿投起点）知立から18.5 km","名古屋鉄道","地上駅","1914年（大正3年）2月5日","1面2線","愛知県碧南市中町五丁目48北緯34度52分25秒東経136度59分8秒﻿ / ﻿北緯34.87361度 東経136.98556度﻿ /34.87361; 136.98556座標:北緯34度52分25秒東経136度59分8秒﻿ / ﻿北緯34.87361度 東経136.98556度﻿ /34.87361; 136.98556","無人駅（駅集中管理システム導入駅）*1954年大浜港から改称","MU  11 ","","","4,031人/日-2019年-","","","","","","",""
