"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","泉質","交通","泉温（,摂氏,）","外部リンク","宿泊施設数","液性の分類","pH","湧出量","浸透圧の分類","総収容人員数","特記事項","年間浴客数","統計年","営業時間","温泉施設数","登録路線","登録回","登録日"
"下田温泉 (富山県)","[下田温泉] 下田温泉 （しもだおんせん）は、 富山県 魚津市 本町2-12-4にある 温泉 である。","https://ja.wikipedia.org/wiki/下田温泉_(富山県)","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯36度48分56.4秒東経137度23分42.2秒","富山県魚津市本町2-12-4","含鉄冷鉱泉","電鉄魚津駅(富山地鉄本線)から徒歩約7分","","","1","","","","","","","","","","","","",""
"みのわ温泉 (存在しないページ)","[みのわ温泉（早月川温泉）]","https://ja.wikipedia.org/w/index.php?title=みのわ温泉&amp;action=edit&amp;redlink=1","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"大岩湯神子温泉","[大岩湯神子温泉] 大岩湯神子温泉 （おおいわゆのみこおんせん）は、 富山県 中新川郡 上市町 湯神子25（旧国 越中国 ）にある 温泉 および一軒宿の名称。大岩川支流の須山川に臨んでいる  。","https://ja.wikipedia.org/wiki/大岩湯神子温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","","富山県中新川郡上市町湯神子25","単純泉","車 -北陸自動車道：立山IC鉄道 -富山地方鉄道本線：上市駅","32°C","大岩湯神子温泉","1","","","","","","","","","","","","",""
"大岩不動の湯","[大岩不動の湯] 大岩不動の湯 （おおいわふどうのゆ）は、 富山県 中新川郡 上市町 大松3  に位置する 温泉 である。富山県公衆浴場組合に加盟している。","https://ja.wikipedia.org/wiki/大岩不動の湯","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯36度40分1秒東経137度23分17秒","富山県中新川郡上市町大松3","ナトリウム・カルシウム - 塩化物・硫酸塩泉","上市町営バス「大岩西」バス停で下車（交通アクセス）","47°C","","","弱アルカリ性","8.2","110 L","低張性","","","","","","","","",""
"新湯","[新湯] 新湯 （しんゆ）は、 富山県 富山市 の 立山カルデラ 内に位置する 池 。池の水は70°Cと極めて高温である。 オパール の一種である玉滴石を産し、「新湯の玉滴石産地」として国の天然記念物となっている  。","https://ja.wikipedia.org/wiki/新湯","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯36度33分17.72秒東経137度34分33.15秒","富山県富山市有峰","","","","","","","","","","","","","","","","","",""
"下の茗温泉","[下の茗温泉] 下の茗温泉 （したのみょうおんせん）は、 富山県 富山市 （旧国 越中国 ）にあった 温泉 。室牧川の東岸に位置し  、温泉宿周辺の妙薬谷に源泉があった  。","https://ja.wikipedia.org/wiki/下の茗温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯36度33分8.4秒東経137度5分39.7秒","富山県富山市八尾町下ノ名","単純温泉","鉄道：高山本線越中八尾駅よりタクシーで約10分","25°C","","0","","","","","","","","","","","","",""
"大長谷温泉","[大長谷温泉] 大長谷温泉 （おおながたんおんせん）は、 富山県 富山市 八尾町杉平 にある 温泉 である。","https://ja.wikipedia.org/wiki/大長谷温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯36度26分0秒東経137度4分58秒","富山県富山市八尾町杉平","アルカリ性単純温泉","八尾コミュニティバス 「大長谷温泉」バス停（交通アクセス）","38.7°C","","","アルカリ性","8.61","17","低張性","","","","","","","","",""
"高天原温泉","[高天原温泉] 高天原温泉 （たかまがはらおんせん）は、 富山県 富山市 有峰 黒部谷割にある 温泉 。","https://ja.wikipedia.org/wiki/高天原温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯36度26分43秒 東経137度35分06秒","富山県富山市有峰黒部谷割","単純硫黄泉（硫化水素型）","有峰林道終点折立下車後徒歩","","","1","","","","","50 人/日","","","","","","","",""
"立山山麓温泉 (存在しないページ)","[立山山麓温泉]","https://ja.wikipedia.org/w/index.php?title=立山山麓温泉&amp;action=edit&amp;redlink=1","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"粟巣野温泉 (存在しないページ)","[粟巣野温泉（森の風立山）]","https://ja.wikipedia.org/w/index.php?title=粟巣野温泉&amp;action=edit&amp;redlink=1","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"牛岳温泉 (存在しないページ)","[牛岳温泉]","https://ja.wikipedia.org/w/index.php?title=牛岳温泉&amp;action=edit&amp;redlink=1","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"呉羽山温泉","[呉羽山温泉] 呉羽山温泉 （くれはやまおんせん）は、かつて 富山県 富山市 にあった 温泉 。富山県初で唯一の「 ヘルスセンター 」として出発し、大人だけでなく、子どもたちも学校からの遠足や夏休みの児童会イベントなどに多く訪れる場所であった。 射水線 の 八ヶ山駅 が北側にあり、呉羽山のハイキングコースの終点としても利用されていた。付属施設として、遊園地、ゲームセンター、プールや大浴場を備えていた。","https://ja.wikipedia.org/wiki/呉羽山温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯36度42分24秒東経137度10分52秒","富山県富山市","単純温泉","空路 -富山空港鉄道 -JR西日本北陸新幹線、高山本線：富山駅車 -北陸自動車道：富山西IC、富山IC","18°C","","","","","","","","","","","","","","",""
"鯰温泉","[鯰温泉] 鯰温泉 （なまずおんせん）は、 富山県 富山市 （旧国 越中国 ）にある 温泉 。","https://ja.wikipedia.org/wiki/鯰温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯36度45分0秒東経137度11分40秒","富山県富山市今市","鉄泉、塩化物泉","鉄道：北陸新幹線富山駅よりバスで約20分","17、29","鯰温泉","1","","","","","","","","","","","","",""
"音川温泉","[音川温泉] 音川温泉 （おとがわおんせん）は、 富山県 富山市 婦中町牛滑（旧国 越中国 ）にあった 温泉 。","https://ja.wikipedia.org/wiki/音川温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯36度36分45.6秒東経137度4分32秒","富山県富山市婦中町牛滑","単純温泉","鉄道：高山本線千里駅よりタクシーで約15分","35°C","","1","","","","","","","","","","","","",""
"山田温泉 (富山県)","[山田温泉] 山田温泉 （やまだおんせん）は、 富山県 富山市 （旧国 越中国 ）にある 温泉 、また当地で温泉旅館を運営していた会社。温泉名は、かつての村名（ 山田村 ）に由来する。近くには 牛岳温泉スキー場 が存在する。","https://ja.wikipedia.org/wiki/山田温泉_(富山県)","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯36度34分38.1秒東経137度4分44.7秒","富山県富山市山田湯","食塩泉","鉄道 :北陸新幹線富山駅よりバスで約50分。または、高山本線越中八尾駅よりタクシーで約10分","44°C","越中山田温泉 玄猿楼","1","","","","","","","","","","","","",""
"亀谷温泉","[亀谷温泉] 亀谷温泉 （かめがいおんせん）は、 富山県 富山市 亀谷に位置する 温泉 である。","https://ja.wikipedia.org/wiki/亀谷温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯36度33分59秒東経137度23分26秒","富山県富山市亀谷","単純硫黄泉","有峰口駅から徒歩15分（交通アクセス）","32.0°C","","1","アルカリ性","9.83","毎分110リットル","低張性","103 人/日","","","","","","","",""
"春日温泉 (富山県)","[春日温泉] 春日温泉 （かすがおんせん）は、 富山県 富山市 春日に位置する 温泉 である。 神通峡春日温泉 とも言われる。","https://ja.wikipedia.org/wiki/春日温泉_(富山県)","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯36度33分42秒東経137度12分7秒","富山県富山市春日","ナトリウム-炭酸水素塩-塩化物泉など","富山地鉄バス・笹津春日温泉バス停（交通アクセス）","","","2","弱アルカリ性","8.3","","","","","","","","","","",""
"水橋温泉","[水橋温泉] 水橋温泉 （みずはしおんせん）は、 富山県 富山市 水橋中村栄町に位置する 温泉 である。 ごくらくの湯 という名の日帰り温泉として営業している。","https://ja.wikipedia.org/wiki/水橋温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯36度45分22秒東経137度18分37秒","富山県富山市水橋中村栄町","ナトリウム-塩化物泉","水橋駅（交通アクセス）","55.5°C","","0","中性","","720リットル毎分","低張性","","","","","","","","",""
"神通峡岩稲温泉","[神通峡岩稲温泉] 神通峡岩稲温泉 （じんづうきょういわいねおんせん）は、 富山県 富山市 岩稲 に位置する 温泉 である。単に 岩稲温泉 と言われることもある  。","https://ja.wikipedia.org/wiki/神通峡岩稲温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯36度32分49秒東経137度13分38秒","富山県富山市岩稲","ナトリウム-炭酸水素塩-塩化物泉","富山地鉄バス・岩稲温泉楽今日館前（交通アクセス）","31.7°C","","1","弱アルカリ性","8.3","40L","低張性","50 人/日","","100,706人","2011年","","","","",""
"長八温泉","[長八温泉] 長八温泉 （ちょうはちおんせん）は、 富山県 富山市 上袋 にある 温泉 である。","https://ja.wikipedia.org/wiki/長八温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯36度39分40秒東経137度12分54秒","富山県富山市上袋548","アルカリ性単純温泉","富山地方鉄道上滝線朝菜町駅から徒歩10分（交通アクセス）","39.0°C","","","アルカリ性","8.90","458","低張性","","","","","","","","",""
"法林寺温泉","[法林寺温泉] 法林寺温泉 （ほうりんじおんせん）は、 富山県 南砺市 （旧国 越中国 ）にある 温泉 。","https://ja.wikipedia.org/wiki/法林寺温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯36度34分3.2秒東経136度50分16秒","富山県南砺市法林寺4944","ナトリウム-硫酸塩・塩化物泉","鉄道：JR城端線福光駅よりタクシーで約7分。JR北陸本線森本駅より車で約30分車:北陸自動車道小矢部ICより車で15分。東海北陸自動車道福光ICより車で15分駐車場有。バス:南砺市営バス井波福光線・土山線 (土・日・祝運休) 法林寺温泉下車。","46.8°C","法林寺温泉","1","","8.90","毎分38L","","50 人/日","","","","","","","",""
"寺尾温泉","[寺尾温泉] 寺尾温泉 （てらおおんせん）は、 富山県 砺波市 （旧国 越中国 ）にある 温泉 。","https://ja.wikipedia.org/wiki/寺尾温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯36度36分1.3秒東経137度1分22.1秒","富山県砺波市井栗谷","硫黄泉","鉄道：城端線砺波駅よりバスで約20分","10°C","寺尾温泉","1","","","","","","","","","","","","",""
"林道温泉","[林道温泉] 林道温泉 （りんどうおんせん）は、かつて 富山県 南砺市 林道にあった 温泉 。","https://ja.wikipedia.org/wiki/林道温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯36度29分35.2秒東経136度54分43.9秒","富山県南砺市林道","単純二酸化炭素泉","鉄道：城端線城端駅よりタクシーで約5分自動車：東海北陸自動車道福光インターチェンジで降りる","12.8°C","","1(休業中)","","","","","","","","","","","","",""
"福光華山温泉","[福光華山温泉] ふくみつ華山温泉 （ふくみつはなやまおんせん）は、 富山県 南砺市 川西にある 温泉旅館 。単に 華山温泉 とも呼ばれる。","https://ja.wikipedia.org/wiki/福光華山温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯36度34分20.5秒東経136度51分29.4秒","富山県南砺市川西588-1","塩化物泉（ナトリウム）","鉄道：JR城端線福光駅より車で約8分、金沢駅より車で約30分バス：西日本JRバス名金線「華山温泉前」停留所下車","44℃","ふくみつ華山温泉","1","弱アルカリ性","8.2","約130L/分","","","","","","","","","",""
