"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","開業年月日","駅構造","所在地","ホーム","備考","電報略号","乗車人員,-統計年度-","駅番号","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","乗車人員,-統計年次-","駅数","開業","標高","標高差"
"浦山駅","浦山駅（うらやまえき）","https://ja.wikipedia.org/wiki/浦山駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯36度51分49.32秒東経137度31分9.34秒","■本線","44.3 km（電鉄富山起点）","富山地方鉄道","1922年（大正11年）11月5日","地上駅","富山県黒部市宇奈月町浦山623-2北緯36度51分49.32秒東経137度31分9.34秒﻿ / ﻿北緯36.8637000度 東経137.5192611度﻿ /36.8637000; 137.5192611﻿ (浦山駅)座標:北緯36度51分49.32秒東経137度31分9.34秒﻿ / ﻿北緯36.8637000度 東経137.5192611度﻿ /36.8637000; 137.5192611﻿ (浦山駅)","島式1面2線","","","","T35","255人/日-2019年-","","","","","","",""
"浦山口駅","浦山口駅（うらやまぐちえき）","https://ja.wikipedia.org/wiki/浦山口駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯35度57分50.52秒東経139度3分30.68秒","■秩父本線","63.8 km（羽生起点）","秩父鉄道","1930年（昭和5年）3月15日","地上駅","埼玉県秩父市荒川久那字平沢3895北緯35度57分50.52秒東経139度3分30.68秒﻿ / ﻿北緯35.9640333度 東経139.0585222度﻿ /35.9640333; 139.0585222座標:北緯35度57分50.52秒東経139度3分30.68秒﻿ / ﻿北緯35.9640333度 東経139.0585222度﻿ /35.9640333; 139.0585222","1面1線","","ウラ","83人/日（降車客含まず）-2019年-","","149人/日-2019年-","","","","","","",""
"浦和駅","浦和駅（うらわえき）","https://ja.wikipedia.org/wiki/浦和駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯35度51分30.57秒東経139度39分26.83秒","■宇都宮線[※ 1]（東北本線列車線）","24.2 km（東京起点）東京から尾久経由で24.4 km","東日本旅客鉄道（JR東日本）","1883年（明治16年）7月28日","高架駅","埼玉県さいたま市浦和区高砂一丁目16-12北緯35度51分30.57秒東経139度39分26.83秒","3面6線","直営駅（管理駅）みどりの窓口有","ウラ","95,865人/日（降車客含まず）-2019年-","JU05","","","","","","","",""
"浦和美園駅","浦和美園駅（うらわみそのえき）","https://ja.wikipedia.org/wiki/浦和美園駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯35度53分37.82秒東経139度43分39.67秒","■埼玉高速鉄道線（埼玉スタジアム線）","14.6 km（赤羽岩淵起点）","埼玉高速鉄道","2001年（平成13年）3月28日","地上駅（橋上駅）","さいたま市緑区美園四丁目12番地北緯35度53分37.82秒東経139度43分39.67秒﻿ / ﻿北緯35.8938389度 東経139.7276861度﻿ /35.8938389; 139.7276861﻿ (浦和美園駅)座標:北緯35度53分37.82秒東経139度43分39.67秒﻿ / ﻿北緯35.8938389度 東経139.7276861度﻿ /35.8938389; 139.7276861﻿ (浦和美園駅)","2面2線","","","11,220人/日（降車客含まず）-2019年-","SR26","","","","","","","",""
"瓜連駅","瓜連駅（うりづらえき）","https://ja.wikipedia.org/wiki/瓜連駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯36度29分53.0秒東経140度26分59.3秒","■水郡線","16.7 km（水戸起点）","東日本旅客鉄道（JR東日本）","1918年（大正7年）6月12日","地上駅（橋上駅）","茨城県那珂市瓜連北緯36度29分53.0秒東経140度26分59.3秒","1面2線","簡易委託駅","ウリ","261人/日（降車客含まず）-2019年-","","","","","","","","",""
"蔚山町停留場","蔚山町停留場（うるさんまちていりゅうじょう）","https://ja.wikipedia.org/wiki/蔚山町停留場","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","","上熊本線（■B系統）","1.1km（辛島町起点）健軍町から8.0 km","熊本市交通局","1929年（昭和4年）6月20日","地上駅","","2面2線","","","","□B6","737[1]人/日-2015年-","","","","","","",""
"漆山駅 (山形県)","漆山駅（うるしやまえき）","https://ja.wikipedia.org/wiki/漆山駅_(山形県)","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯38度18分51.84秒東経140度20分51.32秒","■奥羽本線（山形線）","94.9 km（福島起点）","東日本旅客鉄道（JR東日本）","1902年（明治35年）11月1日","地上駅","山形県山形市大字漆山北緯38度18分51.84秒東経140度20分51.32秒座標:北緯38度18分51.84秒 東経140度20分51.32秒","2面2線","無人駅","ウル","224人/日（降車客含まず）-2004年-","","","","","","","","",""
"上挙母駅","上挙母駅（うわごろもえき）","https://ja.wikipedia.org/wiki/上挙母駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯35度4分19秒東経137度9分17秒","三河線","7.4km（猿投起点）知立から13.9 km","名古屋鉄道","1920年（大正9年）8月31日","地上駅","愛知県豊田市金谷町二丁目96北緯35度4分19秒東経137度9分17秒﻿ / ﻿北緯35.07194度 東経137.15472度﻿ /35.07194; 137.15472座標:北緯35度4分19秒東経137度9分17秒﻿ / ﻿北緯35.07194度 東経137.15472度﻿ /35.07194; 137.15472","島式 1面2線","無人駅（駅集中管理システム導入駅）","","","MY  06 ","4,792人/日-2019年[1]-","","","","","","",""
"宇和島駅","宇和島駅（うわじまえき）","https://ja.wikipedia.org/wiki/宇和島駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯33度13分32.8秒東経132度34分2.9秒","■予讃線（■予土線直通含む）","297.6 km（高松起点）","四国旅客鉄道（JR四国）","1914年（大正3年）10月18日","地上駅","愛媛県宇和島市錦町10-1北緯33度13分32.8秒東経132度34分2.9秒﻿ / ﻿北緯33.225778度 東経132.567472度﻿ /33.225778; 132.567472座標:北緯33度13分32.8秒東経132度34分2.9秒﻿ / ﻿北緯33.225778度 東経132.567472度﻿ /33.225778; 132.567472","2面3線","直営駅（管理駅）みどりの窓口有","ウワ","1,290人/日（降車客含まず）-2018年-","○U28○G47","2,580人/日-2018年-","","","","","","",""
"蔵王中央ロープウェイ","上の台駅（うわのだいえき）","https://ja.wikipedia.org/wiki/蔵王中央ロープウェイ","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯38度10分13.9秒東経140度24分6.2秒","","","","","","〒990-2301山形県山形市蔵王温泉川原708-1","","","","","","","","","","","","1,661 m - 780 m","881 m"
"運河駅","運河駅（うんがえき）","https://ja.wikipedia.org/wiki/運河駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯35度54分52.7秒東経139度54分21秒","■野田線（東武アーバンパークライン）","33.2 km（大宮起点）","東武鉄道","1911年（明治44年）5月9日","地上駅（橋上駅）","千葉県流山市東深井字赤土405番地北緯35度54分52.7秒東経139度54分21秒﻿ / ﻿北緯35.914639度 東経139.90583度﻿ /35.914639; 139.90583座標:北緯35度54分52.7秒東経139度54分21秒﻿ / ﻿北緯35.914639度 東経139.90583度﻿ /35.914639; 139.90583","2面3線","","ウカ","","TD19","21,875人/日-2019年-","","","","","","",""
"YOKOHAMA AIR CABIN","運河パーク駅（うんがパークえき）","https://ja.wikipedia.org/wiki/YOKOHAMA_AIR_CABIN","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","","","","","","","横浜市中区","","","","","","","","","","2駅","2021年4月22日[1]","",""
"雲州平田駅","雲州平田駅（うんしゅうひらたえき）","https://ja.wikipedia.org/wiki/雲州平田駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯35度25分56.31秒東経132度49分25.12秒","北松江線","10.9 km（電鉄出雲市起点）","一畑電車","1914年（大正3年）4月29日","地上駅","島根県出雲市平田町2226北緯35度25分56.31秒東経132度49分25.12秒座標:北緯35度25分56.31秒 東経132度49分25.12秒","2面3線","","","572人/日（降車客含まず）-2018年-","9","1,144人/日-2018年-","","","","","","",""
"別府ラクテンチケーブル線","雲泉寺駅（うんせんじえき）","https://ja.wikipedia.org/wiki/別府ラクテンチケーブル線","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","","","","","","","","","","","","","","","","","2駅","1929年9月21日 (1929-09-21)","",""
"運動公園駅 (群馬県)","運動公園駅 (群馬県)（うんどうこうえんえき・わたらせ渓谷鐵道わたらせ渓谷線）","https://ja.wikipedia.org/wiki/運動公園駅_(群馬県)","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯36度25分13.83秒東経139度18分3.15秒","■わたらせ渓谷線","4.2 km（桐生起点）","わたらせ渓谷鐵道","1989年（平成元年）3月29日","地上駅","群馬県桐生市相生町三丁目246北緯36度25分13.83秒東経139度18分3.15秒﻿ / ﻿北緯36.4205083度 東経139.3008750度﻿ /36.4205083; 139.3008750座標:北緯36度25分13.83秒東経139度18分3.15秒﻿ / ﻿北緯36.4205083度 東経139.3008750度﻿ /36.4205083; 139.3008750","1面1線","","コエ","","WK04","68人/日-2019年-","","","","","","",""
"運動公園駅 (宮崎県)","運動公園駅 (宮崎県)（うんどうこうえんえき・九州旅客鉄道日南線）","https://ja.wikipedia.org/wiki/運動公園駅_(宮崎県)","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯31度49分11.13秒東経131度26分33.3秒","日南線","9.0 km（南宮崎起点）","九州旅客鉄道（JR九州）","1984年（昭和59年）3月18日[1]","地上駅","宮崎県宮崎市大字熊野[1]北緯31度49分11.13秒東経131度26分33.3秒﻿ / ﻿北緯31.8197583度 東経131.442583度﻿ /31.8197583; 131.442583座標:北緯31度49分11.13秒東経131度26分33.3秒﻿ / ﻿北緯31.8197583度 東経131.442583度﻿ /31.8197583; 131.442583","1面1線[1]","無人駅[1]（自動券売機 有）","ウコ","31人/日（降車客含まず）-2015年-","","","","","","","","",""
"運動公園前駅","運動公園前駅（うんどうこうえんまええき・弘南鉄道弘南線）","https://ja.wikipedia.org/wiki/運動公園前駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯40度35分22.64秒東経140度30分8.38秒","弘南線","2.1 km（弘前起点）","弘南鉄道","1977年（昭和52年）9月10日","地上駅","青森県弘前市大字豊田2丁目4-91北緯40度35分22.64秒東経140度30分8.38秒﻿ / ﻿北緯40.5896222度 東経140.5023278度﻿ /40.5896222; 140.5023278座標:北緯40度35分22.64秒東経140度30分8.38秒﻿ / ﻿北緯40.5896222度 東経140.5023278度﻿ /40.5896222; 140.5023278","1面1線","無人駅","","","","247人/日-2017年-","","","","","","",""
"運動公園前停留場","運動公園前停留場（うんどうこうえんまえていりゅうじょう・豊橋鉄道東田本線）","https://ja.wikipedia.org/wiki/運動公園前停留場","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯34度45分30.86秒東経137度25分20.43秒","東田本線（支線）","0.6km（井原起点）駅前から4.7 km","豊橋鉄道","1982年（昭和57年）7月31日","地上駅","愛知県豊橋市岩田町・豊岡町北緯34度45分30.86秒東経137度25分20.43秒﻿ / ﻿北緯34.7585722度 東経137.4223417度﻿ /34.7585722; 137.4223417座標:北緯34度45分30.86秒東経137度25分20.43秒﻿ / ﻿北緯34.7585722度 東経137.4223417度﻿ /34.7585722; 137.4223417","1面1線","","",""," 14 ","","","","","","","",""
"頴娃駅","頴娃駅（えいえき）","https://ja.wikipedia.org/wiki/頴娃駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯31度13分45.31秒東経130度30分1.02秒","指宿枕崎線","66.1 km（鹿児島中央起点）","九州旅客鉄道（JR九州）","1960年（昭和35年）3月22日","地上駅","鹿児島県南九州市頴娃町郡97北緯31度13分45.31秒東経130度30分1.02秒","1面1線","無人駅","エイ","4人/日（降車客含まず）-2015年-","","9人/日-2015年-","","","","","","",""
"頴娃大川駅","頴娃大川駅（えいおおかわえき）","https://ja.wikipedia.org/wiki/頴娃大川駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯31度15分28.38秒東経130度24分48.37秒","指宿枕崎線","76.0 km（鹿児島中央起点）","九州旅客鉄道（JR九州）","1963年（昭和38年）10月31日","地上駅","鹿児島県南九州市頴娃町別府7154北緯31度15分28.38秒東経130度24分48.37秒﻿ / ﻿北緯31.2578833度 東経130.4134361度﻿ /31.2578833; 130.4134361﻿ (頴娃大川駅)","1面1線","無人駅","エオ","7人/日（降車客含まず）-2015年-","","15人/日-2015年-","","","","","","",""
"江井ヶ島駅","江井ヶ島駅（えいがしまえき）","https://ja.wikipedia.org/wiki/江井ヶ島駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","","本線","23.5 km（西代起点）","山陽電気鉄道","1923年（大正12年）8月19日[1][2]","地上駅[1]","","2面2線[1]","無人駅[1]","","2,422人/日（降車客含まず）-2017年-","●SY 22","","","","","","","",""
"永犬丸駅","永犬丸駅（えいのまるえき）","https://ja.wikipedia.org/wiki/永犬丸駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯33度50分19.61秒東経130度44分16.85秒","筑豊電気鉄道線","4.5 km（黒崎駅前起点）","筑豊電気鉄道","1956年（昭和31年）3月25日","地上駅","北九州市八幡西区里中一丁目324-3北緯33度50分19.61秒東経130度44分16.85秒","2面2線","無人駅","","","CK 08","1,183人/日-2019年-","","","","","","",""
"永福町駅","永福町駅（えいふくちょうえき）","https://ja.wikipedia.org/wiki/永福町駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯35度40分33.5秒東経139度38分36.9秒","■井の頭線","6.0 km（渋谷起点）","京王電鉄","1933年（昭和8年）8月1日","地上駅（橋上駅）","東京都杉並区永福二丁目60番31号北緯35度40分33.5秒東経139度38分36.9秒﻿ / ﻿北緯35.675972度 東経139.643583度﻿ /35.675972; 139.643583座標:北緯35度40分33.5秒東経139度38分36.9秒﻿ / ﻿北緯35.675972度 東経139.643583度﻿ /35.675972; 139.643583","2面4線","","","","IN09","33,308人/日-2019年-","","","","","","",""
"永平寺口駅","永平寺口駅（えいへいじぐちえき）","https://ja.wikipedia.org/wiki/永平寺口駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯36度5分45秒東経136度19分36秒","■勝山永平寺線","10.9 km（福井起点）","えちぜん鉄道","1914年（大正3年）2月11日","地上駅","福井県吉田郡永平寺町東古市9-85-2北緯36度5分45秒東経136度19分36秒﻿ / ﻿北緯36.09583度 東経136.32667度﻿ /36.09583; 136.32667座標:北緯36度5分45秒東経136度19分36秒﻿ / ﻿北緯36.09583度 東経136.32667度﻿ /36.09583; 136.32667","2面3線","有人駅","","","○E12","435人/日-2019年-","","","","","","",""
