"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","所在地","駅構造","開業年月日","ホーム","駅番号","備考","電報略号","乗車人員,-統計年度-","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","種類","本社所在地","設立","業種","法人番号"
"新栄町駅 (愛知県)","新栄町駅 (愛知県)（しんさかえまちえき・名古屋市営地下鉄東山線）","https://ja.wikipedia.org/wiki/新栄町駅_(愛知県)","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯35度10分15秒東経136度55分12秒","東山線","10.1 km（高畑起点）","名古屋市交通局（名古屋市営地下鉄）","名古屋市東区葵一丁目19-23北緯35度10分15秒東経136度55分12秒﻿ / ﻿北緯35.17083度 東経136.92000度﻿ /35.17083; 136.92000座標:北緯35度10分15秒東経136度55分12秒﻿ / ﻿北緯35.17083度 東経136.92000度﻿ /35.17083; 136.92000","地下駅","1960年（昭和35年）6月15日[2]","2面2線","H11","","","15,074人/日（降車客含まず）-2019年-","30,505[1]人/日-2019年-","","","","","","",""
"新栄町駅 (福岡県)","新栄町駅 (福岡県)（しんさかえまちえき・西鉄天神大牟田線）","https://ja.wikipedia.org/wiki/新栄町駅_(福岡県)","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯33度2分18.44秒東経130度26分58.56秒","■天神大牟田線","73.7 km（西鉄福岡（天神）起点）","西日本鉄道","福岡県大牟田市新栄町北緯33度2分18.44秒東経130度26分58.56秒﻿ / ﻿北緯33.0384556度 東経130.4496000度﻿ /33.0384556; 130.4496000座標:北緯33度2分18.44秒東経130度26分58.56秒﻿ / ﻿北緯33.0384556度 東経130.4496000度﻿ /33.0384556; 130.4496000","地上駅","1970年（昭和45年）4月28日[注釈 1]","1面2線","T  49 ","","","","4,262人/日-2019年-","","","","","","",""
"新桜台駅","新桜台駅（しんさくらだいえき）","https://ja.wikipedia.org/wiki/新桜台駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯35度44分26.8秒東経139度40分5.9秒","■西武有楽町線","1.4km（練馬起点）小竹向原から1.2 km","西武鉄道","東京都練馬区桜台一丁目28-11北緯35度44分26.8秒東経139度40分5.9秒﻿ / ﻿北緯35.740778度 東経139.668306度﻿ /35.740778; 139.668306﻿ (新桜台駅)座標:北緯35度44分26.8秒東経139度40分5.9秒﻿ / ﻿北緯35.740778度 東経139.668306度﻿ /35.740778; 139.668306﻿ (新桜台駅)","地下駅","1983年（昭和58年）10月1日","2面2線","SI38","","","","9,923人/日-2019年-","","","","","","",""
"新さっぽろ駅","新さっぽろ駅（しんさっぽろえき・札幌市営地下鉄東西線）","https://ja.wikipedia.org/wiki/新さっぽろ駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯43度2分20.1秒東経141度28分26.2秒","札幌市営地下鉄東西線","20.1 km（宮の沢起点）","札幌市交通局","札幌市厚別区厚別中央2条5丁目北緯43度2分20.1秒東経141度28分26.2秒﻿ / ﻿北緯43.038917度 東経141.473944度﻿ /43.038917; 141.473944座標:北緯43度2分20.1秒東経141度28分26.2秒﻿ / ﻿北緯43.038917度 東経141.473944度﻿ /43.038917; 141.473944","地下駅","1982年（昭和57年）3月21日[1]","1面2線","○T19","駅スタンプあり[2]","","20,581人/日（降車客含まず）-2019年-","","■新札幌駅（○H05）","","","","","",""
"新札幌駅","新札幌駅（しんさっぽろえき・北海道旅客鉄道千歳線）","https://ja.wikipedia.org/wiki/新札幌駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯43度2分19.64秒東経141度28分20.89秒","■千歳線","51.5 km（沼ノ端起点）","北海道旅客鉄道（JR北海道）","札幌市厚別区厚別中央2条5丁目6番1号北緯43度2分19.64秒東経141度28分20.89秒﻿ / ﻿北緯43.0387889度 東経141.4724694度﻿ /43.0387889; 141.4724694座標:北緯43度2分19.64秒東経141度28分20.89秒﻿ / ﻿北緯43.0387889度 東経141.4724694度﻿ /43.0387889; 141.4724694","高架駅","1973年（昭和48年）9月9日[1]","2面2線","○H05","札幌市内駅直営駅（管理駅）みどりの窓口有話せる券売機設置駅[2]","シン","14,421人/日（降車客含まず）-2019年-","","新さっぽろ駅（○T19）","","","","","",""
"新狭山駅","新狭山駅（しんさやまえき）","https://ja.wikipedia.org/wiki/新狭山駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯35度52分26.4秒東経139度26分0.5秒","■新宿線","41.3 km（西武新宿起点）","西武鉄道","埼玉県狭山市新狭山三丁目北緯35度52分26.4秒東経139度26分0.5秒﻿ / ﻿北緯35.874000度 東経139.433472度﻿ /35.874000; 139.433472﻿ (新狭山駅)座標:北緯35度52分26.4秒東経139度26分0.5秒﻿ / ﻿北緯35.874000度 東経139.433472度﻿ /35.874000; 139.433472﻿ (新狭山駅)","地上駅（橋上駅）","1964年（昭和39年）11月15日","2面2線","SS27","","","","20,559人/日-2019年-","","","","","","",""
"新三田駅","新三田駅（しんさんだえき）","https://ja.wikipedia.org/wiki/新三田駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯34度54分36.4秒東経135度12分30.07秒","G福知山線（JR宝塚線）","36.9km（尼崎起点）大阪から44.6 km","西日本旅客鉄道（JR西日本）","兵庫県三田市福島字道野上[1]北緯34度54分36.4秒東経135度12分30.07秒﻿ / ﻿北緯34.910111度 東経135.2083528度﻿ /34.910111; 135.2083528座標:北緯34度54分36.4秒東経135度12分30.07秒﻿ / ﻿北緯34.910111度 東経135.2083528度﻿ /34.910111; 135.2083528","地上駅[1][2]","1986年（昭和61年）11月1日[1][2]","2面4線[1][2]","JR-G62","直営駅[1]みどりの窓口有","シサ","13,991人/日（降車客含まず）-2019年-","","","","","","","",""
"宍道駅","宍道駅（しんじえき）","https://ja.wikipedia.org/wiki/宍道駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯35度24分24.86秒東経132度54分33.4秒","D山陰本線","368.9 km（京都起点）","西日本旅客鉄道（JR西日本）","島根県松江市宍道町宍道908北緯35度24分24.86秒東経132度54分33.4秒﻿ / ﻿北緯35.4069056度 東経132.909278度﻿ /35.4069056; 132.909278座標:北緯35度24分24.86秒東経132度54分33.4秒﻿ / ﻿北緯35.4069056度 東経132.909278度﻿ /35.4069056; 132.909278","地上駅","1909年（明治42年）11月7日","2面3線","","直営駅みどりの券売機プラス設置駅木次線は朝の1本のみ松江駅まで乗り入れ","シン","600人/日（降車客含まず）-2018年-","","","","","","","",""
"新静岡駅","新静岡駅（しんしずおかえき）","https://ja.wikipedia.org/wiki/新静岡駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯34度58分32.94秒東経138度23分14.51秒","S静岡清水線","0.0 km（新静岡起点）","静岡鉄道","静岡市葵区鷹匠一丁目１番１号北緯34度58分32.94秒東経138度23分14.51秒﻿ / ﻿北緯34.9758167度 東経138.3873639度﻿ /34.9758167; 138.3873639座標:北緯34度58分32.94秒東経138度23分14.51秒﻿ / ﻿北緯34.9758167度 東経138.3873639度﻿ /34.9758167; 138.3873639","地上駅","1908年（明治41年）12月9日","櫛形 2面3線","S 01","","","11,070人/日（降車客含まず）-2006年-","19,242人/日-2006年-","CA  17 静岡駅（JR東海）","","","","","",""
"新芝浦駅","新芝浦駅（しんしばうらえき）","https://ja.wikipedia.org/wiki/新芝浦駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯35度29分30秒東経139度42分0.9秒","■鶴見線（海芝浦支線）","0.9 km（浅野起点）鶴見から3.9 km","東日本旅客鉄道（JR東日本）日本貨物鉄道（JR貨物）","横浜市鶴見区末広町二丁目北緯35度29分30秒東経139度42分0.9秒﻿ / ﻿北緯35.49167度 東経139.700250度﻿ /35.49167; 139.700250﻿ (新芝浦駅)","地上駅","1932年（昭和7年）6月10日[1]","2面2線","JI51","無人駅（乗車駅証明書発行機 有）横浜市内駅","シシ←シシウ","362人/日（降車客含まず）-2008年-","","","","","","","",""
"新柴又駅","新柴又駅（しんしばまたえき）","https://ja.wikipedia.org/wiki/新柴又駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯35度45分4.2秒東経139度52分46秒","■北総線","1.3 km（京成高砂起点）","北総鉄道","東京都葛飾区柴又五丁目7-1北緯35度45分4.2秒東経139度52分46秒﻿ / ﻿北緯35.751167度 東経139.87944度﻿ /35.751167; 139.87944座標:北緯35度45分4.2秒東経139度52分46秒﻿ / ﻿北緯35.751167度 東経139.87944度﻿ /35.751167; 139.87944","高架駅","1991年（平成3年）3月31日[1]","2面2線","HS01","","","2,465人/日（降車客含まず）-2019年-","4,862人/日-2019年-","","","","","","",""
"新島々駅","新島々駅（しんしましまえき）","https://ja.wikipedia.org/wiki/新島々駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯36度11分23.3秒東経137度49分18.3秒","上高地線","14.4 km（松本起点）","アルピコ交通","長野県松本市波田赤松3050-1北緯36度11分23.3秒東経137度49分18.3秒﻿ / ﻿北緯36.189806度 東経137.821750度﻿ /36.189806; 137.821750﻿ (新島々駅)座標:北緯36度11分23.3秒東経137度49分18.3秒﻿ / ﻿北緯36.189806度 東経137.821750度﻿ /36.189806; 137.821750﻿ (新島々駅)","地上駅","1924年（大正11年）9月26日","1面2線[1]","AK-14","自動券売機設置1985年まで1.3km先に島々駅あり","","258人/日（降車客含まず）-2017年-","649人/日-2017年-","","","","","","",""
"新清水駅","新清水駅（しんしみずえき）","https://ja.wikipedia.org/wiki/新清水駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯35度1分1.37秒東経138度29分15.93秒","S静岡清水線","11.0 km（新静岡起点）","静岡鉄道","静岡市清水区相生町2-28北緯35度1分1.37秒東経138度29分15.93秒﻿ / ﻿北緯35.0170472度 東経138.4877583度﻿ /35.0170472; 138.4877583座標:北緯35度1分1.37秒東経138度29分15.93秒﻿ / ﻿北緯35.0170472度 東経138.4877583度﻿ /35.0170472; 138.4877583","地上駅","1908年（明治41年）5月8日","櫛形 3面2線","S 15","","","3,031人/日（降車客含まず）-2018年-","6,392人/日-2018年-","CA  14 清水駅（JR東海、徒歩10分）","","","","","",""
"下田ロープウェイ","新下田駅（しんしもだえき）","https://ja.wikipedia.org/wiki/下田ロープウェイ#路線概要","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","","","","","","","","","","","","","","","","株式会社","日本〒415-0035静岡県下田市東本郷1-3-2","1961年（昭和36年）4月1日","陸運業","4080101014508"
"新下関駅","新下関駅（しんしものせきえき）","https://ja.wikipedia.org/wiki/新下関駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯34度0分20.5秒東経130度56分55.7秒","■山陽新幹線","536.1km（新大阪起点）東京から1088.7 km","西日本旅客鉄道（JR西日本）日本貨物鉄道（JR貨物）","山口県下関市秋根南町一丁目11-1北緯34度0分20.5秒東経130度56分55.7秒﻿ / ﻿北緯34.005694度 東経130.948806度﻿ /34.005694; 130.948806座標:北緯34度0分20.5秒東経130度56分55.7秒﻿ / ﻿北緯34.005694度 東経130.948806度﻿ /34.005694; 130.948806","高架駅（新幹線）地上駅（在来線）","1901年（明治34年）5月27日","2面3線（新幹線）2面2線（在来線）","","直営駅みどりの窓口有みどりの券売機 有","シセイヤ（長門一ノ宮駅時代）","4,934人/日（降車客含まず）-2019年-","","","","","","","",""
"信州中野駅","信州中野駅（しんしゅうなかのえき）","https://ja.wikipedia.org/wiki/信州中野駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯36度44分40.0秒東経138度21分53.6秒","長野線","25.6 km（長野起点）","長野電鉄","長野県中野市西一丁目[1]1番1号北緯36度44分40.0秒東経138度21分53.6秒﻿ / ﻿北緯36.744444度 東経138.364889度﻿ /36.744444; 138.364889座標:北緯36度44分40.0秒東経138度21分53.6秒﻿ / ﻿北緯36.744444度 東経138.364889度﻿ /36.744444; 138.364889","地上駅（橋上駅）[1]","1923年（大正12年）3月26日[1]","3面4線[1]","N19","終日駅員配置駅[1]標高：376m[1]","シナ[1]","1,532人/日（降車客含まず）-2017年-","","","","","","","",""
"新宿駅","新宿駅（しんじゅくえき）","https://ja.wikipedia.org/wiki/新宿駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","","","","東日本旅客鉄道（JR東日本・駅詳細）京王電鉄小田急電鉄（駅詳細）東京地下鉄（東京メトロ・駅詳細）東京都交通局（都営地下鉄）","東京都新宿区・渋谷区","","","","","","","","","西武新宿駅（西武鉄道新宿線）[注釈 1]新宿西口駅（都営地下鉄大江戸線）[注釈 1]","","","","","",""
"新宿御苑前駅","新宿御苑前駅（しんじゅくぎょえんまええき）","https://ja.wikipedia.org/wiki/新宿御苑前駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯35度41分18.9秒東経139度42分38.5秒","●[1]丸ノ内線","15.6 km（池袋起点）","東京地下鉄（東京メトロ）","東京都新宿区新宿一丁目8-1北緯35度41分18.9秒東経139度42分38.5秒﻿ / ﻿北緯35.688583度 東経139.710694度﻿ /35.688583; 139.710694﻿ (新宿御苑前駅)座標:北緯35度41分18.9秒東経139度42分38.5秒﻿ / ﻿北緯35.688583度 東経139.710694度﻿ /35.688583; 139.710694﻿ (新宿御苑前駅)","地下駅","1959年（昭和34年）3月15日","2面2線","M10[1]","","エン","","54,912人/日-2019年-","","","","","","",""
"新宿三丁目駅","新宿三丁目駅（しんじゅくさんちょうめえき）","https://ja.wikipedia.org/wiki/新宿三丁目駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","","●[1]東京メトロ丸ノ内線","16.3 km（池袋起点）","東京地下鉄（東京メトロ）東京都交通局（都営地下鉄）","","地下駅","1959年（昭和34年）3月15日","2面4線（東京メトロ）1面2線（東京都交通局）","M09[1]","","シサ（東京メトロ）三（東京都交通局、駅名略称）","","（東京メトロ）-2019年-165,247人/日（東京都交通局）-2019年-74,576人/日","","","","","","",""
