"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","所在地","駅構造","開業年月日","ホーム","備考","駅番号","電報略号","乗車人員,-統計年度-","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","乗車人員,-統計年次-","標高","標高差","最長滑走距離","最大傾斜"
"津南駅","津南駅（つなんえき）","https://ja.wikipedia.org/wiki/津南駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","","■飯山線","57.9 km（豊野起点）","東日本旅客鉄道（JR東日本）","","地上駅","1927年（昭和2年）8月1日[1]","1面1線[1]","簡易委託駅[1]*1968年に越後外丸駅から改称[2]。","","ツナエト←ヱト（改称前）","76人/日（降車客含まず）-2019年-","","","","","","","",""
"常澄駅","常澄駅（つねずみえき）","https://ja.wikipedia.org/wiki/常澄駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯36度20分26.98秒東経140度33分31.62秒","大洗鹿島線","8.3 km（水戸起点）","鹿島臨海鉄道","茨城県水戸市塩崎町3300-2北緯36度20分26.98秒東経140度33分31.62秒﻿ / ﻿北緯36.3408278度 東経140.5587833度﻿ /36.3408278; 140.5587833座標:北緯36度20分26.98秒東経140度33分31.62秒﻿ / ﻿北緯36.3408278度 東経140.5587833度﻿ /36.3408278; 140.5587833","高架駅","1985年（昭和60年）3月14日","1面2線","無人駅","","","368人/日（降車客含まず）-2019年-","","","","","","","",""
"常山駅","常山駅（つねやまえき）","https://ja.wikipedia.org/wiki/常山駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯34度31分53.43秒東経133度53分33.9秒","L宇野線（宇野みなと線）","24.1km（岡山起点）茶屋町から9.2 km","西日本旅客鉄道（JR西日本）","岡山県玉野市宇藤木714番地2北緯34度31分53.43秒東経133度53分33.9秒﻿ / ﻿北緯34.5315083度 東経133.892750度﻿ /34.5315083; 133.892750﻿ (常山駅)","地上駅","1939年（昭和14年）1月1日","1面1線","無人駅（自動券売機 有）","JR-L12","ツネ","435人/日（降車客含まず）-2019年-","","","","","","","",""
"都農駅","都農駅（つのえき）","https://ja.wikipedia.org/wiki/都農駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯32度15分3.24秒東経131度34分5.46秒","日豊本線","298.7 km（小倉起点）","九州旅客鉄道（JR九州）","宮崎県児湯郡都農町大字川北3641-2[1][2]北緯32度15分3.24秒東経131度34分5.46秒","地上駅","1921年（大正10年）6月11日[1]","1面2線[1]","簡易委託駅","","ツノ","345人/日（降車客含まず）-2019年-","","","","","","","",""
"津ノ井駅","津ノ井駅（つのいえき）","https://ja.wikipedia.org/wiki/津ノ井駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯35度27分40.82秒東経134度14分55.52秒","B因美線","4.3 km（鳥取起点）","西日本旅客鉄道（JR西日本）","鳥取県鳥取市津ノ井字向上砂田271北緯35度27分40.82秒東経134度14分55.52秒","地上駅","1919年（大正8年）12月20日","1面2線","簡易委託駅POS端末設置","","ノイ","577人/日（降車客含まず）-2019年-","","","","","","","",""
"角川駅","角川駅（つのがわえき）","https://ja.wikipedia.org/wiki/角川駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯36度18分0.50秒東経137度6分48.52秒","CG高山本線","161.7 km（岐阜起点）","東海旅客鉄道（JR東海）","岐阜県飛騨市河合町小無雁北緯36度18分0.50秒東経137度6分48.52秒","地上駅","1934年（昭和9年）10月25日[1]","1面1線[1]","無人駅[1]","","ツノ","18人/日（降車客含まず）-2019年-","","","","","","","",""
"都野津駅","都野津駅（つのづえき）","https://ja.wikipedia.org/wiki/都野津駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯34度59分22.82秒東経132度11分15.54秒","D山陰本線","458.7 km（京都起点）","西日本旅客鉄道（JR西日本）","島根県江津市都野津町都野津2270北緯34度59分22.82秒東経132度11分15.54秒﻿ / ﻿北緯34.9896722度 東経132.1876500度﻿ /34.9896722; 132.1876500﻿ (都野津駅)","地上駅","1920年（大正9年）12月25日","2面2線","無人駅（自動券売機 有）","","ツノ","171人/日（降車客含まず）-2018年-","","","","","","","",""
"津ノ森駅","津ノ森駅（つのもりえき）","https://ja.wikipedia.org/wiki/津ノ森駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯35度27分59.36秒東経132度55分7.52秒","北松江線","21.2 km（電鉄出雲市起点）","一畑電車","島根県松江市大野町117-3北緯35度27分59.36秒東経132度55分7.52秒座標:北緯35度27分59.36秒 東経132度55分7.52秒","地上駅","1928年（昭和3年）4月5日","1面2線","","15","","71人/日（降車客含まず）-2018年-","151人/日-2018年-","","","","","","",""
"椿駅","椿駅（つばきえき）","https://ja.wikipedia.org/wiki/椿駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯33度36分35.42秒東経135度24分13.76秒","W紀勢本線（きのくに線）","267.3km（亀山起点）新宮から87.1 km","西日本旅客鉄道（JR西日本）","和歌山県西牟婁郡白浜町椿330-4北緯33度36分35.42秒東経135度24分13.76秒座標:北緯33度36分35.42秒 東経135度24分13.76秒","地上駅","1935年（昭和10年）3月29日[1]","2面2線","無人駅*1965年に紀伊椿駅から改称。","","ツハ","15人/日（降車客含まず）-2019年-","","","","","","","",""
"津幡駅","津幡駅（つばたえき）","https://ja.wikipedia.org/wiki/津幡駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯36度39分27.72秒東経136度43分49.28秒","■IRいしかわ鉄道線（IRいしかわ鉄道）","11.5 km（金沢起点）米原から188.2 km","IRいしかわ鉄道西日本旅客鉄道（JR西日本）","石川県河北郡津幡町字南中条チ7北緯36度39分27.72秒東経136度43分49.28秒﻿ / ﻿北緯36.6577000度 東経136.7303556度﻿ /36.6577000; 136.7303556座標:北緯36度39分27.72秒東経136度43分49.28秒﻿ / ﻿北緯36.6577000度 東経136.7303556度﻿ /36.6577000; 136.7303556","地上駅","1898年（明治31年）11月1日","2面4線","共同使用駅（IRいしかわ鉄道の管轄駅）直営駅みどりの窓口有","","ツハ","（IRいしかわ）-2019年-2,475人/日（降車客含まず）（JR西日本）-2019年-4,517人/日（降車客含まず）","","","","","","","",""
"燕駅","燕駅（つばめえき）","https://ja.wikipedia.org/wiki/燕駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯37度40分2.93秒東経138度55分42.46秒","■弥彦線","10.3 km（弥彦起点）","東日本旅客鉄道（JR東日本）","新潟県燕市燕（本町）[1]2北緯37度40分2.93秒東経138度55分42.46秒","地上駅","1922年（大正11年）4月20日[1]","2面2線[1]","業務委託駅[1]みどりの窓口有[1]","","ハメ","914人/日（降車客含まず）-2019年-","","","","","","","",""
"燕三条駅","燕三条駅（つばめさんじょうえき）","https://ja.wikipedia.org/wiki/燕三条駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯37度38分56.5秒東経138度56分21.7秒","上越新幹線","263.5 km（大宮起点）東京から293.8 km","東日本旅客鉄道（JR東日本）","新潟県三条市下須頃[1]497*北緯37度38分56.5秒東経138度56分21.7秒﻿ / ﻿北緯37.649028度 東経138.939361度﻿ /37.649028; 138.939361座標:北緯37度38分56.5秒東経138度56分21.7秒﻿ / ﻿北緯37.649028度 東経138.939361度﻿ /37.649028; 138.939361","高架駅（新幹線）[1]地上駅[1]（橋上駅）（在来線）","1982年（昭和57年）11月15日[1]","2面3線（新幹線）[1]1面1線（在来線）[1]","直営駅(新幹線）無人駅(在来線）[1]みどりの窓口有[1]","","ハサ","2,215人/日（降車客含まず）-2019年-","","","","","","","",""
"津福駅","津福駅（つぶくえき）","https://ja.wikipedia.org/wiki/津福駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯33度17分50.09秒東経130度29分54.03秒","■天神大牟田線","41.4 km（西鉄福岡（天神）起点）","西日本鉄道","福岡県久留米市津福本町北緯33度17分50.09秒東経130度29分54.03秒﻿ / ﻿北緯33.2972472度 東経130.4983417度﻿ /33.2972472; 130.4983417座標:北緯33度17分50.09秒東経130度29分54.03秒﻿ / ﻿北緯33.2972472度 東経130.4983417度﻿ /33.2972472; 130.4983417","地上駅","1921年（大正10年）11月1日","1面2線","業務委託駅","T  30 ","","","2,485人/日-2019年-","","","","","","",""
"坪井駅","坪井駅（つぼいえき）","https://ja.wikipedia.org/wiki/坪井駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯35度3分43.42秒東経133度52分38.46秒","K姫新線","98.3 km（姫路起点）","西日本旅客鉄道（JR西日本）","岡山県津山市中北上北緯35度3分43.42秒東経133度52分38.46秒﻿ / ﻿北緯35.0620611度 東経133.8773500度﻿ /35.0620611; 133.8773500﻿ (坪井駅)","地上駅","1923年（大正12年）8月21日","2面2線","無人駅","","ツホ","24人/日（降車客含まず）-2019年-","","","","","","","",""
"坪井川公園駅","坪井川公園駅（つぼいがわこうえんえき）","https://ja.wikipedia.org/wiki/坪井川公園駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯32度49分17.04秒東経130度43分7.23秒","■菊池線","2.6 km（上熊本起点）","熊本電気鉄道","熊本県熊本市中央区坪井六丁目374北緯32度49分17.04秒東経130度43分7.23秒﻿ / ﻿北緯32.8214000度 東経130.7186750度﻿ /32.8214000; 130.7186750座標:北緯32度49分17.04秒東経130度43分7.23秒﻿ / ﻿北緯32.8214000度 東経130.7186750度﻿ /32.8214000; 130.7186750","地上駅","1995年（平成7年）1月9日","1面1線","無人駅","KD05","","","192人/日-2018年-","","","","","","",""
"壺川駅","壺川駅（つぼがわえき）","https://ja.wikipedia.org/wiki/壺川駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯26度12分21.04秒東経127度40分42.06秒","■沖縄都市モノレール線（ゆいレール）","4.6 km（那覇空港起点）","沖縄都市モノレール","沖縄県那覇市壺川三丁目106北緯26度12分21.04秒東経127度40分42.06秒﻿ / ﻿北緯26.2058444度 東経127.6783500度﻿ /26.2058444; 127.6783500座標:北緯26度12分21.04秒東経127度40分42.06秒﻿ / ﻿北緯26.2058444度 東経127.6783500度﻿ /26.2058444; 127.6783500","高架駅","2003年（平成15年）8月10日[1][2]","2面2線","","5","","1,284人/日（降車客含まず）-2020年-","","","","","","","",""
"壺阪山駅","壺阪山駅（つぼさかやまえき）","https://ja.wikipedia.org/wiki/壺阪山駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯34度26分59.26秒東経135度47分41.76秒","F吉野線","3.9km（橿原神宮前起点）大阪阿部野橋から43.6 km","近畿日本鉄道（近鉄）","奈良県高市郡高取町観覚寺886北緯34度26分59.26秒東経135度47分41.76秒﻿ / ﻿北緯34.4497944度 東経135.7949333度﻿ /34.4497944; 135.7949333座標:北緯34度26分59.26秒東経135度47分41.76秒﻿ / ﻿北緯34.4497944度 東経135.7949333度﻿ /34.4497944; 135.7949333","地上駅","1923年（大正12年）12月5日","2面3線",""," F45 ","ツホ","677人/日（降車客含まず）-2018年-","","","","","","","",""
"坪尻駅","坪尻駅（つぼじりえき）","https://ja.wikipedia.org/wiki/坪尻駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯34度3分14.53秒東経133度49分25.23秒","■土讃線","32.1 km（多度津起点）","四国旅客鉄道（JR四国）","徳島県三好市池田町西山北緯34度3分14.53秒東経133度49分25.23秒﻿ / ﻿北緯34.0540361度 東経133.8236750度﻿ /34.0540361; 133.8236750﻿ (坪尻駅)","地上駅","1950年（昭和25年）1月10日","1面1線","無人駅","○D19","ツリ","","2[1]人/日-2019年-","","","","","","",""
"妻崎駅","妻崎駅（つまざきえき）","https://ja.wikipedia.org/wiki/妻崎駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯33度58分13.75秒東経131度12分9.31秒","■小野田線","2.5km（居能起点）宇部新川から4.3 km","西日本旅客鉄道（JR西日本）","山口県宇部市大字東須恵字浜田2973北緯33度58分13.75秒東経131度12分9.31秒﻿ / ﻿北緯33.9704861度 東経131.2025861度﻿ /33.9704861; 131.2025861座標:北緯33度58分13.75秒東経131度12分9.31秒﻿ / ﻿北緯33.9704861度 東経131.2025861度﻿ /33.9704861; 131.2025861","地上駅","1929年（昭和4年）5月16日","1面2線","無人駅","","ツサ","22人/日（降車客含まず）-2019年-","","","","","","","",""
"津守駅","津守駅（つもりえき）","https://ja.wikipedia.org/wiki/津守駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯34度38分48.09秒東経135度29分0.67秒","■高野線（汐見橋線）","2.6 km（汐見橋起点）","南海電気鉄道","大阪市西成区津守一丁目10番18号北緯34度38分48.09秒東経135度29分0.67秒﻿ / ﻿北緯34.6466917度 東経135.4835194度﻿ /34.6466917; 135.4835194座標:北緯34度38分48.09秒東経135度29分0.67秒﻿ / ﻿北緯34.6466917度 東経135.4835194度﻿ /34.6466917; 135.4835194","地上駅","1913年（大正2年）2月21日","2面2線","無人駅","NK 06-2","ツモ","","","","774人/日-2019年-","","","","",""
"津谷駅","津谷駅（つやえき）","https://ja.wikipedia.org/wiki/津谷駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯38度44分15.51秒東経140度11分11.64秒","■陸羽西線","12.9 km（新庄起点）","東日本旅客鉄道（JR東日本）","山形県最上郡戸沢村大字津谷151北緯38度44分15.51秒東経140度11分11.64秒座標:北緯38度44分15.51秒 東経140度11分11.64秒","地上駅","1914年（大正3年）9月6日","1面1線","無人駅","","ツヤ","43人/日（降車客含まず）-2004年-","","","","","","","",""
"津山駅","津山駅（つやまえき）","https://ja.wikipedia.org/wiki/津山駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯35度3分17.10秒東経134度0分10.85秒","K姫新線（B因美線直通含む）","86.3 km（姫路起点）","西日本旅客鉄道（JR西日本）","岡山県津山市大谷178北緯35度3分17.10秒東経134度0分10.85秒","地上駅","1923年（大正12年）8月21日","2面4線","直営駅（管理駅）みどりの窓口有","","ツヤ","1,973人/日（降車客含まず）-2019年-","","","","","","","",""
"津山口駅","津山口駅（つやまぐちえき）","https://ja.wikipedia.org/wiki/津山口駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯35度3分16.57秒東経133度58分58.20秒","T津山線","56.8 km（岡山起点）","西日本旅客鉄道（JR西日本）","岡山県津山市津山口北緯35度3分16.57秒東経133度58分58.20秒","地上駅","1898年（明治31年）12月21日","1面1線","無人駅*1923年に津山駅から改称。","","ツク","15人/日（降車客含まず）-2019年-","","","","","","","",""
