"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","面積","最高標高","所在海域","海岸線長","所属諸島","最高峰","人口","都道府県","場所","最大都市","主要な島","時間帯","市町村","諸島","島数","人口密度","言語","郡"
"度島","[度島- 3.57km2[11] 度島 （たくしま）は、 長崎県 平戸市 に属する 島 。","https://ja.wikipedia.org/wiki/度島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯33度26分18.7秒東経129度31分26.9秒","日本長崎県平戸市","3.47km²","103m","","12.0km","","","","","","","","","","","","","",""
"嵯峨ノ島","[嵯峨ノ島- 3.16km2[11] 嵯峨ノ島 （さがのしま）は、 五島列島 の 福江島 の北西約4km、 東シナ海 にある 島 である。 長崎県 五島市 に属する。 2010年 国勢調査 時点では人口161人で、集落中心部を除く島のほぼ全域が 西海国立公園 特別保護地区、または同公園特別地域である。 カトリック教会 と 念仏踊り 「 オーモンデー 」が同居する島でもある    。","https://ja.wikipedia.org/wiki/嵯峨ノ島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯32度43分36秒東経128度35分53秒","日本（長崎県五島市）","3.16km²","151m","東シナ海","9.5km","五島列島","男岳","","","","","","","","","","","",""
"有福島","[有福島- 2.97km2[11] 有福島 （ありふくじま）は、 五島列島 を構成する島の一つである。行政区分は、 長崎県 南松浦郡 新上五島町 に属する。","https://ja.wikipedia.org/wiki/有福島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","","日本（長崎県南松浦郡新上五島町）","2.97km²","","","10km","五島列島","","","","","","","","","","","","",""
"高島 (長崎県佐世保市)","[高島- 2.67km2[11] 高島 （たかしま）は、 長崎県 北部の 北松浦半島 の南西の海上にある島。全島が 佐世保市 に属する。","https://ja.wikipedia.org/wiki/高島_(長崎県佐世保市)","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯33度10分39.7秒東経129度35分13.9秒","日本（長崎県佐世保市）","2.56km²","136.0m","","","なし（九十九島のひとつ）","番岳","","","","","","","","","","","",""
"沖ノ島 (長崎県対馬市)","[沖ノ島- 2.62km2[11] 沖ノ島 （おきのしま）は 長崎県 対馬市 にある島である。","https://ja.wikipedia.org/wiki/沖ノ島_(長崎県対馬市)","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯34度20分48秒東経129度23分53秒","日本長崎県対馬市","2.66km²","118.7m","","","","","","","","","","","","","","","",""
"江島 (長崎県)","[江島- 2.58km2[11] 江島 （えのしま）は、 長崎県 の 西彼杵半島 西方沖にある 島 。全島が 西海市 （ 2005年 3月31日 までは 西彼杵郡 崎戸町 ）に属する。本項では同区域にかつて存在した 西彼杵郡 江島村 （えのしまそん）についても述べる。","https://ja.wikipedia.org/wiki/江島_(長崎県)","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯33度0分17.3秒 東経129度20分53.9秒","日本長崎県西海市","2.60km²","121.8m","","9.6km","","","","","","","","","","","","","",""
"男島 (長崎県)","[男島- 2.50km2[11] 男島 （おしま）とは、 五島列島 の南西に位置する 男女群島 を構成する島のひとつである。 長崎県 五島市 に属する。","https://ja.wikipedia.org/wiki/男島_(長崎県)","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯32度02分44秒東経128度23分43秒","日本（長崎県五島市）","2.7km²","225m","太平洋・東シナ海","","男女群島","","","","","","","","","","","","",""
"樺島","[樺島- 2.32km2[11] 樺島 （かばしま）は、 九州 西部の 長崎半島 の南、 天草灘 上に位置する 島 である。全島が 長崎県 長崎市 に属する。","https://ja.wikipedia.org/wiki/樺島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯32度33分45秒 東経129度46分59秒","日本（長崎県長崎市）","2.22km²","","天草灘","","","","","","","","","","","","","","",""
"串島","[串島- 1.94km2[11] 串島 （くしじま）は 長崎県 南松浦郡 新上五島町 にある島である。","https://ja.wikipedia.org/wiki/串島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯32度57分25秒東経128度59分13秒","日本長崎県南松浦郡新上五島町","1.94km²","","","","五島列島","","","","","","","","","","","","",""
"頭ヶ島","[頭ヶ島- 1.86km2[11] 頭ヶ島 （かしらがしま）は、 長崎県 五島列島 の 中通島 の東にある 島 である。全島が長崎県 南松浦郡 新上五島町 に属する。","https://ja.wikipedia.org/wiki/頭ヶ島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯33度0分44.1秒東経129度11分12.6秒","日本（長崎県南松浦郡新上五島町）","1.88km²","","五島灘","","五島列島","","","","","","","","","","","","",""
"牧島 (長崎県)","[牧島- 1.62km2[11] 牧島 （まきしま）は 長崎県 長崎市 にある島である。","https://ja.wikipedia.org/wiki/牧島_(長崎県)","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯32度45分06秒東経129度58分29秒","日本長崎県長崎市","1.62km²","","","","","","","","","","","","","","","","",""
"斑島","[斑島- 1.58km2[11] 斑島 （まだらじま  ）は、 長崎県 北松浦郡 小値賀町 の島  。 小値賀火山島群 のひとつである  。","https://ja.wikipedia.org/wiki/斑島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯33度12分22.8秒東経129度1分15.8秒","日本（長崎県北松浦郡小値賀町）","1.571.61km²","126m","","5.58km","","金比羅岳","","","","","","","","","","","",""
"ツブラ島","[ツブラ島- 1.47km2[11] ツブラ島 （つぶらじま）とは、 長崎県 五島市 にある無人島である。以前は人が住んでいた。","https://ja.wikipedia.org/wiki/ツブラ島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯32度46分7.09秒東経128度57分36.81秒","日本","1.47km²","276m","東シナ海","","","","","","","","","","","","","","",""
"黄島 (長崎県)","[黄島- 1.39km2[11] 黄島 （おうしま）は、 長崎県 五島市 にある島である。","https://ja.wikipedia.org/wiki/黄島_(長崎県)","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯32度33分58秒東経128度53分59秒","日本長崎県五島市","1.38km²","91.5m","","6.5km","五島列島","","","","","","","","","","","","",""
"日島","[日島- 1.37km2[11] 日島 （ひのしま）は、 長崎県 五島列島 の 若松島 の北西に位置する 島 である。全島が長崎県 南松浦郡 新上五島町 に属する。","https://ja.wikipedia.org/wiki/日島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯32度55分28.4秒東経128度57分46.8秒","日本（長崎県南松浦郡新上五島町）","1.39km²","（バンヤノ峠）244m","","","五島列島","","","","","","","","","","","","",""
"寺島 (長崎県佐世保市)","[寺島- 1.30km2[11] 寺島 （てらしま）とは、 長崎県 佐世保市 にある有人島である。島名は、 宇久島 の東光寺の寺領だったことに由来するという。古くは「手羅島」「照島」とも記されている。","https://ja.wikipedia.org/wiki/寺島_(長崎県佐世保市)","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯33度15分1.2秒東経129度4分8.22秒","日本（長崎県佐世保市）","1.27km²","38m","東シナ海","8.8km","五島列島","","","","","","","","","","","","",""
"祝言島","[祝言島- 1.28km2[11] 祝言島 （しゅうげんじま）は 長崎県 南松浦郡 新上五島町 にある島である。","https://ja.wikipedia.org/wiki/祝言島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯33度00分37秒東経129度01分00秒","日本長崎県南松浦郡新上五島町","1.28km²","","","","五島列島","","","","","","","","","","","","",""
"女島 (長崎県)","[女島- 1.22km2[11] 女島 （めしま）とは、 五島列島 の南西に位置する 男女群島 を構成する島のひとつである。 長崎県 五島市 に属する。","https://ja.wikipedia.org/wiki/女島_(長崎県)","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯31度59分53秒東経128度21分03秒","日本（長崎県五島市）","1.22km²","281.3m","太平洋・東シナ海","7.8km","男女群島","高崎山","","","","","","","","","","","",""
"伊王島","[伊王島- 1.21km2[11] 伊王島 （いおうじま）は 長崎県 長崎市 にある島である。","https://ja.wikipedia.org/wiki/伊王島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯32度42分31秒東経129度45分55秒","日本長崎県長崎市","1.21km²","","","","","","","","","","","","","","","","",""
"高島 (長崎県長崎市)","[高島- 1.19km2[11] 高島 （たかしま）は、 九州 北西部の 長崎半島 西沖合にある島。全島が 長崎県 長崎市 （ 2005年 1月3日 までは 西彼杵郡 高島町 ）に属する。","https://ja.wikipedia.org/wiki/高島_(長崎県長崎市)","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯32度39分27秒東経129度45分16秒","日本長崎県長崎市","1.19km²","111.5m","","6.4km","西彼諸島","","","","","","","","","","","","",""
"大島 (長崎県壱岐市)","[大島- 1.17km2[11] 大島 （おおしま）は、 長崎県 壱岐島 の南西に位置する 日本 の島。 壱岐市 に属し、隣接する 原島 ・ 長島 と共に 渡良三島 （わたらさんとう）を構成する。","https://ja.wikipedia.org/wiki/大島_(長崎県壱岐市)","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯33度44分17秒東経129度38分5秒","日本（長崎県）","1.16km²","","玄界灘","8.0km","","","","","","","","","","","","","",""
"黒島 (長崎県五島市)","[黒島- 1.12km2[11] 黒島 （くろしま）は、 長崎県 五島市 にある島である。人口は1人。  ","https://ja.wikipedia.org/wiki/黒島_(長崎県五島市)","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯32度36分1秒東経128度50分5秒","日本長崎県五島市","1.12km²","98.4m","","","五島列島","","","","","","","","","","","","",""
"蠑螺島","[蠑螺島- 1.09km2[11] 蠑螺島 （さざえしま）は、 長崎県 五島市 にある島である。","https://ja.wikipedia.org/wiki/蠑螺島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯32度42分11秒東経128度53分49秒","日本長崎県五島市","1.09km²","","","","五島列島","","","","","","","","","","","","",""
"池島 (長崎県)","[池島- 1.08km2[11] 池島 （いけしま）は、 長崎県 西彼杵半島 の西方約7kmに位置する、いわゆる西彼諸島に属する島。長崎県 長崎市 に属する。","https://ja.wikipedia.org/wiki/池島_(長崎県)","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯32度53分1.8秒東経129度35分44.9秒","日本（長崎県）長崎市","0.9km²","","五島灘","4km","","","","","","","","","","","","","",""
"海栗島","[海栗島] 海栗島 （うにしま）は、 長崎県 対馬市 に所在する 島 。 大韓民国 まで直線距離で約40km。国境の島と言える。面積129,766m 2 、海岸線は約4km。対馬市に所在する6個の有人島のうち、対馬本島と埋め立てや橋梁で地続きとなっていないのはこの島だけである。地名の由来は、良質な ウニ が採れることから。","https://ja.wikipedia.org/wiki/海栗島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯34度42分22.2秒東経129度26分9.7秒","日本（長崎県）","0.129766km²","","日本海（対馬海峡・朝鮮海峡）","約4km","","","","","","","","","","","","","",""
