"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","コース数","標高","標高差","索道数","公式サイト","最大傾斜","最長滑走距離","コース面積","テレインパーク","開業日","運営者","造設地形","旧名","所有者","正式名称","指定管理者","ナイター営業","面積"
"魚沼市営大原スキー場 (存在しないページ)","[魚沼市営大原スキー場（旧 関越国際大原スキー場）]","https://ja.wikipedia.org/w/index.php?title=魚沼市営大原スキー場&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"大湯温泉スキー場","[大湯温泉スキー場] 大湯温泉スキー場 （おおゆおんせんスキーじょう）は、 新潟県 魚沼市 上折立に位置する スキー場 。","https://ja.wikipedia.org/wiki/大湯温泉スキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯37度11分35秒東経139度5分8秒","新潟県魚沼市上折立258-1","4本","約450 m - 約300 m","約150 m","1本","http://www.oyu-uonuma.com/ski/index.html","20度","700 m","","","","","","","","","","",""
"奥只見丸山スキー場","[奥只見丸山スキー場] 奥只見丸山スキー場 （おくただみまるやまスキーじょう）は、 新潟県 魚沼市 湯之谷芋川にある スキー 場。春スキーのメッカといわれる。","https://ja.wikipedia.org/wiki/奥只見丸山スキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯37度9分43秒東経139度14分50秒","新潟県魚沼市湯之谷芋川1317-3","10本","1,242 m - 735 m","507 m","5本","http://okutadami.co.jp/ski/","37度","4,000 m","","キッカー、レールボックス、パイプウェーブ、テーブル","","","","","","","","",""
"ガーラ湯沢スキー場","[GALA湯沢スキー場] ガーラ湯沢スキー場 （ガーラゆざわスキーじょう）は、 新潟県 南魚沼郡 湯沢町 に位置し、 東日本旅客鉄道 （JR東日本）のグループ会社である株式会社ガーラ湯沢が運営する スキー場 。 GALA湯沢スキー場 と表記される場合もある。 1990年 （ 平成 2年） 12月20日 開業  。","https://ja.wikipedia.org/wiki/ガーラ湯沢スキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯36度57分5秒東経138度46分43秒","〒949-6101新潟県南魚沼郡湯沢町湯沢茅平1039-2","16本","1,181 m - 358 m","823 m","11本","公式ウェブサイト","33度","2,500 m","53 ha","ボックス、レール、パイプ、テーブルトップ","1990年12月20日","株式会社ガーラ湯沢","高津倉山","","","","","",""
"神立高原スキー場","[神立高原スキー場（旧 神立高原スキー場→パインリッジリゾート神立スキー場）] 神立スノーリゾート (かんだつスノーリゾート)は、 新潟県 南魚沼郡 湯沢町 にある スキー場 。 バブル景気 到来時の第二次 スキーブーム 期に開業した、日帰り客の集客に注力したスキー場である。旧称神立高原スキー場。","https://ja.wikipedia.org/wiki/神立高原スキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯36度54分41秒東経138度48分45秒","〒949-6102新潟県南魚沼郡湯沢町神立4121-1","15本","1,000 m - 460 m","540 m","5本","kandatsu.com","45度","3,500 m","","","1986年","","","神立高原スキー場パインリッジリゾート神立","","","","",""
"小出スキー場","[小出スキー場] 最高標高地点258 m、最長滑降距離が約1  km 、リフトはペアリフトが3本あり、コンパクトながらも初心者から上級者まで楽しめるレイアウトが取られている。また、特筆すべき点としてオールシーズン シャンツェ （ ジャンプ 台）がゲレンデに隣接しており、春季・秋季でも地域のジャンプ競技大会などに用いられている。スキー場内からは、 越後駒ヶ岳 、 中ノ岳 、 八海山 で構成される 越後三山 を、均整の取れた状態で望むことができるポイントとしても知られている。","https://ja.wikipedia.org/wiki/小出スキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯37度13分40秒東経138度57分10秒","〒946-0043新潟県魚沼市青島1609","8本","258 m - 130 m","128 m","3本","公式ウェブサイト","32度","1,000 m","10 ha","あり","","","","","","","","",""
"国営越後丘陵公園","[国営越後丘陵公園] 国営越後丘陵公園 （こくえいえちごきゅうりょうこうえん）は、 新潟県 長岡市 にある 国営公園 。","https://ja.wikipedia.org/wiki/国営越後丘陵公園","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯37度25分15.3秒東経138度44分37.9秒","日本新潟県長岡市宮本東方町字三ツ又1950番1北緯37度25分15.3秒東経138度44分37.9秒﻿ / ﻿北緯37.420917度 東経138.743861度﻿ /37.420917; 138.743861","","","","","公式ウェブサイト","","","","","","H28-31 国営越後丘陵公園運営維持管理業務公園財団・グリーン産業・ＪＲ東日本コンサルタンツ共同体","","","","","","","約400ha"
"古志高原スキー場 (存在しないページ)","[古志高原スキー場]","https://ja.wikipedia.org/w/index.php?title=古志高原スキー場&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"市営八海山麓スキー場 (存在しないページ)","[市営八海山麓スキー場（旧 八海山麓スキー場）]","https://ja.wikipedia.org/w/index.php?title=市営八海山麓スキー場&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"下条中峰スキー場 (存在しないページ)","[下条中峰スキー場]","https://ja.wikipedia.org/w/index.php?title=下条中峰スキー場&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"シャトー塩沢スキー場 (存在しないページ)","[シャトー塩沢スキー場]","https://ja.wikipedia.org/w/index.php?title=シャトー塩沢スキー場&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"上越国際スキー場","[上越国際スキー場上越国際当間スキー場] 上越国際スキー場 （じょうえつこくさいスキーじょう）は、 新潟県 の 南魚沼市 樺野沢・ 十日町市 当間にまたがって位置する スキー場 である。通称「 上国 （じょうこく）」。","https://ja.wikipedia.org/wiki/上越国際スキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯37度2分0秒東経138度49分0秒","〒949-6431新潟県南魚沼市樺野沢112-1","22本","1,017 m - 200 m","817 m","25本","","38度","6,000 m","380 ha","ボックス、キッカーレール、テーブル、パイプ","1968年","上越観光開発","","","","","","有（2020-2021シーズンは規模縮小）",""
"上越国際スキー場","[上越国際当間スキー場] 上越国際スキー場 （じょうえつこくさいスキーじょう）は、 新潟県 の 南魚沼市 樺野沢・ 十日町市 当間にまたがって位置する スキー場 である。通称「 上国 （じょうこく）」。","https://ja.wikipedia.org/wiki/上越国際スキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯37度2分0秒東経138度49分0秒","〒949-6431新潟県南魚沼市樺野沢112-1","22本","1,017 m - 200 m","817 m","25本","","38度","6,000 m","380 ha","ボックス、キッカーレール、テーブル、パイプ","1968年","上越観光開発","","","","","","有（2020-2021シーズンは規模縮小）",""
"須原スキー場","[須原スキー場] 須原スキー場 （すはらスキーじょう）は、 新潟県 魚沼市 須原に位置する スキー場 。山頂からは 越後駒ヶ岳 、 中ノ岳 、 八海山 の 越後三山 、 守門岳 、 浅草岳 などの山並みが展望でき、初級者向けから上級者向けまで各種コースが揃っている。センターハウスなど食事や休憩施設も整っている。","https://ja.wikipedia.org/wiki/須原スキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯37度19分35秒東経139度0分40秒","〒946-0216新潟県魚沼市須原1846-13","10本","548 m - 202 m","346 m","3本","suhara-ski.com","32度","2,000 m","","","1963年","","","","","","","",""
"舞子スノーリゾート","[舞子スノーリゾート（旧 上田富士スキー場→石打後楽園スキー場→舞子高原後楽園スキー場→舞子後楽園スキー場→セントレジャー舞子スノーリゾート）] 舞子スノーリゾート （まいこスノーリゾート）は、 新潟県 南魚沼市 舞子に位置する上越沿線の スキー場 である。","https://ja.wikipedia.org/wiki/舞子スノーリゾート","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯36度58分56秒東経138度49分28秒","新潟県南魚沼市舞子2056-112","27本","920 m - 260 m","660 m","13本","maiko-resort.com","32度","6,000 m","106 ha","","1959年","","飯士山","石打後楽園スキー場舞子高原後楽園スキー場舞子後楽園スキー場","","","","",""
"高柳ガルルのスキー場","[高柳ガルルのスキー場（旧 高柳スキー場）] 新潟県立こども自然王国 （にいがたけんりつこどもしぜんおうこく）は、 新潟県 柏崎市 にあるこどものための総合施設。","https://ja.wikipedia.org/wiki/高柳ガルルのスキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","〒945-1505新潟県柏崎市高柳町高尾30-33","","","","","公式ウェブサイト","","","","","","","","","","","","",""
"十日町市松代ファミリースキー場","[十日町市松代ファミリースキー場（旧 松代ファミリースキー場）] 十日町市松代ファミリースキー場 （とおかまちしまつだいファミリースキーじょう）は、 新潟県 十日町市 松代に位置する ほくほく線 沿線の市営 スキー場 。松代総合開発・上越観光開発共同事業体が 指定管理者 となっている  。","https://ja.wikipedia.org/wiki/十日町市松代ファミリースキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯37度7分30秒東経138度36分23秒","新潟県十日町市松代5265","3本","380 m - 185 m","195 m","2本","公式ウェブサイト","24度","800 m","5.8 ha","キッカー、レール、ボックス","","松代総合開発・上越観光開発共同事業体（2020年度時点の指定管理者）","","","十日町市","","","",""
