"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","国","所在地","面積","地方","総人口","都道府県","外部リンク","法人番号","人口密度","市町村コード","隣接自治体","市長","市の花","市の木","郡","町長","町の木","町の花","市の鳥"
"紀の川市","[紀の川市（歴史遺産）-粉河寺、青洲の里、旧名手宿本陣、紀伊国分寺跡] 紀の川市 （きのかわし）は、 和歌山県 の北部に位置する 市 である。","https://ja.wikipedia.org/wiki/紀の川市","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯34度16分10.4秒東経135度21分45.2秒","日本","〒649-6492和歌山県紀の川市西大井338番地北緯34度16分10.4秒東経135度21分45.2秒﻿ / ﻿北緯34.269556度 東経135.362556度﻿ /34.269556; 135.362556座標:北緯34度16分10.4秒東経135度21分45.2秒﻿ / ﻿北緯34.269556度 東経135.362556度﻿ /34.269556; 135.362556","228.21km2","近畿地方","58,432人（推計人口、2021年6月1日）","和歌山県","公式ウェブサイト","4000020302082","256人/km2","30208-2","和歌山市、海南市、岩出市、伊都郡かつらぎ町、海草郡紀美野町大阪府：泉南市、泉佐野市、貝塚市、岸和田市","中村愼司","モモ","キンモクセイ","","","","","ウグイス"
"岩出市","[岩出（歴史遺産）-根来寺、西国分塔跡、大庄屋屋敷の増田家住宅・桃井家住宅] 2006年 （平成18年） 4月1日 に 那賀郡 岩出町が市制を施行し発足した。これにより那賀郡は消滅した。 隣接する 紀の川市 よりも人口は少ないものの、 官公庁 施設（ 警察署 ・ 振興局 など）を有し、那賀地域の中心都市でもある。人口は1994年（平成6年）の 関西国際空港 開港に伴う開発で、大幅に増加している。","https://ja.wikipedia.org/wiki/岩出市","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯34度15分22.5秒東経135度18分40.8秒","日本","〒649-6292和歌山県岩出市西野209番地北緯34度15分22.5秒東経135度18分40.8秒﻿ / ﻿北緯34.256250度 東経135.311333度﻿ /34.256250; 135.311333座標:北緯34度15分22.5秒東経135度18分40.8秒﻿ / ﻿北緯34.256250度 東経135.311333度﻿ /34.256250; 135.311333","38.51km2","近畿地方","54,096人（推計人口、2021年6月1日）","和歌山県","公式ウェブサイト","3000020302091","1,405人/km2","30209-1","和歌山市、紀の川市大阪府：泉南市、阪南市","中芝正幸","サクラ","ウバメガシ","","","","",""
"神戸市","[神戸（歴史遺産・保養地） -六甲山、神戸港、旧居留地、重伝建「北野町山本通」、有馬温泉郷、須磨浦。] 神戸市 （こうべし）は、 兵庫県 の南部に位置する 市 。兵庫県の 県庁所在地 で、 政令指定都市 である。","https://ja.wikipedia.org/wiki/神戸市","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯34度41分24.6秒東経135度11分43.6秒","日本","〒650-8570兵庫県神戸市中央区加納町六丁目5番1号北緯34度41分24.6秒東経135度11分43.6秒﻿ / ﻿北緯34.690167度 東経135.195444度﻿ /34.690167; 135.195444﻿ (神戸市)座標:北緯34度41分24.6秒東経135度11分43.6秒﻿ / ﻿北緯34.690167度 東経135.195444度﻿ /34.690167; 135.195444﻿ (神戸市)市庁舎位置","557.02km2（境界未定部分あり）","近畿地方","1,522,188人（推計人口、2021年6月1日）","兵庫県","公式ウェブサイト","9000020281000","2,733人/km2","28100-0","明石市、三木市、三田市、宝塚市、西宮市、芦屋市、加古郡稲美町、淡路市（海上で隣接）","久元喜造","アジサイ","サザンカ","","","","",""
"姫路市","[姫路（歴史遺産）- 世界遺産である姫路城（国宝天守・特別史跡）、好古園、書寫山圓教寺。] 姫路市 （ひめじし）は、 近畿地方 西部、 兵庫県 の南西部（ 播磨地方 ）に位置する 市 。 中核市 および 国際会議観光都市 に指定されている。神戸市に次ぐ兵庫県2番目の都市である。また、播磨地方最大の都市である。","https://ja.wikipedia.org/wiki/姫路市","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯34度48分54.6秒東経134度41分7.4秒","日本","〒670-8501兵庫県姫路市安田四丁目1番地北緯34度48分54.6秒東経134度41分7.4秒﻿ / ﻿北緯34.815167度 東経134.685389度﻿ /34.815167; 134.685389座標:北緯34度48分54.6秒東経134度41分7.4秒﻿ / ﻿北緯34.815167度 東経134.685389度﻿ /34.815167; 134.685389市庁舎位置","534.48km2","近畿地方","528,581人（推計人口、2021年6月1日）","兵庫県","www.city.himeji.lg.jp","1000020282014","989人/km2","28201-4","加古川市、高砂市、加西市、たつの市、宍粟市、揖保郡太子町、神崎郡福崎町、神河町、市川町（海上で隣接）相生市、赤穂市香川県：小豆郡小豆島町岡山県：備前市","清元秀泰","サギソウ","カシ","","","","",""
"たつの市","[龍野（歴史・町並）-童謡「赤とんぼ」の舞台である城下町龍野と龍野城址、港町室津] たつの市 （たつのし）は、 兵庫県 南西部（ 西播磨県民局 ）に位置する市。","https://ja.wikipedia.org/wiki/たつの市","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯34度51分28.5秒東経134度32分43.4秒","日本","〒679-4192兵庫県たつの市龍野町富永1005-1北緯34度51分28.5秒東経134度32分43.4秒﻿ / ﻿北緯34.857917度 東経134.545389度﻿ /34.857917; 134.545389座標:北緯34度51分28.5秒東経134度32分43.4秒﻿ / ﻿北緯34.857917度 東経134.545389度﻿ /34.857917; 134.545389市庁舎位置","210.87km2（境界未定部分あり）","近畿地方","73,696人（推計人口、2021年6月1日）","兵庫県","公式ウェブサイト","1000020282294","349人/km2","28229-4","宍粟市、相生市、姫路市、佐用郡佐用町、赤穂郡上郡町、揖保郡太子町","山本実","桜","梅","","","","",""
"赤穂市","[赤穂（自然・歴史遺産）-忠臣蔵の舞台である赤穂城址、港町の坂越、御崎と赤穂御崎温泉。] 赤穂市 （あこうし）は、 兵庫県 南西部、 岡山県 との県境に位置する 市 。 瀬戸内海国立公園 の一部を成す。 西播磨県民局 の管轄。","https://ja.wikipedia.org/wiki/赤穂市","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯34度45分17.9秒東経134度23分25.2秒","日本","〒678-0292兵庫県赤穂市加里屋81番地北緯34度45分17.9秒東経134度23分25.2秒﻿ / ﻿北緯34.754972度 東経134.390333度﻿ /34.754972; 134.390333座標:北緯34度45分17.9秒東経134度23分25.2秒﻿ / ﻿北緯34.754972度 東経134.390333度﻿ /34.754972; 134.390333赤穂市役所市庁舎位置","126.85km2","近畿地方","45,357人（推計人口、2021年6月1日）","兵庫県","公式ウェブサイト","2000020282120","358人/km2","28212-0","相生市、赤穂郡上郡町、姫路市(海上)岡山県備前市","牟礼正稔","ツツジ","サクラ","","","","",""
"佐用町","[佐用（歴史遺産・科学施設） -平福宿・利神城・上月城等の歴史遺産、SPring-8・なゆた望遠鏡の世界的科学施設] 佐用町 （さようちょう）は、 兵庫県 の南西部に位置する 町 。人口は県内41自治体中第36位、面積は県内第10位。","https://ja.wikipedia.org/wiki/佐用町","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯35度0分15.4秒東経134度21分21.1秒","日本","〒679-5380兵庫県佐用郡佐用町佐用2611-1北緯35度0分15.4秒東経134度21分21.1秒﻿ / ﻿北緯35.004278度 東経134.355861度﻿ /35.004278; 134.355861座標:北緯35度0分15.4秒東経134度21分21.1秒﻿ / ﻿北緯35.004278度 東経134.355861度﻿ /35.004278; 134.355861役場庁舎位置","307.44km2","近畿地方","15,599人（推計人口、2021年6月1日）","兵庫県","公式ウェブサイト","5000020285013","50.7人/km2","28501-3","宍粟市、たつの市、赤穂郡上郡町岡山県：備前市、美作市","","","","佐用郡","庵逧典章","イチョウ","ヒマワリ",""
"丹波篠山市","[丹波篠山（歴史遺産・町並） - 国史跡篠山城跡と城下町（重伝建「篠山」）、国史跡八上城跡。] 丹波篠山市 （たんばささやまし）は、 兵庫県 中東部に位置する 市 。 丹波県民局 管轄区域。 2019年 （ 令和 元年） 5月1日 より、市名が「 篠山市 （ささやまし）」から変更された  。","https://ja.wikipedia.org/wiki/丹波篠山市","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯35度4分32.6秒東経135度13分9.2秒","日本","〒669-2397兵庫県丹波篠山市北新町41北緯35度4分32.6秒東経135度13分9.2秒﻿ / ﻿北緯35.075722度 東経135.219222度﻿ /35.075722; 135.219222座標:北緯35度4分32.6秒東経135度13分9.2秒﻿ / ﻿北緯35.075722度 東経135.219222度﻿ /35.075722; 135.219222市庁舎位置","377.59km2","近畿地方","39,282人（推計人口、2021年6月1日）","兵庫県","公式ウェブサイト","3000020282219","104人/km2","28221-9","西脇市、三田市、丹波市、加東市、川辺郡猪名川町大阪府豊能郡能勢町京都府：南丹市、福知山市、船井郡京丹波町","酒井隆明","ささゆり","さくら","","","","",""
"朝来市","[朝来（自然・芸術・歴史遺産） - 国史跡竹田城跡、国史跡生野銀山と口銀谷、ムーセ旧居、あさご芸術の森。] 朝来市 （あさごし）は、 兵庫県 の北部に位置する 市 である。 但馬県民局 管轄地域。 但馬地方 の南端に位置する。","https://ja.wikipedia.org/wiki/朝来市","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯35度20分23.4秒東経134度51分11.1秒","日本","〒669-5292兵庫県朝来市和田山町東谷213-1北緯35度20分23.4秒東経134度51分11.1秒﻿ / ﻿北緯35.339833度 東経134.853083度﻿ /35.339833; 134.853083座標:北緯35度20分23.4秒東経134度51分11.1秒﻿ / ﻿北緯35.339833度 東経134.853083度﻿ /35.339833; 134.853083市庁舎位置","403.06km2","近畿地方","28,589人（推計人口、2021年6月1日）","兵庫県","公式ウェブサイト","3000020282251","70.9人/km2","28225-1","豊岡市、養父市、丹波市、宍粟市、神崎郡神河町、多可郡多可町京都府福知山市","藤岡勇","さくら","けやき","","","","",""
"豊岡市","[豊岡（自然・保養地・歴史・味覚） -城崎温泉、出石城跡と城下町（重伝建「出石」）、神鍋高原、竹野浜、阿瀬渓谷、玄武洞。] 豊岡市 （とよおかし）は、 兵庫県 の北部（但馬地域）に位置する 市 。 但馬県民局 管轄地域。 豊岡都市圏 を形成する県北部・但馬地域の中心都市で、兵庫県で最も面積が大きい市である。","https://ja.wikipedia.org/wiki/豊岡市","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯35度32分40.2秒東経134度49分12.7秒","日本","〒668-8666兵庫県豊岡市中央町2番4号北緯35度32分40.2秒東経134度49分12.7秒﻿ / ﻿北緯35.544500度 東経134.820194度﻿ /35.544500; 134.820194座標:北緯35度32分40.2秒東経134度49分12.7秒﻿ / ﻿北緯35.544500度 東経134.820194度﻿ /35.544500; 134.820194市庁舎位置","697.55km2","近畿地方","76,874人（推計人口、2021年6月1日）","兵庫県","公式ウェブサイト","7000020282090","110人/km2","28209-0","養父市、朝来市、美方郡香美町京都府：京丹後市、福知山市、与謝郡与謝野町","関貫久仁郎","チューリップ","やなぎ","","","","",""
"養父市","[養父（自然） -氷ノ山、ハチ高原（鉢伏山）、天滝（天滝渓谷）] 養父市 （やぶし）は、 兵庫県 の北部に位置する 市 である。 但馬県民局 管轄区域。中山間地農業の改革拠点として 国家戦略特区 に指定されている。","https://ja.wikipedia.org/wiki/養父市","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯35度24分16.6秒東経134度46分3.4秒","日本","〒667-8651兵庫県養父市八鹿町八鹿1675番地北緯35度24分16.6秒東経134度46分3.4秒﻿ / ﻿北緯35.404611度 東経134.767611度﻿ /35.404611; 134.767611座標:北緯35度24分16.6秒東経134度46分3.4秒﻿ / ﻿北緯35.404611度 東経134.767611度﻿ /35.404611; 134.767611市庁舎位置","422.91km2","近畿地方","21,790人（推計人口、2021年6月1日）","兵庫県","公式ウェブサイト","3000020282227","51.5人/km2","28222-7","豊岡市、朝来市、宍粟市、美方郡香美町鳥取県八頭郡若桜町","広瀬栄","ミズバショウ","ブナ","","","","",""
"香美町","[香美（自然） -瀞川平（兵庫県観光百選第1位）、瀞川渓谷、兎和野高原、香住海岸、猿尾滝。] 香美町 （かみちょう）は、 兵庫県 北部に位置する 町 。 美方郡 に属し、 但馬県民局 管轄地域のひとつ。","https://ja.wikipedia.org/wiki/香美町","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯35度37分55.9秒東経134度37分44.9秒","日本","〒669-6592兵庫県美方郡香美町香住区香住870番地の1北緯35度37分55.9秒東経134度37分44.9秒﻿ / ﻿北緯35.632194度 東経134.629139度﻿ /35.632194; 134.629139座標:北緯35度37分55.9秒東経134度37分44.9秒﻿ / ﻿北緯35.632194度 東経134.629139度﻿ /35.632194; 134.629139香美町役場庁舎位置","368.77km2","近畿地方","15,688人（推計人口、2021年6月1日）","兵庫県","公式ウェブサイト","6000020285854","42.5人/km2","28585-4","豊岡市、養父市、美方郡新温泉町鳥取県八頭郡若桜町","","","","美方郡","浜上勇人","ブナ、シイ","サクラ、ユウスゲ",""
"新温泉町","[新温泉（自然・保養地） -但馬御火浦、湯村温泉、上山高原、霧ヶ滝渓谷、赤滝渓谷。] 新温泉町 （しんおんせんちょう）は、 兵庫県 北部に位置する 美方郡 の 町 。 但馬県民局 の管轄地域。","https://ja.wikipedia.org/wiki/新温泉町","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯35度37分24.5秒東経134度26分56.2秒","日本","〒669-6792兵庫県美方郡新温泉町浜坂2673-1北緯35度37分24.5秒東経134度26分56.2秒﻿ / ﻿北緯35.623472度 東経134.448944度﻿ /35.623472; 134.448944座標:北緯35度37分24.5秒東経134度26分56.2秒﻿ / ﻿北緯35.623472度 東経134.448944度﻿ /35.623472; 134.448944役場庁舎位置","241.01km2","近畿地方","13,095人（推計人口、2021年6月1日）","兵庫県","公式ウェブサイト","6000020285862","54.3人/km2","28586-2","美方郡香美町鳥取県：鳥取市、岩美郡岩美町、八頭郡若桜町","","","","美方郡","西村銀三","","",""
