"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","位置","築造時期","規模","形状","史跡","出土品","地図","埋葬施設","所属","被葬者","特記事項","別名","有形文化財","外部リンク","国","都道府県","面積","地方"
"皇子山古墳","[皇子山古墳（大津市、前方後方墳、国の史跡）] 皇子山1号墳 は、丘陵の最高所に位置する皇子山古墳群の主墳。形状は 前方後方墳 。","https://ja.wikipedia.org/wiki/皇子山古墳","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯35度1分42.78秒東経135度51分2.43秒","滋賀県大津市錦織1丁目","北緯35度1分42.78秒東経135度51分2.43秒﻿ / ﻿北緯35.0285500度 東経135.8506750度﻿ /35.0285500; 135.8506750﻿ (皇子山1号墳)","4世紀後半","墳丘長60m","前方後方墳","","","","後方部：不明4基前方部：粘土槨（推定）1基","","","","","","","","","",""
"春日山古墳群","[春日山古墳群（大津市、国の史跡）] 春日山古墳群 （かすがやまこふんぐん）は、 滋賀県 大津市 真野谷口町にある 古墳群 。 1974年 （昭和49年）12月23日、国の 史跡 に指定された。","https://ja.wikipedia.org/wiki/春日山古墳群","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯35度07分14.9秒 東経135度54分24.5秒","","","","","","","","","","","","","","","","","","",""
"茶臼山古墳 (大津市)","[茶臼山古墳（大津市、、国の史跡）] 滋賀県では第3位の規模の古墳で  、 4世紀 末から 5世紀 初頭（ 古墳時代 中期）頃の築造と推定される。","https://ja.wikipedia.org/wiki/茶臼山古墳_(大津市)","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯34度59分25.17秒東経135度53分2.45秒","滋賀県大津市秋葉台（茶臼山公園内）","北緯34度59分25.17秒東経135度53分2.45秒﻿ / ﻿北緯34.9903250度 東経135.8840139度﻿ /34.9903250; 135.8840139座標:北緯34度59分25.17秒東経135度53分2.45秒﻿ / ﻿北緯34.9903250度 東経135.8840139度﻿ /34.9903250; 135.8840139","4世紀末-5世紀初頭","墳丘長122m高さ8m（後円部）","前方後円墳","国の史跡「茶臼山古墳・小茶臼山古墳」","円筒埴輪・形象埴輪","荒神山古墳安土瓢箪山古墳茶臼山古墳","不明","","（伝）彦坐王","滋賀県第3位の規模佐紀陵山古墳と相似形","膳所茶臼山古墳","","","","","",""
"子茶臼山古墳 (存在しないページ)","[子茶臼山古墳（大津市、国の史跡）]","https://ja.wikipedia.org/w/index.php?title=子茶臼山古墳&amp;action=edit&amp;redlink=1","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"雪野山古墳","[雪野山古墳（東近江市、前方後円墳、未盗掘状態の石室が発掘され出土品多数）] 雪野山古墳 （ゆきのやまこふん）は、 滋賀県 近江八幡市 新巻町・ 東近江市 上羽田町・ 蒲生郡 竜王町 川守にある 古墳 。形状は 前方後円墳 。国の 史跡 に指定され、出土品は国の 重要文化財 に指定されている。","https://ja.wikipedia.org/wiki/雪野山古墳","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯35度4分35.22秒 東経136度8分44.95秒","","","","","","","","","","","","","","","","","","",""
"大岩山古墳群","[大岩山古墳群（野洲市、国の史跡）甲山古墳（円墳）円山古墳（円墳）天王山古墳（前方後円墳）冨波古墳（前方後方墳）古冨波山古墳（円墳）大塚山古墳（帆立貝形古墳）亀塚古墳（前方後円墳）宮山2号墳（円墳）] 大岩山古墳群 （おおいわやまこふんぐん）は、 滋賀県 野洲市 小篠原（こしのはら）にある 古墳群 。8基が国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/大岩山古墳群","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"古保利古墳群","[古保利古墳群（長浜市、国の史跡）] 古保利古墳群 （こほりこふんぐん）は、 滋賀県 長浜市 高月町西野・熊野・片山および湖北町石川にある 古墳群 。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/古保利古墳群","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"東近江市","[勝堂古墳群（東近江市、県史跡）] 市内全域が 内陸性気候 である。当市は 気象庁 の気象区分で滋賀県南部に分類されているが、合併前は北部に分類されていた地域があり（旧 愛東町 ・旧 湖東町 ・旧 永源寺町 ）、冬季は地域差が出るため明確な気候の線引きはできない。 夏は、最高気温は県内で最も高くなる日も珍しくないが、 盆地 であるため 熱帯夜 となる日は少ない。 冬は、冬日となる日が多く、2012年2月19日には2月としては歴代1位となる最低気温-10.8℃を記録している。","https://ja.wikipedia.org/wiki/東近江市","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯35度6分45.3秒東経136度12分27.1秒","〒527-8527滋賀県東近江市八日市緑町10番5号北緯35度6分45.3秒東経136度12分27.1秒﻿ / ﻿北緯35.112583度 東経136.207528度﻿ /35.112583; 136.207528座標:北緯35度6分45.3秒東経136度12分27.1秒﻿ / ﻿北緯35.112583度 東経136.207528度﻿ /35.112583; 136.207528","","","","","","","","","","","","","","公式ウェブサイト","日本","滋賀県","388.37km2","近畿地方"
"荒神山古墳","[荒神山古墳（彦根市、前方後円墳、国の史跡）] 滋賀県では第2位の規模の古墳で  、 4世紀 末（ 古墳時代 中期初頭）頃の築造と推定される。","https://ja.wikipedia.org/wiki/荒神山古墳","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯35度14分6.91秒東経136度11分52.35秒","滋賀県彦根市日夏町・清崎町・三津屋町・石寺町","北緯35度14分6.91秒東経136度11分52.35秒﻿ / ﻿北緯35.2352528度 東経136.1978750度﻿ /35.2352528; 136.1978750座標:北緯35度14分6.91秒東経136度11分52.35秒﻿ / ﻿北緯35.2352528度 東経136.1978750度﻿ /35.2352528; 136.1978750","4世紀末","墳丘長124m高さ16m（後円部）","前方後円墳","国の史跡「荒神山古墳」","埴輪","荒神山古墳安土瓢箪山古墳膳所茶臼山古墳","（推定）竪穴式石室","荒神山古墳群","","滋賀県第2位の規模","","出土埴輪（彦根市指定文化財）","","","","",""
"あかね古墳群 (存在しないページ)","[あかね古墳群（東近江市）復元され古墳公園になっている。久保田山古墳（円墳）、天乞山古墳（方墳）]","https://ja.wikipedia.org/w/index.php?title=あかね古墳群&amp;action=edit&amp;redlink=1","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"網野銚子山古墳","[網野銚子山古墳（京丹後市、国の史跡、日本海側最大の前方後円墳で日本海沿岸三大古墳の一つ）] 日本海側および京都府では最大規模の古墳で、 4世紀 末- 5世紀 初頭（ 古墳時代 中期）頃の築造と推定される。","https://ja.wikipedia.org/wiki/網野銚子山古墳","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯35度40分41.20秒東経135度1分48.00秒","京都府京丹後市網野町網野","北緯35度40分41.20秒東経135度1分48.00秒﻿ / ﻿北緯35.6781111度 東経135.0300000度﻿ /35.6781111; 135.0300000座標:北緯35度40分41.20秒東経135度1分48.00秒﻿ / ﻿北緯35.6781111度 東経135.0300000度﻿ /35.6781111; 135.0300000","4世紀末-5世紀初頭","墳丘長201m高さ16m（後円部）","前方後円墳","国の史跡「銚子山古墳 第一、二古墳」","埴輪片","神明山古墳蛭子山1号墳網野銚子山古墳　　","不明","","","日本海側第1位/京都府第1位の規模日本海三大古墳の1つ佐紀陵山古墳（奈良県奈良市）と同形","","","","","","",""
"神明山古墳","[神明山古墳（京丹後市、前方後円墳、国の史跡、日本海沿岸三大古墳の一つ）] 網野銚子山古墳 （京丹後市網野町網野）・ 蛭子山1号墳 （ 与謝郡 与謝野町 加悦・明石）と合わせて「日本海三大古墳」と総称される。","https://ja.wikipedia.org/wiki/神明山古墳","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯35度44分6.63秒東経135度6分40.47秒","京都府京丹後市丹後町宮小字家ノ上","北緯35度44分6.63秒東経135度6分40.47秒﻿ / ﻿北緯35.7351750度 東経135.1112417度﻿ /35.7351750; 135.1112417座標:北緯35度44分6.63秒東経135度6分40.47秒﻿ / ﻿北緯35.7351750度 東経135.1112417度﻿ /35.7351750; 135.1112417","4世紀末-5世紀初頭","墳丘長190m","前方後円墳","国の史跡「神明山古墳」","円筒埴輪・形象埴輪","神明山古墳蛭子山1号墳網野銚子山古墳　　","（推定）竪穴式石室","","","全国第36位の規模（墳丘長200mとする場合）日本海三大古墳の1つ","","","","","","",""
"産土山古墳","[産土山古墳（京丹後市、円墳、国の史跡）] 丹後半島 西海岸のほぼ中央、 竹野川 が 日本海 にそそぐ河口近くに迫る丘陵の鞍部に位置し、山丘を利用して営まれた円墳である。 5世紀 中頃の古墳時代中期に築造された  。","https://ja.wikipedia.org/wiki/産土山古墳","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯35度44分29.2秒東経135度06分43.0秒","京都府京丹後市丹後町宮","北緯35度44分29.2秒東経135度06分43.0秒﻿ / ﻿北緯35.741444度 東経135.111944度﻿ /35.741444; 135.111944座標:北緯35度44分29.2秒東経135度06分43.0秒﻿ / ﻿北緯35.741444度 東経135.111944度﻿ /35.741444; 135.111944","5世紀中ごろ","直径約54メートル","円墳","国の史跡","埴製枕、環頭刀子、直刀、鹿角装剣、銅鏡、勾玉、碧玉製管玉などの玉類、鉄鏃、短甲、木櫛、木弓、円筒埴輪など","産土山古墳","長持形石棺","","不明","","","","","","","",""
"大田南5号古墳","[大田南古墳（京丹後市、大田南5号古墳から方格規矩四神鏡「青龍3年」（235年）銘）] 大田南5号古墳 （おおたみなみ5ごうこふん）は、 京都府 京丹後市 （旧 弥栄町 と旧 峰山町 にまたがって）に所在する 古墳時代 中期前半の 方墳 である。","https://ja.wikipedia.org/wiki/大田南5号古墳","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯35度38分38.3秒 東経135度4分51.4秒","","","","","","","","","","","","","","","","","","",""
"作山古墳 (与謝野町)","[作山古墳（与謝郡与謝野町、国の史跡）] 作山古墳群 （つくりやまこふんぐん）は、 京都府 与謝郡 与謝野町 加悦にある 古墳群 。5基が国の 史跡 に指定されている（指定名称は「作山古墳」）。","https://ja.wikipedia.org/wiki/作山古墳_(与謝野町)","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯35度30分21.82秒 東経135度6分16.96秒","","","","","","","","","","","","","","","","","","",""
"白米山古墳","[白米山古墳（与謝郡与謝野町、前方後円墳、国の史跡）] 京都府北部、 丹後半島 付け根の 加悦谷 の東縁部、加悦谷に突き出す丘陵上に築造された古墳である   。現在までに墳丘を良好に遺存し  、これまでに 1996 - 1999年 （ 平成 8-11年）に発掘調査が実施されている  。","https://ja.wikipedia.org/wiki/白米山古墳","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯35度29分34.40秒東経135度6分2.90秒","京都府与謝郡与謝野町字後野小字白米山","北緯35度29分34.40秒東経135度6分2.90秒﻿ / ﻿北緯35.4928889度 東経135.1008056度﻿ /35.4928889; 135.1008056座標:北緯35度29分34.40秒東経135度6分2.90秒﻿ / ﻿北緯35.4928889度 東経135.1008056度﻿ /35.4928889; 135.1008056","古墳時代前期中葉","墳丘長90m高さ7.5m（後円部）","前方後円墳","国の史跡「白米山古墳」","土器片","白米山古墳","竪穴式石室1基土壙墓2基木棺直葬1基","","","","","","","","","",""
"蛭子山古墳","[蛭子山古墳（与謝郡与謝野町、前方後円墳、国の史跡、日本海沿岸三大古墳の一つ）] 網野銚子山古墳 （ 京丹後市 網野町）・ 神明山古墳 （京丹後市丹後町）と合わせて「日本海三大古墳」と総称される。","https://ja.wikipedia.org/wiki/蛭子山古墳","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯35度30分25.76秒東経135度6分16.25秒","京都府与謝郡与謝野町字加悦・明石（与謝野町立古墳公園内）","北緯35度30分25.76秒東経135度6分16.25秒﻿ / ﻿北緯35.5071556度 東経135.1045139度﻿ /35.5071556; 135.1045139﻿ (蛭子山古墳（蛭子山1号墳）)座標:北緯35度30分25.76秒東経135度6分16.25秒﻿ / ﻿北緯35.5071556度 東経135.1045139度﻿ /35.5071556; 135.1045139﻿ (蛭子山古墳（蛭子山1号墳）)","4世紀中頃","墳丘長145m高さ16m（後円部）","前方後円墳","国の史跡「蛭子山古墳」","銅鏡・鉄製武器・埴輪等","蛭子山古墳神明山古墳網野銚子山古墳　　","第1主体：舟形石棺直葬第2主体：竪穴式石槨第3主体：（推定）木棺直葬","蛭子山古墳群","","日本海三大古墳の1つ","","舟形石棺（京都府指定文化財）","","","","",""
