"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","種類","国・地域","運営者","標高","方向","運用時間","公式サイト","敷地面積","開港","旅客数","貨物取扱量","所有者","母都市","発着回数","所在部隊","開設","面積","国"
"名古屋飛行場","[名古屋飛行場〔愛知県小牧市〕小牧基地（空自）県営名古屋空港（小牧空港）（民間）] 名古屋市 の中心から北へおよそ15 kmの 濃尾平野 北東部に位置しており、行政区分上では 西春日井郡 豊山町 、 小牧市 、 春日井市 、 名古屋市 （ 北区 ）の3市1町にまたがっている。 航空自衛隊 小牧基地 に隣接しており、滑走路を共有しているが、防衛省設置管理の共用飛行場ではなく 愛知県 が管理する。 管制 業務は、 飛行場管制 業務と 着陸誘導管制 業務を 航空自衛隊 小牧管制隊が実施しており、 進入管制業務とターミナルレーダー管制業務 については、 中部国際空港 （常滑市）にある 国土交通省 大阪航空局 中部空港事務所が広域管制によって実施している。","https://ja.wikipedia.org/wiki/名古屋飛行場","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯35度15分18秒東経136度55分28秒","愛知県西春日井郡豊山町、小牧市、春日井市、名古屋市","公共","日本","愛知県","14m(45.9ft)","16/34","7:00 - 22:00","県営名古屋空港","","","","","","名古屋市","","","","",""
"小牧基地","[小牧基地（空自）] 小牧基地 （こまききち、JASDF Komaki Airbase）は、 愛知県 小牧市 春日寺1-1に所在し、第1輸送航空隊等が配置されている 航空自衛隊 の基地である。隣接する 名古屋飛行場 の 滑走路 を使用している。飛行場データは、 名古屋飛行場 を参照。","https://ja.wikipedia.org/wiki/小牧基地","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"各務原市","[岐阜飛行場〔岐阜県各務原市〕岐阜基地（空自） ※飛行開発実験団が置かれている。] 各務原市 （かかみがはらし）は、 岐阜県 の南部に位置する 市 。","https://ja.wikipedia.org/wiki/各務原市","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯35度23分55.7秒東経136度50分54.3秒","〒504-8555岐阜県各務原市那加桜町一丁目69番地北緯35度23分55.7秒東経136度50分54.3秒﻿ / ﻿北緯35.398806度 東経136.848417度﻿ /35.398806; 136.848417","","","","","","","","","","","","","","","","","87.81km2","日本"
"岐阜基地","[岐阜基地（空自） ※飛行開発実験団が置かれている。] 岐阜基地 （ぎふきち、JASDF Gifu Airbase）は 岐阜県 各務原市 那加官有地無番地に所在する 航空自衛隊 の基地、 軍用飛行場 。日本国内に現存する 飛行場 では最も長い歴史を持つ。","https://ja.wikipedia.org/wiki/岐阜基地","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯35度23分38秒東経136度52分10秒","岐阜県各務原市","軍用","日本","航空自衛隊","39m(128ft)","10/28","","","","","","","防衛省","","","第2補給処飛行開発実験団第4高射群自衛隊岐阜病院","1917年","",""
"明野駐屯地","[明野飛行場〔三重県伊勢市〕明野駐屯地（陸自）] 明野駐屯地 （あけのちゅうとんち、 JGSDF Camp Akeno ）は、 三重県 伊勢市 小俣町明野5593-1に所在する、明野飛行場を有する 陸上自衛隊 の 駐屯地 である。","https://ja.wikipedia.org/wiki/明野駐屯地","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯34度32分02秒 東経136度40分20秒","三重県伊勢市小俣町明野5593-1","","","","","","","","","","","","","","","","","",""
"明野駐屯地","[明野駐屯地（陸自）] 明野駐屯地 （あけのちゅうとんち、 JGSDF Camp Akeno ）は、 三重県 伊勢市 小俣町明野5593-1に所在する、明野飛行場を有する 陸上自衛隊 の 駐屯地 である。","https://ja.wikipedia.org/wiki/明野駐屯地","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯34度32分02秒 東経136度40分20秒","三重県伊勢市小俣町明野5593-1","","","","","","","","","","","","","","","","","",""
"小松飛行場","[小松飛行場〔石川県小松市〕小松基地（空自） ※飛行教導群（いわゆるアグレッサー部隊）が置かれている。小松空港（民間）] この節には 複数の問題があります 。 改善 や ノートページ での議論にご協力ください。","https://ja.wikipedia.org/wiki/小松飛行場","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯36度23分38秒東経136度24分27秒","石川県小松市","軍民共用","日本","航空自衛隊","6m(18ft)","06/24","","小松空港公式サイト航空自衛隊 小松基地","","","","","防衛省","金沢市・福井市","","第6航空団飛行教導群小松救難隊石川県消防防災航空隊","","",""
"飛行教導群","[小松基地（空自） ※飛行教導群（いわゆるアグレッサー部隊）が置かれている。] 飛行教導群 （ひこうきょうどうぐん、 英称 ：Tactical Fighter Training Group）とは 航空自衛隊 における仮想敵機部隊（いわゆる アグレッサー部隊 ）のことである。 要撃機パイロットの技量向上などを目的とし、航空自衛隊の戦闘機パイロットの中でも特に傑出した戦闘技量を持つパイロットが配属されている。主に各 戦闘機部隊 について巡回指導を行っている。","https://ja.wikipedia.org/wiki/飛行教導群","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","","石川県小松基地","","","","","","","","","","","","","","","","","",""
"舞鶴市","[舞鶴飛行場〔京都府舞鶴市〕舞鶴航空基地（海自）] 舞鶴市 （まいづるし）は、 京都府 の北東部に位置する 市 。","https://ja.wikipedia.org/wiki/舞鶴市","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯35度28分29.1秒東経135度23分9.5秒","〒625-8555京都府舞鶴市字北吸1044番地北緯35度28分29.1秒東経135度23分9.5秒﻿ / ﻿北緯35.474750度 東経135.385972度﻿ /35.474750; 135.385972座標:北緯35度28分29.1秒東経135度23分9.5秒﻿ / ﻿北緯35.474750度 東経135.385972度﻿ /35.474750; 135.385972市庁舎位置","","","","","","","","","","","","","","","","","342.13km2","日本"
"舞鶴基地","[舞鶴航空基地（海自）] 舞鶴航空基地 （まいづるこうくうきち、Maizuru Air Station）は 海上自衛隊 舞鶴地方総監部 管轄の 飛行場 。 京都府 舞鶴市 にある。","https://ja.wikipedia.org/wiki/舞鶴基地","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯35度29分22秒東経135度22分36秒","京都府舞鶴市","軍用","日本","海上自衛隊","6m(19ft)","12/30","","","","","","","防衛省","","","第23航空隊","2001年3月24日","",""
"美保飛行場","[美保飛行場〔鳥取県境港市〕美保基地（空自）美保分屯地（陸自）美保航空基地（海保）米子鬼太郎空港（民間）] 美保飛行場 （みほひこうじょう）は、 鳥取県 境港市 （敷地の一部は 米子市 ）にある 飛行場 （ 空港 ）である。","https://ja.wikipedia.org/wiki/美保飛行場","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯35度29分32秒東経133度14分11秒","鳥取県境港市、米子市","軍民共用","日本","航空自衛隊","6m(20ft)","07/25","7:00 - 22:00","米子鬼太郎空港","","","","","防衛省","","","","1943年","",""
"岩国飛行場","[岩国飛行場〔山口県岩国市〕岩国飛行場（米海兵・米海） ※第7艦隊空母艦載機が所属している（第5空母航空団）。岩国航空基地（海自）岩国錦帯橋空港（民間）] 本飛行場に関係する周辺対策事業は他の自衛隊・在日米軍施設同様「 防衛施設周辺の生活環境の整備等に関する法律 」を根拠法とし（以下本節で同法と呼ぶ）、旧 防衛施設庁 の主導により下記が実施されてきた  。","https://ja.wikipedia.org/wiki/岩国飛行場","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯34度08分42秒東経132度14分49秒","山口県岩国市","軍民共用","日本","アメリカ海兵隊","3m(10ft)","02/20","","","","","","","","","","","","",""
"第7艦隊 (アメリカ軍)","[岩国飛行場（米海兵・米海） ※第7艦隊空母艦載機が所属している（第5空母航空団）。] 第7艦隊 （だいななかんたい、U.S. Seventh Fleet）は、 アメリカ海軍 の 艦隊 の1つである。 ハワイ の ホノルル に司令部を置く 太平洋艦隊 の指揮下にあり、 国際日付変更線 以西の西 太平洋 ・ インド洋 （ 中東 地域を除く）を担当海域とする  。 旗艦 /司令部は、日本の神奈川県横須賀にある 揚陸指揮艦 「 ブルー・リッジ 」 (USS Blue Ridge, LCC-19)  。","https://ja.wikipedia.org/wiki/第7艦隊_(アメリカ軍)","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"防府市","[防府飛行場〔山口県防府市〕防府北基地（空自）防府分屯地（陸自）] 防府市 （ほうふし）は、 山口県 中南部、 周防灘 （ 瀬戸内海 ）に面した 市 。","https://ja.wikipedia.org/wiki/防府市","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯34度3分3.2秒東経131度33分46秒","〒747-8501山口県防府市寿町7番1号北緯34度3分3.2秒東経131度33分46秒﻿ / ﻿北緯34.050889度 東経131.56278度﻿ /34.050889; 131.56278﻿ (防府市)座標:北緯34度3分3.2秒東経131度33分46秒﻿ / ﻿北緯34.050889度 東経131.56278度﻿ /34.050889; 131.56278﻿ (防府市)市庁舎位置","","","","","","","","","","","","","","","","","189.37km2","日本"
"防府北基地","[防府北基地（空自）] 防府北基地 （ほうふきたきち、Houfu Kita Airbase）は、 山口県 防府市 田島無番地に所在し、主に 航空自衛隊 パイロットを養成する部隊である第12飛行教育団等が配置されている。 基地司令 は、第12飛行教育団司令が兼務している。","https://ja.wikipedia.org/wiki/防府北基地","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯34度02分04秒東経131度32分57秒","山口県防府市田島","軍用","日本","航空自衛隊","2m(7ft)","01/19","","","","","","","防衛省/航空自衛隊","","","第12飛行教育団","","",""
"防府分屯地","[防府分屯地（陸自）] 防府分屯地 （ほうふぶんとんち、JGSDF Vice-Camp Houfu）は、 山口県 防府市 大字田島無番地の 航空自衛隊 防府北基地 内に所在する 陸上自衛隊 山口駐屯地の分屯地。","https://ja.wikipedia.org/wiki/防府分屯地","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"小月航空基地","[小月飛行場〔山口県下関市〕小月航空基地（海自）] 小月航空基地 （おづきこうくうきち、JMSDF Ozuki Air Base）は、 山口県 下関市 松屋本町3-2-1  に所在する、 海上自衛隊 の 飛行場 である。海上自衛隊の全航空機搭乗員の基礎教育を行う 小月教育航空群 が置かれている。また 海上保安庁 の委託を受けているため、少数の 海上保安官 （固定翼要員）も在籍している。当基地の基礎課程修了者は、 徳島航空基地 の計器飛行課程へと進む。","https://ja.wikipedia.org/wiki/小月航空基地","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯34度02分43秒東経131度03分08秒","山口県下関市松屋本町","軍用","日本","防衛省海上自衛隊","4m(13ft)","12/30","7:00-17:00滑走路閉鎖(JST)第2週・第3週金曜7:30-8:30","","","","","","日本国","","","小月教育航空群","1937年","",""
"小月航空基地","[小月航空基地（海自）] 小月航空基地 （おづきこうくうきち、JMSDF Ozuki Air Base）は、 山口県 下関市 松屋本町3-2-1  に所在する、 海上自衛隊 の 飛行場 である。海上自衛隊の全航空機搭乗員の基礎教育を行う 小月教育航空群 が置かれている。また 海上保安庁 の委託を受けているため、少数の 海上保安官 （固定翼要員）も在籍している。当基地の基礎課程修了者は、 徳島航空基地 の計器飛行課程へと進む。","https://ja.wikipedia.org/wiki/小月航空基地","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯34度02分43秒東経131度03分08秒","山口県下関市松屋本町","軍用","日本","防衛省海上自衛隊","4m(13ft)","12/30","7:00-17:00滑走路閉鎖(JST)第2週・第3週金曜7:30-8:30","","","","","","日本国","","","小月教育航空群","1937年","",""
