"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","国","交差物件","全長","形式","幅","建設","最大支間長","材料","路線名","用途","高さ","管理者","開通","竣工","着工","施工者","起点","終点"
"渡月橋","[渡月橋（京都市右京区、西京区）] 渡月橋 （とげつきょう）は、 京都府 京都市 の 桂川 （大堰川）に架かる 橋  。","https://ja.wikipedia.org/wiki/渡月橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯35度0分46.1秒東経135度40分39.8秒","京都市","日本","桂川","155m","","11m","（現在の橋）1934年（昭和9年）","約10m","橋脚と橋桁：鉄筋コンクリート欄干：木造","","","","","","","","","",""
"西賀茂橋","[西賀茂橋（京都市北区）] 西賀茂橋 （にしがもばし）は、 京都市 北区 の 鴨川 （賀茂川）に架かる 船岡東通 の 橋 である。","https://ja.wikipedia.org/wiki/西賀茂橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯35度03分53秒 東経135度44分49秒","","","","","","","","","","","","","","","","","","",""
"上賀茂橋","[上賀茂橋（京都市北区）] 上賀茂橋 （かみがもばし）は、 京都市 北区 の 鴨川 に架かる 玄以通 の 橋 である。","https://ja.wikipedia.org/wiki/上賀茂橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"宇治川大橋","[宇治川大橋（京都市伏見区）] 宇治川大橋 （うじがわおおはし）は、 京都府 京都市 伏見区 の 宇治川 に架かる 橋 である。","https://ja.wikipedia.org/wiki/宇治川大橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","","京都市伏見区","日本","淀川","546.49m","","22.0m","1966年3月","","","","","","","","","","","",""
"上津屋橋","[上津屋橋（八幡市、久世郡久御山町）] 上津屋橋 （こうづやばし）は、 日本 の 京都府 久世郡 久御山町 と 八幡市 を結ぶ、 木津川 に架けられた 木橋 である。 川 が増水すると 橋桁 が流される構造を持つ 流れ橋 であることから、 流れ橋 （ながればし）  、あるいは 木津川流れ橋 （きづがわ ながればし）、 八幡流れ橋 （やわた ながればし）などと呼ばれることもある。","https://ja.wikipedia.org/wiki/上津屋橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯34度52分5.38秒東経135度44分52.45秒","京都府久世郡久御山町-八幡市間","日本","木津川（淀川水系）","356.5m","流れ橋","3.3 m（有効幅員3.0 m）","1953年（昭和28年）3月","10.1 m　(2016年3月現在)","木材、一部はコンクリート","京都府道281号八幡城陽線1959年(昭和34年)12月18日認定","道路橋","","","","","","","",""
"木津川大橋","[木津川大橋（八幡市、久世郡久御山町）] 木津川大橋 （きづがわおおはし）は、 京都府 八幡市 と京都府 久世郡 久御山町 の間の 木津川 に架かる 橋 。 国道1号 に指定され、 京阪国道 として重要な役割を果たしている。","https://ja.wikipedia.org/wiki/木津川大橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯34度52分29.6秒東経135度43分57.9秒","八幡市・久御山町","日本","木津川","398.40m","","22.70m","1966年3月","","","","","","","","","","","",""
"御幸橋 (八幡市)","[御幸橋（八幡市）] 御幸橋 （ごこうばし）は、 京都府 八幡市 において宇治川（ 淀川 本流）と 木津川 に架かる、 京都府道13号京都守口線 （旧・ 国道1号 、旧・ 京阪国道 ）の 橋 である。","https://ja.wikipedia.org/wiki/御幸橋_(八幡市)","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯34度53分26秒 東経135度42分03秒","","","","","","","","","","","","","","","","","","",""
"安居橋","[安居橋（八幡市）] 安居橋 （あんごばし）は、 京都府 八幡市 の放生川に架かる 橋 である。中央部が盛り上がった反橋（ アーチ橋 ）で、歩行者・自転車専用の橋となっている。八幡八景に登録され、「 たいこ橋 」として市民に親しまれている。そのため、舞台が設置され、12個の 欄干 には装飾が施されるなどの工夫がされている。","https://ja.wikipedia.org/wiki/安居橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","","八幡市","日本","","21m","","4m","","","","","","","","","","","","",""
"山城大橋","[山城大橋（京田辺市、城陽市）] 山城大橋 （やましろおおはし）とは、 京都府 城陽市 と 京田辺市 間の 木津川 に架かる橋である。","https://ja.wikipedia.org/wiki/山城大橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯34度49分16.7秒東経135度47分34.4秒","城陽市・京田辺市","日本","木津川","540.5m","単独単弦ローゼ橋","21m","1998年","128m","","","","","","","","","","",""
"木津川橋 (京都府) (存在しないページ)","[木津川橋（京田辺市、城陽市）]","https://ja.wikipedia.org/w/index.php?title=木津川橋_(京都府)&amp;action=edit&amp;redlink=1","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"玉水橋","[玉水橋（京田辺市、綴喜郡井手町）] 玉水橋 （たまみずばし）とは、 京都府 京田辺市 と 綴喜郡 井手町 間の 木津川 に架かる橋である。","https://ja.wikipedia.org/wiki/玉水橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯34度47分56.5秒 東経135度47分51.3秒","","","","","","","","","","","","","","","","","","",""
"泉大橋","[泉大橋（木津川市）] 泉大橋 （いずみおおはし）は、 京都府 木津川市 の 国道24号 兼 国道163号 線上にある 木津川 に架かる 橋 であり、 日本百名橋 に選ばれている。","https://ja.wikipedia.org/wiki/泉大橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯34度44分36.3秒東経135度49分17.8秒","木津川市","日本","木津川","383.6m","カンチレバー式トラス橋","","1951年","","","","","","","","","","","",""
"恭仁大橋 (存在しないページ)","[恭仁大橋（木津川市）]","https://ja.wikipedia.org/w/index.php?title=恭仁大橋&amp;action=edit&amp;redlink=1","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"クレインブリッジ","[クレインブリッジ（舞鶴市）] 第二次世界大戦 の終戦後に 引き揚げ の拠点となった平湾に架けられた、鋼製の白い斜張橋である。 1999年 （ 平成 11年）5月開通。","https://ja.wikipedia.org/wiki/クレインブリッジ","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯35度30分35秒東経135度23分17秒","京都府舞鶴市","日本","舞鶴湾（平湾）","全長735.0 m（橋長672.2 m）","3径間斜張橋","","? -1998年","350 m","鋼","","","92m（主塔）","","","","","","",""
"大川橋 (舞鶴市)","[大川橋] 大川橋 （おおかわばし）は、 京都府 舞鶴市 の 由良川 を跨ぐ 国道175号 および 国道178号 の道路 橋 である。","https://ja.wikipedia.org/wiki/大川橋_(舞鶴市)","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯35度27分4.73秒東経135度16分6.56秒","京都府舞鶴市","日本","一級水系由良川水系本川由良川","401m","4+3径間連続合成ラーメン箱桁","21 m","1999年-2009年","70 m","鋼","","","","","","","","","",""
"難波橋","[浪華三大橋（難波橋、天神橋、天満橋）] 難波橋 （なにわばし）は、 大阪市 の 大川 に架かる 堺筋 の 橋 。 浪速の名橋50選 選定橋。大阪弁では「ナンニャバシ」  と発音する。","https://ja.wikipedia.org/wiki/難波橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯34度41分33.7秒東経135度30分25.7秒","大阪市中央区北浜-北区西天満間","日本","旧淀川","189.65m","2ヒンジアーチおよび合成桁RCアーチほか","21.8m","1915年","","","","","","","","","","","",""
"四ツ橋","[四ツ橋（大阪市西区）] 四ツ橋 （よつばし）は、 大阪市 内に唯一存在した「堀川の十字交差部」に架橋されていた4つの橋を一括して称した「 四つ橋 」  、およびその周辺の地域の通称である。道路、水路、その後の市電にとっての重要な交通の要所であった。その後、堀川の埋立に伴って4つの橋は撤去され、現在は交差点名や駅名としてその名を残している  。","https://ja.wikipedia.org/wiki/四ツ橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"港大橋","[港大橋（大阪市港区、住之江区）] 港大橋 （みなとおおはし）は、 大阪府 大阪市 港区 海岸通3丁目と 住之江区 南港東9丁目を結ぶ全長980mの トラス橋 である。トラス橋としての中央径間510mは 日本最長 で、世界第3位の長さである。","https://ja.wikipedia.org/wiki/港大橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯34度38分44.879秒東経135度26分19.279秒","大阪市","日本","大阪港","980 m","3径間ゲルバートラス橋","","","510 m","鋼","阪神高速4号湾岸線阪神高速5号湾岸線阪神高速16号大阪港線","道路橋","","阪神高速道路","1974年7月15日","","1970年","","",""
"新木津川大橋","[新木津川大橋（大阪市大正区、住之江区））] 新木津川大橋 （しんきづがわおおはし）は、 大阪市 大正区 船町1丁目と 大阪市 住之江区 柴谷2丁目の間の 木津川 に架かる アーチ橋 である。","https://ja.wikipedia.org/wiki/新木津川大橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯34度37分32.1秒 東経135度27分47.1秒","","","","","","","","","","","","","","","","","","",""
"なみはや大橋","[なみはや大橋（大阪市港区、大正区））] なみはや大橋 （なみはやおおはし）とは、 大阪市 港区 と 大正区 を結ぶ、 尻無川 に架かる全長1,740mの 橋 。 大阪市道路公社 が 尻無川新橋有料道路 として 1995年 2月 供用開始し管理していたが、 2014年 4月1日 に大阪市道路公社の解散に伴い無料開放された  。 海岸通 （ 大阪府道5号大阪港八尾線 ）の一部であり、徒歩でも渡れる。","https://ja.wikipedia.org/wiki/なみはや大橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯34度38分37.3秒 東経135度26分59.4秒","","","","","","","","","","","","","","","","","","",""
"菅原城北大橋","[菅原城北大橋（大阪市東淀川区、旭区）] 菅原城北大橋 （すがはらしろきたおおはし）は、 大阪市 東淀川区 と 旭区 を結ぶ、 淀川 に架かる 橋 である。 大阪市 が 淀川新橋有料道路 として管理していたが、2014年6月10日に無料開放された。ただし 高槻市 と 寝屋川市 を結び淀川にかかる 淀川新橋 とは別の橋である。","https://ja.wikipedia.org/wiki/菅原城北大橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯34度44分0.16秒東経135度32分10.68秒","大阪市","日本","淀川","1355.7m","3径間連続斜張橋5径間連続RC上路アーチ橋/PC橋","25.5m","1984年-1989年","82m","鋼、コンクリート","","","","","","","","","",""
"十三大橋","[十三大橋（大阪市北区、淀川区）] 十三大橋 （じゅうそうおおはし）は、 大阪市 北区 中津 （南岸）と同市 淀川区 新北野 （北岸）を結ぶ、 淀川 にかかる アーチ橋 である。淀川河口より7.0 kmに位置する。","https://ja.wikipedia.org/wiki/十三大橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯34度42分51秒東経135度29分9.7秒","大阪府大阪市北区-淀川区間","日本","淀川","681.24 m","鋼タイドアーチ、ゲルバー式鋼板桁","20.0 m","","64.0 m","","国道176号","道路橋","","","","1932年1月","1930年1月","","",""
