"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","駅構造","開業年月日","所在地","ホーム","備考","駅番号","電報略号","乗車人員,-統計年度-","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","乗車人員,-統計年次-","種類","本社所在地","設立","業種"
"西鉄二日市駅","西鉄二日市駅（にしてつふつかいちえき）","https://ja.wikipedia.org/wiki/西鉄二日市駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯33度30分7.07秒東経130度31分3.49秒","■天神大牟田線","15.2 km（西鉄福岡（天神）起点）","西日本鉄道","地上駅（橋上駅）","1924年（大正13年）4月12日","福岡県筑紫野市二日市中央六丁目北緯33度30分7.07秒東経130度31分3.49秒﻿ / ﻿北緯33.5019639度 東経130.5176361度﻿ /33.5019639; 130.5176361座標:北緯33度30分7.07秒東経130度31分3.49秒﻿ / ﻿北緯33.5019639度 東経130.5176361度﻿ /33.5019639; 130.5176361","4面5線","","T  13 ","","","21,243人/日-2019年-","","","","","","",""
"西鉄柳川駅","西鉄柳川駅（にしてつやながわえき）","https://ja.wikipedia.org/wiki/西鉄柳川駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯33度9分53.9秒東経130度25分8.38秒","■天神大牟田線","58.4 km（西鉄福岡（天神）起点）","西日本鉄道","橋上駅","1937年（昭和12年）10月1日","福岡県柳川市三橋町下百町北緯33度9分53.9秒東経130度25分8.38秒﻿ / ﻿北緯33.164972度 東経130.4189944度﻿ /33.164972; 130.4189944座標:北緯33度9分53.9秒東経130度25分8.38秒﻿ / ﻿北緯33.164972度 東経130.4189944度﻿ /33.164972; 130.4189944","2面4線","","T  39 ","","","11,221人/日-2019年-","","","","","","",""
"西鉄渡瀬駅","西鉄渡瀬駅（にしてつわたぜえき）","https://ja.wikipedia.org/wiki/西鉄渡瀬駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯33度5分14秒東経130度27分31.1秒","■天神大牟田線","67.9 km（西鉄福岡（天神）起点）","西日本鉄道","地上駅","1938年（昭和13年）10月1日","福岡県大牟田市大字倉永北緯33度5分14秒東経130度27分31.1秒﻿ / ﻿北緯33.08722度 東経130.458639度﻿ /33.08722; 130.458639座標:北緯33度5分14秒東経130度27分31.1秒﻿ / ﻿北緯33.08722度 東経130.458639度﻿ /33.08722; 130.458639","2面4線","","T  45 ","","","347人/日-2019年-","","","","","","",""
"西天下茶屋駅","西天下茶屋駅（にしてんがちゃやえき）","https://ja.wikipedia.org/wiki/西天下茶屋駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯34度38分20.03秒東経135度29分21.02秒","■高野線（汐見橋線）","3.6 km（汐見橋起点）","南海電気鉄道","地上駅","1915年（大正4年）9月18日","大阪市西成区橘三丁目3番23号北緯34度38分20.03秒東経135度29分21.02秒﻿ / ﻿北緯34.6388972度 東経135.4891722度﻿ /34.6388972; 135.4891722座標:北緯34度38分20.03秒東経135度29分21.02秒﻿ / ﻿北緯34.6388972度 東経135.4891722度﻿ /34.6388972; 135.4891722","2面2線","無人駅","NK 06-1","ニシテ","","","","269人/日-2019年-","","","","",""
"西所沢駅","西所沢駅（にしところざわえき）","https://ja.wikipedia.org/wiki/西所沢駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯35度47分21.35秒東経139度27分21.65秒","■池袋線","27.2km（池袋起点）小竹向原から23.8 km","西武鉄道","地上駅","1915年（大正4年）4月15日","埼玉県所沢市西所沢一丁目11-9北緯35度47分21.35秒東経139度27分21.65秒﻿ / ﻿北緯35.7892639度 東経139.4560139度﻿ /35.7892639; 139.4560139﻿ (西所沢駅)座標:北緯35度47分21.35秒東経139度27分21.65秒﻿ / ﻿北緯35.7892639度 東経139.4560139度﻿ /35.7892639; 139.4560139﻿ (西所沢駅)","3面4線","","SI 18","","","25,720人/日-2019年-","","","","","","",""
"西富井駅","西富井駅（にしとみいえき）","https://ja.wikipedia.org/wiki/西富井駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯34度34分40.56秒東経133度44分35.81秒","水島本線","3.6 km（倉敷市起点）","水島臨海鉄道","高架駅","1949年（昭和24年）11月15日","岡山県倉敷市上富井北緯34度34分40.56秒東経133度44分35.81秒座標:北緯34度34分40.56秒 東経133度44分35.81秒","2面2線","無人駅","MR2","ニト","351人/日（降車客含まず）-2018年-","703人/日-2018年-","","","","","","",""
"西富岡駅","西富岡駅（にしとみおかえき）","https://ja.wikipedia.org/wiki/西富岡駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯36度15分36.44秒東経138度52分59.51秒","上信線","21.0 km（高崎起点）","上信電鉄","地上駅","1937年（昭和12年）10月15日","群馬県富岡市七日市671-8北緯36度15分36.44秒東経138度52分59.51秒座標:北緯36度15分36.44秒 東経138度52分59.51秒","単式　1面1線","1953年　病院前駅から改称・営業再開","","","153人/日（降車客含まず）-2019年-","","","","","","","",""
"西富山駅","西富山駅（にしとやまえき）","https://ja.wikipedia.org/wiki/西富山駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯36度41分58.73秒東経137度10分39.21秒","■高山本線","222.2km（岐阜起点）猪谷から33.0 km","西日本旅客鉄道（JR西日本）日本貨物鉄道（JR貨物）*","地上駅","1927年（昭和2年）9月1日","富山県富山市寺町1186北緯36度41分58.73秒東経137度10分39.21秒座標:北緯36度41分58.73秒 東経137度10分39.21秒","2面2線","無人駅（自動券売機 有）","","ニト","389人/日（降車客含まず）-2019年-","","","","","","","",""
"西取手駅","西取手駅（にしとりでえき）","https://ja.wikipedia.org/wiki/西取手駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯35度54分31.16秒東経140度3分33.82秒","■常総線","1.6 km（取手起点）","関東鉄道","高架駅","1979年（昭和54年）12月1日[2]","茨城県取手市本郷一丁目13-1北緯35度54分31.16秒東経140度3分33.82秒﻿ / ﻿北緯35.9086556度 東経140.0593944度﻿ /35.9086556; 140.0593944﻿ (西取手駅)座標:北緯35度54分31.16秒東経140度3分33.82秒﻿ / ﻿北緯35.9086556度 東経140.0593944度﻿ /35.9086556; 140.0593944﻿ (西取手駅)","2面2線","無人駅","","","","2,535[1]人/日-2019年-","","","","","","",""
"西中駅","西中駅（にしなかえき）","https://ja.wikipedia.org/wiki/西中駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯43度25分46.2秒東経142度26分30.57秒","■富良野線","44.2 km（旭川起点）","北海道旅客鉄道（JR北海道）","地上駅","1958年（昭和33年）3月25日","北海道空知郡中富良野町字中富良野基線18号北緯43度25分46.2秒東経142度26分30.57秒﻿ / ﻿北緯43.429500度 東経142.4418250度﻿ /43.429500; 142.4418250﻿ (西中駅)","1面1線","無人駅","○F40","ニナ","","38人/日-2014年-","","","","","","",""
"西中島南方駅","西中島南方駅（にしなかじまみなみがたえき）","https://ja.wikipedia.org/wiki/西中島南方駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯34度43分35.32秒東経135度29分54.87秒","●御堂筋線","3.6 km（江坂起点）千里中央から9.5 km","大阪市高速電気軌道(Osaka Metro)","高架駅","1964年（昭和39年）9月24日","大阪市淀川区西中島一丁目12-10北緯34度43分35.32秒東経135度29分54.87秒﻿ / ﻿北緯34.7264778度 東経135.4985750度﻿ /34.7264778; 135.4985750﻿ (西中島南方駅)座標:北緯34度43分35.32秒東経135度29分54.87秒﻿ / ﻿北緯34.7264778度 東経135.4985750度﻿ /34.7264778; 135.4985750﻿ (西中島南方駅)","2面2線",""," M14 ","","28,387人/日（降車客含まず）-2020年-","55,978人/日-2020年-","南方駅（阪急京都本線）","","","","","",""
"西長田ゆりの里駅","西長田ゆりの里駅（にしながたゆりのさとえき）","https://ja.wikipedia.org/wiki/西長田ゆりの里駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯36度9分13秒東経136度12分23秒","■三国芦原線","11.7km（福井口起点）福井から13.2 km","えちぜん鉄道","地上駅","1928年（昭和3年）12月30日","福井県坂井市春江町西長田20-8-4北緯36度9分13秒東経136度12分23秒﻿ / ﻿北緯36.15361度 東経136.20639度﻿ /36.15361; 136.20639座標:北緯36度9分13秒東経136度12分23秒﻿ / ﻿北緯36.15361度 東経136.20639度﻿ /36.15361; 136.20639","2面3線（実質2面2線）","無人駅（一部時間帯のみ駅員配置駅）2017年（平成29年）3月25日に、西長田駅より改称。","○E35","","164人/日（降車客含まず）-2018年-","","","","","","","",""
"西中通駅","西中通駅（にしなかどおりえき）","https://ja.wikipedia.org/wiki/西中通駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯37度23分33.41秒東経138度35分35.68秒","■越後線","5.0 km（柏崎起点）","東日本旅客鉄道（JR東日本）","地上駅","1912年（大正元年）11月11日[1][1]","新潟県柏崎市大字山本[1]817北緯37度23分33.41秒東経138度35分35.68秒座標:北緯37度23分33.41秒 東経138度35分35.68秒","1面1線[1]","無人駅[1]*1915年に荒浜駅から改称[1][2]。","","ニト","","","","","","","","",""
"西中野停留場","西中野停留場（にしなかのていりゅうじょう）","https://ja.wikipedia.org/wiki/西中野停留場","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯36度40分50.6秒東経137度13分0.3秒","富山軌道線（本線）","1.3 km（南富山駅前起点）","富山地方鉄道","地上駅","1913年（大正2年）9月1日","富山県富山市西中野町北緯36度40分50.6秒東経137度13分0.3秒﻿ / ﻿北緯36.680722度 東経137.216750度﻿ /36.680722; 137.216750﻿ (西中野停留場)","相対式2面2線","","C05","","","443[1]人/日-2019年-","","","","","","",""
"西長堀駅","西長堀駅（にしながほりえき）","https://ja.wikipedia.org/wiki/西長堀駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯34度40分30.92秒東経135度29分14.00秒","●千日前線","2.9 km（野田阪神起点）","大阪市高速電気軌道(Osaka Metro)","地下駅","1969年（昭和44年）4月16日","大阪市西区北堀江三丁目12-20北緯34度40分30.92秒東経135度29分14.00秒﻿ / ﻿北緯34.6752556度 東経135.4872222度﻿ /34.6752556; 135.4872222﻿ (西長堀駅)","計3面4線",""," S14 ","","11,180人/日（降車客含まず）-2020年-","22,242人/日-2020年-","","","","","","",""
"西那須野駅","西那須野駅（にしなすのえき）","https://ja.wikipedia.org/wiki/西那須野駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯36度53分3秒東経139度59分11秒","■東北本線（宇都宮線）","151.8km（東京起点）東京から尾久経由で152.0 km","東日本旅客鉄道（JR東日本）","地上駅（橋上駅）","1886年（明治19年）10月1日","栃木県那須塩原市永田町1-1北緯36度53分3秒東経139度59分11秒座標:北緯36度53分3秒 東経139度59分11秒","2面3線（実質2面2線）","業務委託駅","","ナス","3,740人/日（降車客含まず）-2019年-","","","","","","","",""
"西灘駅","西灘駅（にしなだえき）","https://ja.wikipedia.org/wiki/西灘駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯34度42分21.34秒東経135度13分29.29秒","本線*","29.1 km（大阪梅田起点）","阪神電気鉄道","高架駅[1]","1927年（昭和2年）7月1日[1]**","神戸市灘区都通五丁目5番1号北緯34度42分21.34秒東経135度13分29.29秒﻿ / ﻿北緯34.7059278度 東経135.2248028度﻿ /34.7059278; 135.2248028﻿ (西灘駅)座標:北緯34度42分21.34秒東経135度13分29.29秒﻿ / ﻿北緯34.7059278度 東経135.2248028度﻿ /34.7059278; 135.2248028﻿ (西灘駅)","2面2線[1]","* このほか国道線[1]（1974年廃止）** 1991年4月7日 - 1998年2月15日の間は山陽電鉄線からの直通全列車通過","HS29","","2,792人/日（降車客含まず）-2019年-","","","","","","","",""
"西滑川駅","西滑川駅（にしなめりかわえき）","https://ja.wikipedia.org/wiki/西滑川駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯36度45分21.03秒東経137度20分3.79秒","■本線","19.8 km（電鉄富山起点）","富山地方鉄道","地上駅","1913年（大正2年）6月25日","富山県滑川市菰原294-2北緯36度45分21.03秒東経137度20分3.79秒﻿ / ﻿北緯36.7558417度 東経137.3343861度﻿ /36.7558417; 137.3343861﻿ (西滑川駅)座標:北緯36度45分21.03秒東経137度20分3.79秒﻿ / ﻿北緯36.7558417度 東経137.3343861度﻿ /36.7558417; 137.3343861﻿ (西滑川駅)","単式1面1線","","T16","","","323人/日-2018年-","","","","","","",""
"西28丁目駅","西28丁目駅（にしにじゅうはっちょうめえき）","https://ja.wikipedia.org/wiki/西28丁目駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯43度3分37.24秒東経141度18分52.28秒","東西線","4.9 km（宮の沢起点）","札幌市交通局","地下駅","1976年（昭和51年）6月10日","札幌市中央区北4条西28丁目北緯43度3分37.24秒東経141度18分52.28秒﻿ / ﻿北緯43.0603444度 東経141.3145222度﻿ /43.0603444; 141.3145222﻿ (西28丁目駅)座標:北緯43度3分37.24秒東経141度18分52.28秒﻿ / ﻿北緯43.0603444度 東経141.3145222度﻿ /43.0603444; 141.3145222﻿ (西28丁目駅)","2面2線","","○T05","","10,361人/日（降車客含まず）-2019年-","","","","","","","",""
"西日暮里駅","西日暮里駅（にしにっぽりえき）","https://ja.wikipedia.org/wiki/西日暮里駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","","","","東京地下鉄（東京メトロ・駅詳細）東日本旅客鉄道（JR東日本・駅詳細）東京都交通局（駅詳細）","","","東京都荒川区西日暮里五丁目","","","","","","","","","","","","",""
"西入善駅","西入善駅（にしにゅうぜんえき）","https://ja.wikipedia.org/wiki/西入善駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","","■あいの風とやま鉄道線","81.6 km（倶利伽羅起点）金沢から99.4 km米原から276.0 km","あいの風とやま鉄道[1]","地上駅","1960年（昭和35年）7月1日","","2面2線","無人駅（自動券売機 有）[1]","","ニシ","212人/日（降車客含まず）-2019年-","","","","","","","",""
"虹の駅","虹の駅（にじのえき・神戸すまいまちづくり公社摩耶ロープウェー）","https://ja.wikipedia.org/wiki/虹の駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯34度43分38.37秒東経135度12分43.75秒","摩耶ケーブル線","0.9 km（摩耶ケーブル駅起点）","神戸すまいまちづくり公社","地上駅","1925年（大正14年）1月6日","神戸市灘区畑原（ケーブル）神戸市灘区原田（ロープウェー）北緯34度43分38.37秒東経135度12分43.75秒﻿ / ﻿北緯34.7273250度 東経135.2121528度﻿ /34.7273250; 135.2121528﻿ (摩耶ケーブル 虹の駅)座標:北緯34度43分38.37秒東経135度12分43.75秒﻿ / ﻿北緯34.7273250度 東経135.2121528度﻿ /34.7273250; 135.2121528﻿ (摩耶ケーブル 虹の駅)（ケーブル）北緯34度43分38.81秒東経135度12分40.8秒﻿ / ﻿北緯34.7274472度 東経135.211333度﻿ /34.7274472; 135.211333﻿ (摩耶ロープウェー 虹の駅)（ロープウェー）","2面1線（ケーブル）1面2線（ロープウェー）","* ケーブル側の正式名称は虹駅*2001年摩耶駅から改称","","","","","","","","","","",""
