"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","開業年月日","駅構造","所在地","ホーム","備考","電報略号","乗車人員,-統計年度-","駅番号","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","通称","種別","起終点","駅数","開業"
"志摩横山駅","志摩横山駅（しまよこやまえき）","https://ja.wikipedia.org/wiki/志摩横山駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯34度20分3.24秒東経136度49分4.73秒","M志摩線","20.4km（鳥羽起点）伊勢中川から61.9 km","近畿日本鉄道（近鉄）","1929年（昭和4年）7月23日","地上駅","三重県志摩市阿児町鵜方1243-4北緯34度20分3.24秒東経136度49分4.73秒﻿ / ﻿北緯34.3342333度 東経136.8179806度﻿ /34.3342333; 136.8179806座標:北緯34度20分3.24秒東経136度49分4.73秒﻿ / ﻿北緯34.3342333度 東経136.8179806度﻿ /34.3342333; 136.8179806","2面2線","無人駅（乗車駅証明書発行機 有）*1946年に鵜方口駅から改称。","ヨコヤ","43人/日（降車客含まず）-2019年-"," M90 ","","","","","","","",""
"清水駅 (静岡県)","清水駅 (静岡県)（しみずえき・東海旅客鉄道東海道本線）","https://ja.wikipedia.org/wiki/清水駅_(静岡県)","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯35度1分24.12秒東経138度29分20.64秒","CA東海道本線（静岡地区）","169.0 km（東京起点）","東海旅客鉄道（JR東海）","1889年（明治22年）2月1日","地上駅（橋上駅[1]）","静岡市清水区真砂町1番1号北緯35度1分24.12秒東経138度29分20.64秒﻿ / ﻿北緯35.0233667度 東経138.4890667度﻿ /35.0233667; 138.4890667﻿ (清水駅*)座標:北緯35度1分24.12秒東経138度29分20.64秒﻿ / ﻿北緯35.0233667度 東経138.4890667度﻿ /35.0233667; 138.4890667﻿ (清水駅*)","1面2線","駅長配置駅（管理駅）JR全線きっぷうりば有","シミ","10,332人/日（降車客含まず）-2019年-","CA  14 ","","S 15新清水駅-静岡鉄道静岡清水線徒歩10分","","","","","",""
"清水駅 (愛知県)","清水駅 (愛知県)（しみずえき・名古屋鉄道瀬戸線）","https://ja.wikipedia.org/wiki/清水駅_(愛知県)","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯35度11分14秒東経136度54分50秒","瀬戸線","2.2 km（栄町起点）","名古屋鉄道","1911年（明治44年）5月23日","高架駅","名古屋市北区清水二丁目5-1北緯35度11分14秒東経136度54分50秒﻿ / ﻿北緯35.18722度 東経136.91389度﻿ /35.18722; 136.91389座標:北緯35度11分14秒東経136度54分50秒﻿ / ﻿北緯35.18722度 東経136.91389度﻿ /35.18722; 136.91389","相対式 2面2線","2006年より無人化","","","ST  03 ","2,464人/日-2019年[1]-","","","","","","",""
"清水駅 (大阪府)","清水駅 (大阪府)（しみずえき・大阪メトロ今里筋線）","https://ja.wikipedia.org/wiki/清水駅_(大阪府)","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯34度43分17.92秒東経135度33分38.78秒","●今里筋線","4.9 km（井高野起点）","大阪市高速電気軌道(Osaka Metro)","2006年（平成18年）12月24日","地下駅","大阪市旭区清水4丁目北緯34度43分17.92秒東経135度33分38.78秒﻿ / ﻿北緯34.7216444度 東経135.5607722度﻿ /34.7216444; 135.5607722座標:北緯34度43分17.92秒東経135度33分38.78秒﻿ / ﻿北緯34.7216444度 東経135.5607722度﻿ /34.7216444; 135.5607722","1面2線 ホームドア有り","","","2,591人/日（降車客含まず）-2020年-"," I15 ","5,080人/日-2020年-","","","","","","",""
"冷水浦駅","冷水浦駅（しみずうらえき）","https://ja.wikipedia.org/wiki/冷水浦駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯34度8分30.88秒東経135度11分37.82秒","W紀勢本線（きのくに線）","367.7km（亀山起点）新宮から187.5 km","西日本旅客鉄道（JR西日本）","1938年（昭和13年）12月15日[1]","地上駅（盛土上）","和歌山県海南市冷水318-1北緯34度8分30.88秒東経135度11分37.82秒","2面2線","無人駅（自動券売機 有）","シミ","87人/日（降車客含まず）-2019年-","","","","","","","","",""
"清水川駅","清水川駅（しみずがわえき）","https://ja.wikipedia.org/wiki/清水川駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","","■青い森鉄道線","88.5km（目時起点）東京から705.8 km","青い森鉄道","1936年（昭和11年）6月20日","地上駅","","2面2線","無人駅","シミ","","","150人/日-2018年-","","","","","","",""
"清水公園駅","清水公園駅（しみずこうえんえき）","https://ja.wikipedia.org/wiki/清水公園駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯35度57分33.1秒東経139度51分36.1秒","■野田線（東武アーバンパークライン）","26.6 km（大宮起点）","東武鉄道","1929年（昭和4年）9月1日[1]","地上駅","千葉県野田市清水公園東一丁目32-2北緯35度57分33.1秒東経139度51分36.1秒﻿ / ﻿北緯35.959194度 東経139.860028度﻿ /35.959194; 139.860028座標:北緯35度57分33.1秒東経139度51分36.1秒﻿ / ﻿北緯35.959194度 東経139.860028度﻿ /35.959194; 139.860028","2面3線","","シミ","","TD15","5,031人/日-2019年-","","","","","","",""
"清水原駅","清水原駅（しみずはらえき）","https://ja.wikipedia.org/wiki/清水原駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","","■東北本線","434.4 km（東京起点）","東日本旅客鉄道（JR東日本）","1955年（昭和30年）7月1日[1]","地上駅","","2面2線[1]","無人駅[1]（乗車駅証明書発行機 有）","ツラ","","","","","","","","","",""
"清水町停留場","清水町停留場（しみずまちていりゅうじょう）","https://ja.wikipedia.org/wiki/清水町停留場","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯33度50分56.92秒東経132度45分52.91秒","城北線","1.8 km（古町起点）","伊予鉄道","1927年（昭和2年）4月3日","地上駅","愛媛県松山市清水町1丁目・2丁目北緯33度50分56.92秒東経132度45分52.91秒﻿ / ﻿北緯33.8491444度 東経132.7646972度﻿ /33.8491444; 132.7646972﻿ (清水町停留場)","相対式ホーム1面1線","","","","12","447[1]人/日-2015年-","","","","","","",""
"市民会館停留場","市民会館停留場（しみんかいかんていりゅうじょう）","https://ja.wikipedia.org/wiki/市民会館停留場","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯32度44分56.82秒東経129度52分49.63秒","桜町支線（■3号系統）","0.9 km（長崎駅前起点）","長崎電気軌道","1954年（昭和29年）3月1日*","地上駅","長崎県長崎市魚の町4番18号先北緯32度44分56.82秒東経129度52分49.63秒﻿ / ﻿北緯32.7491167度 東経129.8804528度﻿ /32.7491167; 129.8804528﻿ (市民会館停留場)座標:北緯32度44分56.82秒東経129度52分49.63秒﻿ / ﻿北緯32.7491167度 東経129.8804528度﻿ /32.7491167; 129.8804528﻿ (市民会館停留場)","計4面4線","* 前身となる停留場は1920年開業","","","45","3,300人/日-2015年-","","","","","","",""
"市民公園前駅","市民公園前駅（しみんこうえんまええき）","https://ja.wikipedia.org/wiki/市民公園前駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯35度24分2.26秒東経136度50分30.56秒","各務原線","8.1 km（名鉄岐阜起点）","名古屋鉄道","1926年（大正15年）1月21日","地上駅","岐阜県各務原市那加門前町四丁目51北緯35度24分2.26秒東経136度50分30.56秒﻿ / ﻿北緯35.4006278度 東経136.8418222度﻿ /35.4006278; 136.8418222﻿ (市民公園前駅)座標:北緯35度24分2.26秒東経136度50分30.56秒﻿ / ﻿北緯35.4006278度 東経136.8418222度﻿ /35.4006278; 136.8418222﻿ (市民公園前駅)","2面2線","無人駅管理駅：名鉄岐阜","","","KG  09 ","439人/日-2019年-","","","","","","",""
"市民病院前停留場","市民病院前停留場（しみんびょういんまえていりゅうじょう・万葉線高岡軌道線）","https://ja.wikipedia.org/wiki/市民病院前停留場","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯36度45分28.99秒東経137度1分33.29秒","高岡軌道線","2.4 km（高岡駅起点）","万葉線","1948年（昭和23年）4月10日","地上駅","富山県高岡市向野町三丁目・宝町北緯36度45分28.99秒東経137度1分33.29秒﻿ / ﻿北緯36.7580528度 東経137.0259139度﻿ /36.7580528; 137.0259139座標:北緯36度45分28.99秒東経137度1分33.29秒﻿ / ﻿北緯36.7580528度 東経137.0259139度﻿ /36.7580528; 137.0259139","2面2線","","","","","","","","","","","",""
"市民広場駅","市民広場駅（しみんひろばえき）","https://ja.wikipedia.org/wiki/市民広場駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯34度39分53.64秒東経135度12分44.86秒","ポートアイランド線（ポートライナー）（神戸空港／みなとじま経由三宮方面）","3.8 km（三宮起点）","神戸新交通","1981年（昭和56年）2月5日[1]","高架駅[1]","神戸市中央区港島中町六丁目[1]北緯34度39分53.64秒東経135度12分44.86秒﻿ / ﻿北緯34.6649000度 東経135.2124611度﻿ /34.6649000; 135.2124611﻿ (市民広場駅)座標:北緯34度39分53.64秒東経135度12分44.86秒﻿ / ﻿北緯34.6649000度 東経135.2124611度﻿ /34.6649000; 135.2124611﻿ (市民広場駅)","相対式2面2線[1]","","","7,404人/日（降車客含まず）-2019年-"," P06 ","","","","","","","",""
"占冠駅","占冠駅（しむかっぷえき）","https://ja.wikipedia.org/wiki/占冠駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯42度59分34.94秒東経142度24分0.29秒","■石勝線","77.3 km（南千歳起点）","北海道旅客鉄道（JR北海道）","1981年（昭和56年）10月1日[1]","地上駅","北海道勇払郡占冠村字中央北緯42度59分34.94秒東経142度24分0.29秒﻿ / ﻿北緯42.9930389度 東経142.4000806度﻿ /42.9930389; 142.4000806﻿ (占冠駅)","2面3線","簡易委託駅","シム","","○K21","22人/日-2018年-","","","","","","",""
"志村坂上駅","志村坂上駅（しむらさかうええき）","https://ja.wikipedia.org/wiki/志村坂上駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯35度46分32.8秒東経139度41分43.5秒","●[1]三田線","21.1 km（目黒起点）","東京都交通局（都営地下鉄）","1968年（昭和43年）12月27日","地下駅","東京都板橋区志村一丁目14-13北緯35度46分32.8秒東経139度41分43.5秒﻿ / ﻿北緯35.775778度 東経139.695417度﻿ /35.775778; 139.695417﻿ (志村坂上駅)座標:北緯35度46分32.8秒東経139度41分43.5秒﻿ / ﻿北緯35.775778度 東経139.695417度﻿ /35.775778; 139.695417﻿ (志村坂上駅)","2面2線","","坂（駅名略称）","","I21[1]","30,924人/日-2019年-","","","","","","",""
"志村三丁目駅","志村三丁目駅（しむらさんちょうめえき）","https://ja.wikipedia.org/wiki/志村三丁目駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯35度46分39秒東経139度41分9.2秒","●[1]三田線","22.0 km（目黒起点）","東京都交通局（都営地下鉄）","1968年（昭和43年）12月27日","高架駅","東京都板橋区志村三丁目23-1北緯35度46分39秒東経139度41分9.2秒﻿ / ﻿北緯35.77750度 東経139.685889度﻿ /35.77750; 139.685889﻿ (志村三丁目駅)座標:北緯35度46分39秒東経139度41分9.2秒﻿ / ﻿北緯35.77750度 東経139.685889度﻿ /35.77750; 139.685889﻿ (志村三丁目駅)","2面2線","","村（駅名略称）","","I22[1]","32,536人/日-2019年-","","","","","","",""
"志茂駅","志茂駅（しもえき）","https://ja.wikipedia.org/wiki/志茂駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯35度46分40.5秒東経139度43分57.3秒","●[1]南北線","20.2 km（目黒起点）","東京地下鉄（東京メトロ）","1991年（平成3年）11月29日","地下駅","東京都北区志茂二丁目1-18北緯35度46分40.5秒東経139度43分57.3秒﻿ / ﻿北緯35.777917度 東経139.732583度﻿ /35.777917; 139.732583﻿ (志茂駅)座標:北緯35度46分40.5秒東経139度43分57.3秒﻿ / ﻿北緯35.777917度 東経139.732583度﻿ /35.777917; 139.732583﻿ (志茂駅)","1面2線","業務委託駅（メトロコマース）","シシ","","N18[1]","13,794人/日-2019年-","","","","","","",""
"下赤塚駅","下赤塚駅（しもあかつかえき）","https://ja.wikipedia.org/wiki/下赤塚駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯35度46分13.9秒東経139度38分40.4秒","■東上本線","8.9 km（池袋起点）","東武鉄道","1930年（昭和5年）12月29日","地上駅","東京都板橋区赤塚新町一丁目23-1北緯35度46分13.9秒東経139度38分40.4秒﻿ / ﻿北緯35.770528度 東経139.644556度﻿ /35.770528; 139.644556座標:北緯35度46分13.9秒東経139度38分40.4秒﻿ / ﻿北緯35.770528度 東経139.644556度﻿ /35.770528; 139.644556","2面2線","業務委託駅","アツ","","TJ09","16,287人/日-2019年-","","","","","","",""
"下麻生駅","下麻生駅（しもあそうえき）","https://ja.wikipedia.org/wiki/下麻生駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯35度30分53.71秒東経137度5分13.22秒","CG高山本線","37.9 km（岐阜起点）","東海旅客鉄道（JR東海）","1922年（大正11年）11月25日[1]","地上駅","岐阜県加茂郡川辺町上川辺295北緯35度30分53.71秒東経137度5分13.22秒","2面3線[1]","無人駅[1]","シア","40人/日（降車客含まず）-2019年-","","","","","","","","",""
"下天津駅","下天津駅（しもあまづえき）","https://ja.wikipedia.org/wiki/下天津駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯35度21分34.25秒東経135度6分42.05秒","宮福線","7.6 km（*福知山起点）","WILLER TRAINS（京都丹後鉄道）","1988年（昭和63年）7月16日[1]","高架駅","京都府福知山市下天津北緯35度21分34.25秒東経135度6分42.05秒﻿ / ﻿北緯35.3595139度 東経135.1116806度﻿ /35.3595139; 135.1116806﻿ (下天津駅)座標:北緯35度21分34.25秒東経135度6分42.05秒﻿ / ﻿北緯35.3595139度 東経135.1116806度﻿ /35.3595139; 135.1116806﻿ (下天津駅)","1面1線","無人駅* 正式な起点は宮津駅","","0人/日（降車客含まず）-2018年-","F5","","","","","","","",""
