"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","駅構造","開業年月日","ホーム","所在地","備考","駅番号","電報略号","乗車人員,-統計年度-","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","乗車人員,-統計年次-","Hidden","Hidden","Hidden","Hidden"
"コスモスクエア駅","コスモスクエア駅","https://ja.wikipedia.org/wiki/コスモスクエア駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯34度38分34.25秒東経135度24分46.01秒","●中央線","0.0 km（コスモスクエア起点）","大阪市高速電気軌道(Osaka Metro)","地下駅","1997年（平成9年）12月18日","計2面4線（各 島式1面2線）","大阪市住之江区南港北一丁目30-21北緯34度38分34.25秒東経135度24分46.01秒﻿ / ﻿北緯34.6428472度 東経135.4127806度﻿ /34.6428472; 135.4127806座標:北緯34度38分34.25秒東経135度24分46.01秒﻿ / ﻿北緯34.6428472度 東経135.4127806度﻿ /34.6428472; 135.4127806",""," C10 ","","10,515人/日（降車客含まず）-2020年-","20,611人/日-2020年-","","","","","","",""
"小鳥谷駅","小鳥谷駅（こずやえき）","https://ja.wikipedia.org/wiki/小鳥谷駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","","■いわて銀河鉄道線","59.8km（盛岡起点）東京から595.1 km","IGRいわて銀河鉄道","地上駅","1891年（明治24年）9月1日","2面3線","","簡易委託駅","","コヤ","","98人/日-2019年-","","","","","","",""
"御所駅","御所駅（ごせえき）","https://ja.wikipedia.org/wiki/御所駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯34度27分52.62秒東経135度44分2.27秒","T和歌山線","17.6 km（王寺起点）","西日本旅客鉄道（JR西日本）","地上駅","1896年（明治29年）5月10日[1]","2面2線","奈良県御所市153-2北緯34度27分52.62秒東経135度44分2.27秒﻿ / ﻿北緯34.4646167度 東経135.7339639度﻿ /34.4646167; 135.7339639座標:北緯34度27分52.62秒東経135度44分2.27秒﻿ / ﻿北緯34.4646167度 東経135.7339639度﻿ /34.4646167; 135.7339639","簡易委託駅","","コセ","572人/日（降車客含まず）-2018年-","","近鉄御所駅（近鉄御所線）","","","","","",""
"五泉駅","五泉駅（ごせんえき）","https://ja.wikipedia.org/wiki/五泉駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯37度44分4.43秒東経139度10分46.54秒","■磐越西線","165.7 km（郡山起点）","東日本旅客鉄道（JR東日本）","地上駅","1910年（明治43年）10月25日[1]","2面3線[2]","新潟県五泉市駅前一丁目[1]2-1北緯37度44分4.43秒東経139度10分46.54秒座標:北緯37度44分4.43秒 東経139度10分46.54秒","業務委託駅みどりの窓口有[1]","","コセ","1,109人/日（降車客含まず）-2019年-","","","","","","","",""
"後台駅","後台駅（ごだいえき）","https://ja.wikipedia.org/wiki/後台駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯36度25分25.5秒東経140度29分23.7秒","■水郡線","6.5 km（水戸起点）","東日本旅客鉄道（JR東日本）","地上駅","1935年（昭和10年）9月1日","1面1線","茨城県那珂市後台字宿東695北緯36度25分25.5秒東経140度29分23.7秒座標:北緯36度25分25.5秒 東経140度29分23.7秒","無人駅（自動券売機 有）","","コタ","","","","","","","","",""
"小平駅","小平駅（こだいらえき）","https://ja.wikipedia.org/wiki/小平駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯35度44分13.3秒東経139度29分17.8秒","■新宿線","22.6 km（西武新宿起点）","西武鉄道","地上駅（橋上駅）","1927年（昭和2年）4月16日","2面4線","東京都小平市美園町一丁目34-1北緯35度44分13.3秒東経139度29分17.8秒﻿ / ﻿北緯35.737028度 東経139.488278度﻿ /35.737028; 139.488278座標:北緯35度44分13.3秒東経139度29分17.8秒﻿ / ﻿北緯35.737028度 東経139.488278度﻿ /35.737028; 139.488278","","SS19","","","38,780人/日-2019年-","","","","","","",""
"小滝駅","小滝駅（こたきえき）","https://ja.wikipedia.org/wiki/小滝駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯36度56分17.18秒東経137度51分34.54秒","■大糸線","91.8km（松本起点）南小谷から21.7 km","西日本旅客鉄道（JR西日本）","地上駅","1935年（昭和10年）12月24日","1面1線","新潟県糸魚川市大字小滝字尾巻10747北緯36度56分17.18秒東経137度51分34.54秒﻿ / ﻿北緯36.9381056度 東経137.8595944度﻿ /36.9381056; 137.8595944座標:北緯36度56分17.18秒東経137度51分34.54秒﻿ / ﻿北緯36.9381056度 東経137.8595944度﻿ /36.9381056; 137.8595944","無人駅標高：134m","","コタ","2人/日（降車客含まず）-2019年-","","","","","","","",""
"小竹駅","小竹駅（こたけえき）","https://ja.wikipedia.org/wiki/小竹駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯33度41分47.11秒東経130度42分38.14秒","JC筑豊本線（福北ゆたか線）","31.3 km（若松起点）","九州旅客鉄道（JR九州）","地上駅（橋上駅）[1]","1892年（明治25年）10月28日[1][2]","1面2線[1]","福岡県鞍手郡小竹町大字勝野[1]2128北緯33度41分47.11秒東経130度42分38.14秒﻿ / ﻿北緯33.6964194度 東経130.7105944度﻿ /33.6964194; 130.7105944﻿ (小竹駅)","業務委託駅[3]","JC  17 ","コケ","692人/日（降車客含まず）-2019年-","","","","","","","",""
"小竹向原駅","小竹向原駅（こたけむかいはらえき）","https://ja.wikipedia.org/wiki/小竹向原駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯35度44分38.2秒東経139度40分43.1秒","●[1]東京メトロ有楽町線[* 2][* 3]","8.3 km（和光市起点）","東京地下鉄（東京メトロ）西武鉄道（西武）","地下駅","1983年（昭和58年）6月24日","2面4線","東京都練馬区小竹町二丁目16-15北緯35度44分38.2秒東経139度40分43.1秒﻿ / ﻿北緯35.743944度 東経139.678639度﻿ /35.743944; 139.678639座標:北緯35度44分38.2秒東経139度40分43.1秒﻿ / ﻿北緯35.743944度 東経139.678639度﻿ /35.743944; 139.678639","共同使用駅（東京メトロの管轄駅）","Y06[1]","ムカ","","（東京メトロ）-2019年-191,794[* 1]人/日（西武鉄道）-2019年-147,820[* 1]人/日","","","","","","",""
"児玉駅","児玉駅（こだまえき）","https://ja.wikipedia.org/wiki/児玉駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯36度11分33.51秒東経139度8分8.98秒","■八高線","75.9km（八王子起点）高麗川から44.8 km","東日本旅客鉄道（JR東日本）","地上駅","1931年（昭和6年）7月1日[1]","2面2線[1]","埼玉県本庄市児玉町児玉2482北緯36度11分33.51秒東経139度8分8.98秒﻿ / ﻿北緯36.1926417度 東経139.1358278度﻿ /36.1926417; 139.1358278﻿ (児玉駅)","無人駅","","コマ","356人/日（降車客含まず）-2019年-","","","","","","","",""
"五反田駅","五反田駅（ごたんだえき）","https://ja.wikipedia.org/wiki/五反田駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","","","","東日本旅客鉄道（JR東日本・駅詳細）東急電鉄（駅詳細）東京都交通局（駅詳細）","","","","東京都品川区東五反田","","","","","","","","","","","",""
"五反野駅","五反野駅（ごたんのえき）","https://ja.wikipedia.org/wiki/五反野駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯35度45分56.8秒東経139度48分36.2秒","■伊勢崎線（東武スカイツリーライン）","9.3 km（浅草起点）","東武鉄道","高架駅","1924年（大正13年）10月1日","1面2線","東京都足立区足立三丁目34番6号北緯35度45分56.8秒東経139度48分36.2秒﻿ / ﻿北緯35.765778度 東経139.810056度﻿ /35.765778; 139.810056﻿ (五反野駅)座標:北緯35度45分56.8秒東経139度48分36.2秒﻿ / ﻿北緯35.765778度 東経139.810056度﻿ /35.765778; 139.810056﻿ (五反野駅)","","TS11","タン","","36,756人/日-2019年-","","","","","","",""
"五知駅","五知駅（ごちえき）","https://ja.wikipedia.org/wiki/五知駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯34度24分25秒東経136度48分36.82秒","M志摩線","11.0km（鳥羽起点）伊勢中川から52.5 km","近畿日本鉄道（近鉄）","地上駅","1929年（昭和4年）7月23日","2面2線","三重県志摩市磯部町五知46-9北緯34度24分25秒東経136度48分36.82秒﻿ / ﻿北緯34.40694度 東経136.8102278度﻿ /34.40694; 136.8102278座標:北緯34度24分25秒東経136度48分36.82秒﻿ / ﻿北緯34.40694度 東経136.8102278度﻿ /34.40694; 136.8102278","無人駅（乗車駅証明書発行機 有）"," M85 ","コチ","13人/日（降車客含まず）-2019年-","","","","","","","",""
"木知原駅","木知原駅（こちぼらえき）","https://ja.wikipedia.org/wiki/木知原駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯35度31分4.57秒東経136度38分59.03秒","樽見線","20.2 km（大垣起点）","樽見鉄道","地上駅","1958年（昭和33年）1月15日","1面1線","岐阜県本巣市木知原北緯35度31分4.57秒東経136度38分59.03秒﻿ / ﻿北緯35.5179361度 東経136.6497306度﻿ /35.5179361; 136.6497306座標:北緯35度31分4.57秒東経136度38分59.03秒﻿ / ﻿北緯35.5179361度 東経136.6497306度﻿ /35.5179361; 136.6497306","","","","11人/日（降車客含まず）-2016年-","","","","","","","",""
"御着駅","御着駅（ごちゃくえき）","https://ja.wikipedia.org/wiki/御着駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯34度49分0.99秒東経134度44分8.12秒","A山陽本線（JR神戸線）","50.5km（神戸起点）大阪から83.6 km","西日本旅客鉄道（JR西日本）日本貨物鉄道（JR貨物）","地上駅[1]","1900年（明治33年）4月18日[1]","2面3線[1]*","兵庫県姫路市御国野町御着292[1]北緯34度49分0.99秒東経134度44分8.12秒﻿ / ﻿北緯34.8169417度 東経134.7355889度﻿ /34.8169417; 134.7355889座標:北緯34度49分0.99秒東経134度44分8.12秒﻿ / ﻿北緯34.8169417度 東経134.7355889度﻿ /34.8169417; 134.7355889","直営駅[1]みどりの券売機プラス設置駅","JR-A83","コチ","2,900人/日（降車客含まず）-2019年-","","","","","","","",""
"古津賀駅","古津賀駅（こつかえき）","https://ja.wikipedia.org/wiki/古津賀駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯32度59分9.89秒東経132度57分44.13秒","■中村線","40.9 km（窪川起点）","土佐くろしお鉄道（TKT）","地上駅","1988年（昭和63年）4月1日","1面1線","高知県四万十市古津賀北緯32度59分9.89秒東経132度57分44.13秒","無人駅","○TK39","コツ","","106人/日-2018年-","","","","","","",""
"国会議事堂前駅","国会議事堂前駅（こっかいぎじどうまええき）","https://ja.wikipedia.org/wiki/国会議事堂前駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯35度40分27秒東経139度44分43秒","●[1]丸ノ内線","11.5 km（池袋起点）","東京地下鉄（東京メトロ）","地下駅","1959年（昭和34年）3月15日","2面2線（丸ノ内線）1面2線（千代田線）","東京都千代田区永田町一丁目7-1北緯35度40分27秒東経139度44分43秒﻿ / ﻿北緯35.67417度 東経139.74528度﻿ /35.67417; 139.74528座標:北緯35度40分27秒東経139度44分43秒﻿ / ﻿北緯35.67417度 東経139.74528度﻿ /35.67417; 139.74528","","M14[1]","コク","","159,494[* 1]人/日-2019年-","溜池山王駅（同一駅扱い）G06[1]銀座線・N06[1]南北線","","","","","",""
"小机駅","小机駅（こづくええき）","https://ja.wikipedia.org/wiki/小机駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯35度30分31秒東経139度36分0秒","■横浜線","7.8 km（東神奈川起点）","東日本旅客鉄道（JR東日本）","地上駅（橋上駅）[新聞 1]","1908年（明治41年）9月23日","2面3線","横浜市港北区小机町2534北緯35度30分31秒東経139度36分0秒﻿ / ﻿北緯35.50861度 東経139.60000度﻿ /35.50861; 139.60000座標:北緯35度30分31秒東経139度36分0秒﻿ / ﻿北緯35.50861度 東経139.60000度﻿ /35.50861; 139.60000","直営駅（管理駅）横浜市内駅","JH17","コエ←コヱ","10,345人/日（降車客含まず）-2019年-","","","","","","","",""
"特牛駅","特牛駅（こっといえき）","https://ja.wikipedia.org/wiki/特牛駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯34度18分21.16秒東経130度55分8.3秒","■山陰本線","631.1 km（京都起点）","西日本旅客鉄道（JR西日本）","地上駅","1928年（昭和3年）9月9日","1面1線","山口県下関市豊北町大字神田字大場ヶ迫264-2北緯34度18分21.16秒東経130度55分8.3秒﻿ / ﻿北緯34.3058778度 東経130.918972度﻿ /34.3058778; 130.918972座標:北緯34度18分21.16秒東経130度55分8.3秒﻿ / ﻿北緯34.3058778度 東経130.918972度﻿ /34.3058778; 130.918972","無人駅","","コツ","10人/日（降車客含まず）-2019年-","","","","","","","",""
"小繋駅","小繋駅（こつなぎえき）","https://ja.wikipedia.org/wiki/小繋駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯40度7分23.39秒東経141度15分37.88秒","■いわて銀河鉄道線","52.2km（盛岡起点）東京から587.5 km","IGRいわて銀河鉄道","地上駅","1909年（明治42年）9月21日","2面2線","岩手県二戸郡一戸町小繋字西田子3-2北緯40度7分23.39秒東経141度15分37.88秒座標:北緯40度7分23.39秒 東経141度15分37.88秒","無人駅","","ツナ","","7人/日-2019年-","","","","","","",""
"木津用水駅","木津用水駅（こつようすいえき）","https://ja.wikipedia.org/wiki/木津用水駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯35度22分1.2秒東経136度55分34秒","犬山線","22.6 km（枇杷島分岐点起点）","名古屋鉄道","地上駅","1912年（大正元年）8月6日","2面2線","愛知県丹羽郡扶桑町高雄字米ノ山266番地北緯35度22分1.2秒東経136度55分34秒﻿ / ﻿北緯35.367000度 東経136.92611度﻿ /35.367000; 136.92611座標:北緯35度22分1.2秒東経136度55分34秒﻿ / ﻿北緯35.367000度 東経136.92611度﻿ /35.367000; 136.92611","無人駅（駅集中管理システム導入駅）","IY  13 ","","","2,169人/日-2019年[1]-","","","","","","",""
"小鶴新田駅","小鶴新田駅（こづるしんでんえき）","https://ja.wikipedia.org/wiki/小鶴新田駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯38度16分24.25秒東経140度56分6.99秒","■仙石線","5.6 km（あおば通起点）","東日本旅客鉄道（JR東日本）","地上駅（橋上駅）[1]","2004年（平成16年）3月13日[1]","2面2線[1]","仙台市宮城野区新田東三丁目20北緯38度16分24.25秒東経140度56分6.99秒﻿ / ﻿北緯38.2734028度 東経140.9352750度﻿ /38.2734028; 140.9352750﻿ (小鶴新田駅)座標:北緯38度16分24.25秒東経140度56分6.99秒﻿ / ﻿北緯38.2734028度 東経140.9352750度﻿ /38.2734028; 140.9352750﻿ (小鶴新田駅)","業務委託駅みどりの窓口有仙台市内駅","","コテ","6,229人/日（降車客含まず）-2019年-","","","","","","","",""
