"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","駅構造","開業年月日","所在地","ホーム","駅番号","備考","電報略号","乗降人員,-統計年度-","乗車人員,-統計年度-","乗換","通称","国","種類","起点","終点","駅数"
"群馬藤岡駅","群馬藤岡駅（ぐんまふじおかえき）","https://ja.wikipedia.org/wiki/群馬藤岡駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯36度15分0.66秒東経139度4分59.94秒","■八高線","84.7km（八王子起点）高麗川から53.6 km","東日本旅客鉄道（JR東日本）","地上駅","1931年（昭和6年）7月1日[1]","群馬県藤岡市藤岡629-2北緯36度15分0.66秒東経139度4分59.94秒﻿ / ﻿北緯36.2501833度 東経139.0833167度﻿ /36.2501833; 139.0833167座標:北緯36度15分0.66秒東経139度4分59.94秒﻿ / ﻿北緯36.2501833度 東経139.0833167度﻿ /36.2501833; 139.0833167","2面2線[1]","","業務委託駅","フシ","","1,138人/日（降車客含まず）-2019年-","","","","","","",""
"群馬八幡駅","群馬八幡駅（ぐんまやわたえき）","https://ja.wikipedia.org/wiki/群馬八幡駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯36度20分16.20秒東経138度57分26.86秒","■信越本線","6.4 km（高崎起点）","東日本旅客鉄道（JR東日本）","地上駅","1924年（大正13年）10月15日[1]","群馬県高崎市八幡町284北緯36度20分16.20秒東経138度57分26.86秒座標:北緯36度20分16.20秒 東経138度57分26.86秒","2面2線[1]","","業務委託駅","クヤ","","1,197人/日（降車客含まず）-2019年-","","","","","","",""
"蹴上駅","蹴上駅（けあげえき）","https://ja.wikipedia.org/wiki/蹴上駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯35度0分28.93秒東経135度47分24.82秒","東西線","10.5 km（六地蔵起点）","京都市交通局（京都市営地下鉄）","地下駅","1997年（平成9年）10月12日","京都市東山区東小物座町北緯35度0分28.93秒東経135度47分24.82秒﻿ / ﻿北緯35.0080361度 東経135.7902278度﻿ /35.0080361; 135.7902278座標:北緯35度0分28.93秒東経135度47分24.82秒﻿ / ﻿北緯35.0080361度 東経135.7902278度﻿ /35.0080361; 135.7902278","1面2線","●T09","","","11,095人/日-2019年-","","","","","","","",""
"京王稲田堤駅","京王稲田堤駅（けいおういなだづつみえき）","https://ja.wikipedia.org/wiki/京王稲田堤駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯35度38分2秒東経139度31分52秒","■相模原線","2.5 km（調布起点）新宿から18.0 km","京王電鉄","高架駅","1971年（昭和46年）4月1日","川崎市多摩区菅四丁目1番1号北緯35度38分2秒東経139度31分52秒﻿ / ﻿北緯35.63389度 東経139.53111度﻿ /35.63389; 139.53111﻿ (京王稲田堤駅)座標:北緯35度38分2秒東経139度31分52秒﻿ / ﻿北緯35.63389度 東経139.53111度﻿ /35.63389; 139.53111﻿ (京王稲田堤駅)","2面2線","KO36","","","57,300人/日-2019年-","","稲田堤駅（東日本旅客鉄道（JR東日本）南武線）","","","","","",""
"京王片倉駅","京王片倉駅（けいおうかたくらえき）","https://ja.wikipedia.org/wiki/京王片倉駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯35度38分39.7秒東経139度20分14.3秒","■高尾線","1.7 km（北野起点）新宿から37.8 km","京王電鉄","地上駅","1931年（昭和6年）3月20日（御陵線片倉駅として）1967年（昭和42年）10月1日","東京都八王子市片倉町34-9北緯35度38分39.7秒東経139度20分14.3秒﻿ / ﻿北緯35.644361度 東経139.337306度﻿ /35.644361; 139.337306﻿ (京王片倉駅)座標:北緯35度38分39.7秒東経139度20分14.3秒﻿ / ﻿北緯35.644361度 東経139.337306度﻿ /35.644361; 139.337306﻿ (京王片倉駅)","2面2線","KO48","","","5,054人/日-2019年-","","片倉駅（JR横浜線）","","","","","",""
"京王多摩川駅","京王多摩川駅（けいおうたまがわえき）","https://ja.wikipedia.org/wiki/京王多摩川駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯35度38分41.3秒東経139度32分13.3秒","■相模原線","1.2 km（調布起点）新宿から16.7 km","京王電鉄","高架駅","1916年（大正5年）6月1日","東京都調布市多摩川四丁目40番地1北緯35度38分41.3秒東経139度32分13.3秒﻿ / ﻿北緯35.644806度 東経139.537028度﻿ /35.644806; 139.537028﻿ (京王多摩川駅)座標:北緯35度38分41.3秒東経139度32分13.3秒﻿ / ﻿北緯35.644806度 東経139.537028度﻿ /35.644806; 139.537028﻿ (京王多摩川駅)","2面2線","KO35","1937年（昭和12年）、多摩川原駅から改称","","17,021人/日-2019年-","","","","","","","",""
"多摩センター駅","京王多摩センター駅（けいおうたまセンターえき）","https://ja.wikipedia.org/wiki/多摩センター駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","","","","京王電鉄（駅詳細）小田急電鉄（駅詳細）多摩都市モノレール（駅詳細）","","","東京都多摩市落合一丁目","","","","","","","","","","","","",""
"永山駅 (東京都)","京王永山駅（けいおうながやまえき）","https://ja.wikipedia.org/wiki/永山駅_(東京都)","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","","","","京王電鉄（駅名は『京王永山』）小田急電鉄（駅名は『小田急永山』）","","","東京都多摩市永山一丁目","","","","","","","","","","","","",""
"京王八王子駅","京王八王子駅（けいおうはちおうじえき）","https://ja.wikipedia.org/wiki/京王八王子駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯35度39分28.3秒東経139度20分35.3秒","■京王線","37.9 km（新宿起点）","京王電鉄","地下駅","1925年（大正14年）3月24日","東京都八王子市明神町三丁目27番1号北緯35度39分28.3秒東経139度20分35.3秒﻿ / ﻿北緯35.657861度 東経139.343139度﻿ /35.657861; 139.343139座標:北緯35度39分28.3秒東経139度20分35.3秒﻿ / ﻿北緯35.657861度 東経139.343139度﻿ /35.657861; 139.343139","1面2線","KO34","","","58,124人/日-2019年-","","八王子駅東日本旅客鉄道（JR東日本）","","","","","",""
"京王堀之内駅","京王堀之内駅（けいおうほりのうちえき）","https://ja.wikipedia.org/wiki/京王堀之内駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯35度37分28秒東経139度24分1秒","■相模原線","16.0 km（調布起点）新宿から31.5 km","京王電鉄","高架駅","1988年（昭和63年）5月21日","東京都八王子市堀之内三丁目24番地4北緯35度37分28秒東経139度24分1秒﻿ / ﻿北緯35.62444度 東経139.40028度﻿ /35.62444; 139.40028﻿ (京王堀之内駅)座標:北緯35度37分28秒東経139度24分1秒﻿ / ﻿北緯35.62444度 東経139.40028度﻿ /35.62444; 139.40028﻿ (京王堀之内駅)","2面2線（有効長210m）","KO42","","","32,280人/日-2019年-","","","","","","","",""
"京王よみうりランド駅","京王よみうりランド駅（けいおうよみうりランドえき）","https://ja.wikipedia.org/wiki/京王よみうりランド駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯35度37分58.5秒東経139度31分2.5秒","■相模原線","3.9 km（調布起点）新宿から19.4 km","京王電鉄","高架駅","1971年（昭和46年）4月1日","東京都稲城市矢野口2200番地1北緯35度37分58.5秒東経139度31分2.5秒﻿ / ﻿北緯35.632917度 東経139.517361度﻿ /35.632917; 139.517361﻿ (京王よみうりランド駅)座標:北緯35度37分58.5秒東経139度31分2.5秒﻿ / ﻿北緯35.632917度 東経139.517361度﻿ /35.632917; 139.517361﻿ (京王よみうりランド駅)","2面2線","KO37","","","13,687人/日-2019年-","","","","","","","",""
"京急大津駅","京急大津駅（けいきゅうおおつえき）","https://ja.wikipedia.org/wiki/京急大津駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯35度15分39秒東経139度41分45.2秒","■本線","53.1 km（品川起点）","京浜急行電鉄","地上駅","1930年（昭和5年）4月1日","神奈川県横須賀市大津町1-11-19北緯35度15分39秒東経139度41分45.2秒﻿ / ﻿北緯35.26083度 東経139.695889度﻿ /35.26083; 139.695889﻿ (京急大津駅)座標:北緯35度15分39秒東経139度41分45.2秒﻿ / ﻿北緯35.26083度 東経139.695889度﻿ /35.26083; 139.695889﻿ (京急大津駅)","2面2線","KK62","1987年 京浜大津駅より改称[1]","","4,943人/日-2019年-","","","","","","","",""
"京急蒲田駅","京急蒲田駅（けいきゅうかまたえき）","https://ja.wikipedia.org/wiki/京急蒲田駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯35度33分38.5秒東経139度43分25.4秒","■本線","8.0 km（品川起点）","京浜急行電鉄（京急）","高架駅","1901年（明治34年）2月1日*","東京都大田区蒲田四丁目50-10北緯35度33分38.5秒東経139度43分25.4秒﻿ / ﻿北緯35.560694度 東経139.723722度﻿ /35.560694; 139.723722座標:北緯35度33分38.5秒東経139度43分25.4秒﻿ / ﻿北緯35.560694度 東経139.723722度﻿ /35.560694; 139.723722","2面6線","KK11","","","64,280人/日-2018年-","","","","","","","",""
"京急川崎駅","京急川崎駅（けいきゅうかわさきえき）","https://ja.wikipedia.org/wiki/京急川崎駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯35度31分58.0秒東経139度42分3.0秒","■本線","11.8 km（品川起点）","京浜急行電鉄（京急）","高架駅（本線）地上駅（大師線）","1902年（明治35年）9月1日","川崎市川崎区砂子1丁目3番地1北緯35度31分58.0秒東経139度42分3.0秒﻿ / ﻿北緯35.532778度 東経139.700833度﻿ /35.532778; 139.700833座標:北緯35度31分58.0秒東経139度42分3.0秒﻿ / ﻿北緯35.532778度 東経139.700833度﻿ /35.532778; 139.700833","2面4線（本線）2面2線（大師線）計4面6線","KK20","","","132,524人/日-2019年-","","東日本旅客鉄道（JR東日本）川崎駅","","","","","",""
"京急久里浜駅","京急久里浜駅（けいきゅうくりはまえき）","https://ja.wikipedia.org/wiki/京急久里浜駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯35度13分52.7秒東経139度42分7.3秒","■久里浜線","4.5km（堀ノ内起点）品川から56.8 km","京浜急行電鉄","高架駅","1942年（昭和17年）12月1日","神奈川県横須賀市久里浜四丁目4番10号北緯35度13分52.7秒東経139度42分7.3秒﻿ / ﻿北緯35.231306度 東経139.702028度﻿ /35.231306; 139.702028﻿ (京急久里浜駅)座標:北緯35度13分52.7秒東経139度42分7.3秒﻿ / ﻿北緯35.231306度 東経139.702028度﻿ /35.231306; 139.702028﻿ (京急久里浜駅)","2面3線","KK67","","","42,350人/日-2019年-","","久里浜駅-東日本旅客鉄道（JR東日本）横須賀線","","","","","",""
"京急新子安駅","京急新子安駅（けいきゅうしんこやすえき）","https://ja.wikipedia.org/wiki/京急新子安駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯35度29分13.5秒東経139度39分20秒","■本線","18.3 km（品川起点）","京浜急行電鉄（京急）","地上駅","1910年（明治43年）3月27日","横浜市神奈川区子安通3-289北緯35度29分13.5秒東経139度39分20秒﻿ / ﻿北緯35.487083度 東経139.65556度﻿ /35.487083; 139.65556﻿ (京急新子安駅)座標:北緯35度29分13.5秒東経139度39分20秒﻿ / ﻿北緯35.487083度 東経139.65556度﻿ /35.487083; 139.65556﻿ (京急新子安駅)","2面2線","KK32","1987年　京浜新子安駅より改称[1]","","8,399人/日-2019年-","","","","","","","",""
"京急田浦駅","京急田浦駅（けいきゅうたうらえき）","https://ja.wikipedia.org/wiki/京急田浦駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯35度18分2.5秒東経139度37分31.9秒","■本線","44.5 km（品川起点）","京浜急行電鉄","高架駅","1930年（昭和5年）4月1日[1]","神奈川県横須賀市船越町5-2北緯35度18分2.5秒東経139度37分31.9秒﻿ / ﻿北緯35.300694度 東経139.625528度﻿ /35.300694; 139.625528﻿ (京急田浦駅)座標:北緯35度18分2.5秒東経139度37分31.9秒﻿ / ﻿北緯35.300694度 東経139.625528度﻿ /35.300694; 139.625528﻿ (京急田浦駅)","2面2線","KK55","1987年（昭和62年）6月1日に「京浜田浦駅」から改称[1]","","12,986人/日-2019年-","","","","","","","",""
"京急鶴見駅","京急鶴見駅（けいきゅうつるみえき）","https://ja.wikipedia.org/wiki/京急鶴見駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯35度30分26.2秒東経139度40分41.1秒","■本線","15.3 km（品川起点）","京浜急行電鉄（京急）","高架駅","1905年（明治38年）12月24日","横浜市鶴見区鶴見中央一丁目30-22北緯35度30分26.2秒東経139度40分41.1秒﻿ / ﻿北緯35.507278度 東経139.678083度﻿ /35.507278; 139.678083﻿ (京急鶴見駅)座標:北緯35度30分26.2秒東経139度40分41.1秒﻿ / ﻿北緯35.507278度 東経139.678083度﻿ /35.507278; 139.678083﻿ (京急鶴見駅)","2面3線","KK29","1987年、京浜鶴見駅より改称[1]","","33,348人/日-2019年-","","鶴見駅（JR京浜東北線・鶴見線）","","","","","",""
"京急富岡駅","京急富岡駅（けいきゅうとみおかえき）","https://ja.wikipedia.org/wiki/京急富岡駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯35度22分1.5秒東経139度37分47.5秒","■本線","36.7 km（品川起点）","京浜急行電鉄","高架駅","1930年（昭和5年）7月10日","横浜市金沢区富岡西七丁目1番1号北緯35度22分1.5秒東経139度37分47.5秒﻿ / ﻿北緯35.367083度 東経139.629861度﻿ /35.367083; 139.629861﻿ (京急富岡駅)座標:北緯35度22分1.5秒東経139度37分47.5秒﻿ / ﻿北緯35.367083度 東経139.629861度﻿ /35.367083; 139.629861﻿ (京急富岡駅)","2面3線","KK47","","","21,764人/日-2019年-","","","","","","","",""
"京急長沢駅","京急長沢駅（けいきゅうながさわえき）","https://ja.wikipedia.org/wiki/京急長沢駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯35度12分20.6秒東経139度40分27.7秒","■久里浜線","8.5km（堀ノ内起点）品川から60.8 km","京浜急行電鉄","高架駅","1966年（昭和41年）3月27日","神奈川県横須賀市長沢一丁目35番1号北緯35度12分20.6秒東経139度40分27.7秒﻿ / ﻿北緯35.205722度 東経139.674361度﻿ /35.205722; 139.674361﻿ (京急長沢駅)座標:北緯35度12分20.6秒東経139度40分27.7秒﻿ / ﻿北緯35.205722度 東経139.674361度﻿ /35.205722; 139.674361﻿ (京急長沢駅)","島式 1面2線","KK69","1987年 京浜長沢駅から改称[1]","","7,232人/日-2019年-","","","","","","","",""
