"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","位置","所属事業者","所属路線","キロ程","電報略号","駅構造","ホーム","乗車人員,-統計年度-","開業年月日","備考","乗降人員,-統計年度-","駅番号","乗降人員,-統計年次-","乗換","乗車人員,-統計年次-","標高","Hidden","Hidden","Hidden","Hidden"
"稲荷山公園駅","稲荷山公園駅（いなりやまこうえんえき）","https://ja.wikipedia.org/wiki/稲荷山公園駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","埼玉県狭山市稲荷山一丁目1北緯35度50分42.52秒東経139度23分54.25秒﻿ / ﻿北緯35.8451444度 東経139.3984028度﻿ /35.8451444; 139.3984028﻿ (稲荷山公園駅)座標:北緯35度50分42.52秒東経139度23分54.25秒﻿ / ﻿北緯35.8451444度 東経139.3984028度﻿ /35.8451444; 139.3984028﻿ (稲荷山公園駅)","","西武鉄道","■池袋線","35.9km（池袋起点）小竹向原から32.5 km","","地上駅","2面2線","","1933年（昭和8年）4月1日","","10,053人/日-2019年-","SI22","","","","","","",""
"猪苗代駅","猪苗代駅（いなわしろえき）","https://ja.wikipedia.org/wiki/猪苗代駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","","","東日本旅客鉄道（JR東日本）","■磐越西線[1]","36.7 km（郡山起点）","イロ","地上駅","2面2線","545人/日（降車客含まず）-2019年-","1899年（明治32年）7月15日[1]","業務委託駅みどりの窓口有[1]","","","","","","","","",""
"猪苗代湖畔駅","猪苗代湖畔駅（いなわしろこはんえき・臨時・休止中）","https://ja.wikipedia.org/wiki/猪苗代湖畔駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","","","東日本旅客鉄道（JR東日本）","■磐越西線","29.3 km（郡山起点）","イコ","地上駅","1面1線[2]","0人/日（降車客含まず）-2004年-","1986年（昭和61年）7月20日[1]","臨時駅[2]（夏季のみ営業）","","","","","","","","",""
"犬飼駅","犬飼駅（いぬかいえき）","https://ja.wikipedia.org/wiki/犬飼駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","大分県豊後大野市犬飼町下津尾[1]北緯33度4分41.29秒東経131度38分11.91秒","","九州旅客鉄道（JR九州）","■豊肥本線","22.8 km（大分起点）","イヌ","地上駅","1面2線[1]","324人/日（降車客含まず）-2016年[2]-","1917年（大正6年）7月20日[3]","無人駅[1]（自動券売機 有）","","","","","","","","",""
"犬川駅","犬川駅（いぬかわえき）","https://ja.wikipedia.org/wiki/犬川駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","山形県東置賜郡川西町大字小松北緯38度1分32.44秒東経140度3分7.55秒座標:北緯38度1分32.44秒 東経140度3分7.55秒","","東日本旅客鉄道（JR東日本）","■米坂線","19.4 km（米沢起点）","イヌ","地上駅","1面1線","48人/日（降車客含まず）-2004年-","1926年（大正15年）9月28日","無人駅","","","","","","","","",""
"犬島新町駅","犬島新町駅（いぬじましんまちえき）","https://ja.wikipedia.org/wiki/犬島新町駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","富山県富山市犬島新町北緯36度44分6.5秒東経137度13分35.7秒﻿ / ﻿北緯36.735139度 東経137.226583度﻿ /36.735139; 137.226583﻿ (犬島新町駅)座標:北緯36度44分6.5秒東経137度13分35.7秒﻿ / ﻿北緯36.735139度 東経137.226583度﻿ /36.735139; 137.226583﻿ (犬島新町駅)","","富山地方鉄道","■富山港線","4.7 km（富山駅起点）","","地上駅","2面1線","","2006年（平成18年）4月29日","","146[1]人/日-2019年-","C34","","","","","","",""
"犬塚駅","犬塚駅（いぬづかえき）","https://ja.wikipedia.org/wiki/犬塚駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","福岡県久留米市三潴町玉満北緯33度14分50.61秒東経130度27分46.53秒﻿ / ﻿北緯33.2473917度 東経130.4629250度﻿ /33.2473917; 130.4629250座標:北緯33度14分50.61秒東経130度27分46.53秒﻿ / ﻿北緯33.2473917度 東経130.4629250度﻿ /33.2473917; 130.4629250","","西日本鉄道","■天神大牟田線","48.0 km（西鉄福岡（天神）起点）","","地上駅","2面2線","","1937年（昭和12年）10月1日","","1,083人/日-2019年-","T  34 ","","","","","","",""
"犬吠駅","犬吠駅（いぬぼうえき）","https://ja.wikipedia.org/wiki/犬吠駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","千葉県銚子市犬吠埼9595-1北緯35度42分22.6秒東経140度51分39.8秒座標:北緯35度42分22.6秒 東経140度51分39.8秒","","銚子電気鉄道","■銚子電気鉄道線","5.5 km（銚子起点）","","地上駅","1面1線","114人/日（降車客含まず）-2018年-","1935年（昭和10年）8月14日","終日駅員配置駅","","CD09","","","","","","",""
"犬山駅","犬山駅（いぬやまえき）","https://ja.wikipedia.org/wiki/犬山駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","愛知県犬山市犬山富士見町14北緯35度22分49秒東経136度56分44秒﻿ / ﻿北緯35.38028度 東経136.94556度﻿ /35.38028; 136.94556座標:北緯35度22分49秒東経136度56分44秒﻿ / ﻿北緯35.38028度 東経136.94556度﻿ /35.38028; 136.94556","","名古屋鉄道","犬山線（各務原線直通含む）*","24.9 km（枇杷島分岐点起点）名鉄岐阜から各務原線経由で19.5 km","","地上駅（橋上駅）","3面6線","","1912年（大正元年）8月6日","*両線で直通運転を実施。","17,532人/日-2019年-","IY  15 ","","","","","","",""
"犬山口駅","犬山口駅（いぬやまぐちえき）","https://ja.wikipedia.org/wiki/犬山口駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","愛知県犬山市大字犬山字末友21-4北緯35度22分27秒東経136度56分23秒﻿ / ﻿北緯35.37417度 東経136.93972度﻿ /35.37417; 136.93972座標:北緯35度22分27秒東経136度56分23秒﻿ / ﻿北緯35.37417度 東経136.93972度﻿ /35.37417; 136.93972","","名古屋鉄道","犬山線","24.0 km（枇杷島分岐点起点）","","地上駅","2面2線","","1912年（大正元年）8月6日","無人駅（駅集中管理システム導入駅）","2,064人/日-2019年-","IY  14 ","","","","","","",""
"犬山遊園駅","犬山遊園駅（いぬやまゆうえんえき）","https://ja.wikipedia.org/wiki/犬山遊園駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","愛知県犬山市犬山瑞泉寺24番地1北緯35度23分26秒東経136度56分49秒﻿ / ﻿北緯35.39056度 東経136.94694度﻿ /35.39056; 136.94694座標:北緯35度23分26秒東経136度56分49秒﻿ / ﻿北緯35.39056度 東経136.94694度﻿ /35.39056; 136.94694","","名古屋鉄道","犬山線","26.1 km（枇杷島分岐点起点）名鉄岐阜から各務原線経由で18.3 km","","地上駅","相対式 2面2線","","1926年（大正15年）5月25日","無人駅1949年に犬山橋駅から改称。","1,473人/日-2019年-","IY  16 ","","","","","","",""
"井野駅 (群馬県)","井野駅 (群馬県)（いのえき・東日本旅客鉄道上越線）","https://ja.wikipedia.org/wiki/井野駅_(群馬県)","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","群馬県高崎市井野町103北緯36度21分26.33秒東経139度1分22.61秒﻿ / ﻿北緯36.3573139度 東経139.0229472度﻿ /36.3573139; 139.0229472﻿ (井野駅)座標:北緯36度21分26.33秒東経139度1分22.61秒﻿ / ﻿北緯36.3573139度 東経139.0229472度﻿ /36.3573139; 139.0229472﻿ (井野駅)","","東日本旅客鉄道（JR東日本）","■上越線（■吾妻線・■両毛線直通含む）","4.0km（高崎起点）東京から尾久経由で109.2 km","イノ←ヰノ","地上駅","2面2線","2,155人/日（降車客含まず）-2019年-","1948年（昭和23年）12月25日","業務委託駅みどりの窓口有","","","","","","","","",""
"井野駅 (千葉県)","井野駅 (千葉県)（いのえき・山万ユーカリが丘線）","https://ja.wikipedia.org/wiki/井野駅_(千葉県)","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","千葉県佐倉市ユーカリが丘七丁目24番1号北緯35度43分57.4秒東経140度8分54.7秒﻿ / ﻿北緯35.732611度 東経140.148528度﻿ /35.732611; 140.148528座標:北緯35度43分57.4秒東経140度8分54.7秒﻿ / ﻿北緯35.732611度 東経140.148528度﻿ /35.732611; 140.148528","","山万","■ユーカリが丘線","3.6 km（ユーカリが丘起点）","","地上駅","単式 1面1線","","1983年（昭和58年）9月22日[1]","無人駅","","","","","168人/日（降車客含まず）-2018年-","","","",""
"伊野駅","伊野駅（いのえき・四国旅客鉄道土讃線）","https://ja.wikipedia.org/wiki/伊野駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","高知県吾川郡いの町","","四国旅客鉄道（JR四国・駅詳細）とさでん交通（駅詳細）","","","","","","","","","","","","","","","","",""
"伊野停留場","伊野停留場（いのていりゅうじょう・とさでん交通伊野線）","https://ja.wikipedia.org/wiki/伊野停留場","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","高知県吾川郡いの町北緯33度32分54.28秒東経133度25分44.75秒﻿ / ﻿北緯33.5484111度 東経133.4290972度﻿ /33.5484111; 133.4290972﻿ (伊野停留場)","","とさでん交通","伊野線","11.2 km（はりまや橋起点）","","地上駅","2面2線","","1907年（明治40年）11月7日","","","","","","","","","",""
"居能駅","居能駅（いのうえき）","https://ja.wikipedia.org/wiki/居能駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","山口県宇部市居能町二丁目12-13北緯33度58分1.42秒東経131度13分41.38秒﻿ / ﻿北緯33.9670611度 東経131.2281611度﻿ /33.9670611; 131.2281611座標:北緯33度58分1.42秒東経131度13分41.38秒﻿ / ﻿北緯33.9670611度 東経131.2281611度﻿ /33.9670611; 131.2281611","","西日本旅客鉄道（JR西日本）","■宇部線","28.9 km（新山口起点）","イノ","地上駅","2面2線","186人/日（降車客含まず）-2019年-","1929年（昭和4年）5月16日","無人駅（自動券売機 有）","","","","","","","","",""
"伊野駅","伊野駅前停留場（いのえきまえていりゅうじょう）","https://ja.wikipedia.org/wiki/伊野駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","高知県吾川郡いの町","","四国旅客鉄道（JR四国・駅詳細）とさでん交通（駅詳細）","","","","","","","","","","","","","","","","",""
"井の頭公園駅","井の頭公園駅（いのかしらこうえんえき）","https://ja.wikipedia.org/wiki/井の頭公園駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","東京都三鷹市井の頭三丁目35番12号北緯35度41分51秒東経139度34分58秒﻿ / ﻿北緯35.69750度 東経139.58278度﻿ /35.69750; 139.58278﻿ (井の頭公園駅)座標:北緯35度41分51秒東経139度34分58秒﻿ / ﻿北緯35.69750度 東経139.58278度﻿ /35.69750; 139.58278﻿ (井の頭公園駅)","","京王電鉄","■井の頭線","12.1 km（渋谷起点）","","地上駅","2面2線","","1933年（昭和8年）8月1日","","6,814人/日-2019年-","IN16","","","","","","",""
"井口駅 (石川県)","井口駅 (石川県)（いのくちえき・北陸鉄道石川線）","https://ja.wikipedia.org/wiki/井口駅_(石川県)","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","石川県白山市明光1丁目85北緯36度28分36.08秒東経136度36分44.15秒﻿ / ﻿北緯36.4766889度 東経136.6122639度﻿ /36.4766889; 136.6122639座標:北緯36度28分36.08秒東経136度36分44.15秒﻿ / ﻿北緯36.4766889度 東経136.6122639度﻿ /36.4766889; 136.6122639","","北陸鉄道","■石川線","10.7 km（野町起点）","","地上駅","単式 1面1線","","1937年（昭和12年）8月1日","","262人/日-2018年-","○I14","","","","","","",""
"井口駅 (広島県)","井口駅 (広島県)（いのくちえき・広島電鉄宮島線）","https://ja.wikipedia.org/wiki/井口駅_(広島県)","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","広島市西区井口明神二丁目1-16[1]北緯34度22分18.65秒東経132度23分9.85秒﻿ / ﻿北緯34.3718472度 東経132.3860694度﻿ /34.3718472; 132.3860694﻿ (井口駅)座標:北緯34度22分18.65秒東経132度23分9.85秒﻿ / ﻿北緯34.3718472度 東経132.3860694度﻿ /34.3718472; 132.3860694﻿ (井口駅)","","広島電鉄","■宮島線","4.8 km（広電西広島起点）","","地上駅","2面2線","1,118人/日（降車客含まず）-2017年-","1924年（大正13年）4月6日","1日当たりの乗車人員は、年間乗車人員を日数で除することで算出した参考値","","●M26","","","","","","",""
"伊野商業前停留場","伊野商業前停留場（いのしょうぎょうまえていりゅうじょう）","https://ja.wikipedia.org/wiki/伊野商業前停留場","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","高知県吾川郡いの町北緯33度33分0.76秒東経133度26分39.5秒﻿ / ﻿北緯33.5502111度 東経133.444306度﻿ /33.5502111; 133.444306﻿ (伊野商業前停留場*)","","とさでん交通","伊野線","9.8 km（はりまや橋起点）","","地上駅","2面1線","","1907年（明治40年）11月7日","* 1963年に挟間橋停留場から改称","","","","","","","","",""
"猪谷駅","猪谷駅（いのたにえき）","https://ja.wikipedia.org/wiki/猪谷駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","富山県富山市猪谷字旦暮1085北緯36度28分18.16秒東経137度14分17.04秒座標:北緯36度28分18.16秒 東経137度14分17.04秒","","西日本旅客鉄道（JR西日本）*東海旅客鉄道（JR東海）","高山本線（JR西日本）CG高山本線（JR東海）","189.2 km（岐阜起点）","イニ","地上駅","1面2線","249人/日（降車客含まず）-2019年-","1930年（昭和5年）11月27日","無人駅（自動券売機有）","","","","","","","","",""
"いのつき駅","いのつき駅","https://ja.wikipedia.org/wiki/いのつき駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","長崎県佐世保市江迎町猪調北緯33度16分57.65秒東経129度40分2.81秒","","松浦鉄道","■西九州線","64.9 km（有田起点）","","地上駅","1面1線","","1990年（平成2年）3月10日","","41人/日-2018年-","","","","","","","",""
"伊野灘駅","伊野灘駅（いのなだえき）","https://ja.wikipedia.org/wiki/伊野灘駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","島根県出雲市美野町523-4北緯35度27分40.52秒東経132度54分3.25秒座標:北緯35度27分40.52秒 東経132度54分3.25秒","","一畑電車","北松江線","19.4 km（電鉄出雲市起点）","","地上駅","1面1線","30人/日（降車客含まず）-2018年-","1928年（昭和3年）4月5日","","57人/日-2018年-","14","","","","","","",""
"井原停留場","井原停留場（いはらていりゅうじょう・豊橋鉄道東田本線）","https://ja.wikipedia.org/wiki/井原停留場","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","愛知県豊橋市井原町北緯34度45分50.79秒東経137度25分18.75秒﻿ / ﻿北緯34.7641083度 東経137.4218750度﻿ /34.7641083; 137.4218750座標:北緯34度45分50.79秒東経137度25分18.75秒﻿ / ﻿北緯34.7641083度 東経137.4218750度﻿ /34.7641083; 137.4218750","","豊橋鉄道","東田本線","4.1 km（駅前起点）","","地上駅","3面2線","","1960年（昭和35年）6月1日","",""," 12 ","","","","","","",""
"井原駅","井原駅（いばらえき・井原鉄道井原線）","https://ja.wikipedia.org/wiki/井原駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","岡山県井原市七日市町北緯34度35分34.49秒東経133度28分8.23秒","","井原鉄道","井原線","30.5 km（総社起点）","イハ","地上駅","1面2線","","1999年（平成11年）1月11日[1]","直営駅[1]","801人/日-2018年-","","","","","","","",""
