"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","開業年月日","駅構造","所在地","ホーム","備考","駅番号","電報略号","乗車人員,-統計年度-","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","種類","本社所在地","設立","業種","法人番号"
"竹橋駅","竹橋駅（たけばしえき）","https://ja.wikipedia.org/wiki/竹橋駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯35度41分26.7秒東経139度45分24.7秒","●[1]東西線","9.7 km（中野起点）","東京地下鉄（東京メトロ）","1966年（昭和41年）3月16日","地下駅","東京都千代田区一ツ橋一丁目1-1北緯35度41分26.7秒東経139度45分24.7秒﻿ / ﻿北緯35.690750度 東経139.756861度﻿ /35.690750; 139.756861﻿ (竹橋駅)座標:北緯35度41分26.7秒東経139度45分24.7秒﻿ / ﻿北緯35.690750度 東経139.756861度﻿ /35.690750; 139.756861﻿ (竹橋駅)","2面2線","","T08[1]","タケ","","49,315人/日-2019年-","","","","","","",""
"竹鼻駅","竹鼻駅（たけはなえき）","https://ja.wikipedia.org/wiki/竹鼻駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯35度19分36秒東経136度42分23秒","竹鼻線","8.6 km（笠松起点）","名古屋鉄道","1921年（大正10年）6月25日","地上駅","岐阜県羽島市竹鼻町狐穴栄町3305北緯35度19分36秒東経136度42分23秒﻿ / ﻿北緯35.32667度 東経136.70639度﻿ /35.32667; 136.70639座標:北緯35度19分36秒東経136度42分23秒﻿ / ﻿北緯35.32667度 東経136.70639度﻿ /35.32667; 136.70639","1面1線","無人駅（駅集中管理システム導入駅）*1929年（昭和4年）2月19日～1951年（昭和26年）1月1日までは栄町駅","TH  06 ","","","2,044人/日-2019年-","","","","","","",""
"竹原駅","竹原駅（たけはらえき）","https://ja.wikipedia.org/wiki/竹原駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯34度20分22.18秒東経132度54分36.08秒","Y呉線","25.3 km（三原起点）","西日本旅客鉄道（JR西日本）","1932年（昭和7年）7月10日","地上駅","広島県竹原市中央一丁目1-1北緯34度20分22.18秒東経132度54分36.08秒﻿ / ﻿北緯34.3394944度 東経132.9100222度﻿ /34.3394944; 132.9100222座標:北緯34度20分22.18秒東経132度54分36.08秒﻿ / ﻿北緯34.3394944度 東経132.9100222度﻿ /34.3394944; 132.9100222","1面2線","業務委託駅みどりの券売機設置駅","JR-Y25","ケラ","672人/日（降車客含まず）-2018年-","","","","","","","",""
"武生駅","武生駅（たけふえき）","https://ja.wikipedia.org/wiki/武生駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯35度54分11.99秒東経136度10分15.09秒","■北陸本線","81.0 km（米原起点）","西日本旅客鉄道（JR西日本）","1896年（明治29年）7月15日","地上駅","福井県越前市府中一丁目1-1北緯35度54分11.99秒東経136度10分15.09秒﻿ / ﻿北緯35.9033306度 東経136.1708583度﻿ /35.9033306; 136.1708583座標:北緯35度54分11.99秒東経136度10分15.09秒﻿ / ﻿北緯35.9033306度 東経136.1708583度﻿ /35.9033306; 136.1708583","2面3線","直営駅みどりの窓口有","","タフ","2,330人/日（降車客含まず）-2019年-","","","","","","","",""
"建部駅","建部駅（たけべえき）","https://ja.wikipedia.org/wiki/建部駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯34度50分32.15秒東経133度53分57.22秒","T津山線","27.0 km（岡山起点）","西日本旅客鉄道（JR西日本）","1900年（明治33年）4月14日[1]","地上駅","岡山市北区建部町中田北緯34度50分32.15秒東経133度53分57.22秒","2面2線","無人駅","","タヘ","174人/日（降車客含まず）-2019年-","","","","","","","",""
"竹松駅","竹松駅（たけまつえき）","https://ja.wikipedia.org/wiki/竹松駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯32度56分24.23秒東経129度57分10.18秒","大村線","32.8 km（早岐起点）","九州旅客鉄道（JR九州）","1922年（大正11年）5月25日","地上駅","長崎県大村市竹松本町531北緯32度56分24.23秒東経129度57分10.18秒﻿ / ﻿北緯32.9400639度 東経129.9528278度﻿ /32.9400639; 129.9528278﻿ (竹松駅)","2面2線","業務委託駅","","ケマ","1,183人/日（降車客含まず）-2019年-","","","","","","","",""
"竹村駅","竹村駅（たけむらえき）","https://ja.wikipedia.org/wiki/竹村駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯35度2分24.7秒東経137度6分54.1秒","三河線","12.8km（猿投起点）知立から8.5 km","名古屋鉄道","1920年（大正9年）7月5日","地上駅","愛知県豊田市竹町宮下16北緯35度2分24.7秒東経137度6分54.1秒﻿ / ﻿北緯35.040194度 東経137.115028度﻿ /35.040194; 137.115028座標:北緯35度2分24.7秒東経137度6分54.1秒﻿ / ﻿北緯35.040194度 東経137.115028度﻿ /35.040194; 137.115028","島式 1面2線","無人駅（駅集中管理システム導入駅）","MY  04 ","","","3,341人/日-2019年[1]-","","","","","","",""
"田子駅","田子駅（たこえき）","https://ja.wikipedia.org/wiki/田子駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯33度29分25.25秒東経135度40分38.95秒","W紀勢本線（きのくに線）","233.7km（亀山起点）新宮から53.5 km","西日本旅客鉄道（JR西日本）","1954年（昭和29年）11月15日","地上駅","和歌山県東牟婁郡串本町和深2954北緯33度29分25.25秒東経135度40分38.95秒","1面1線","無人駅","","タコ","5人/日（降車客含まず）-2019年-","","","","","","","",""
"蛸地蔵駅","蛸地蔵駅（たこじぞうえき）","https://ja.wikipedia.org/wiki/蛸地蔵駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯34度27分22.53秒東経135度22分10.75秒","■南海本線","26.9 km（難波起点）","南海電気鉄道","1914年（大正3年）4月1日","地上駅","大阪府岸和田市岸城町16番1号北緯34度27分22.53秒東経135度22分10.75秒﻿ / ﻿北緯34.4562583度 東経135.3696528度﻿ /34.4562583; 135.3696528座標:北緯34度27分22.53秒東経135度22分10.75秒﻿ / ﻿北緯34.4562583度 東経135.3696528度﻿ /34.4562583; 135.3696528","2面2線","","NK 25","タコ","","","","4,681人/日-2019年-","","","","",""
"太宰府駅","太宰府駅（だざいふえき）","https://ja.wikipedia.org/wiki/太宰府駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯33度31分8.53秒東経130度31分53.07秒","■太宰府線","2.4 km（西鉄二日市起点）","西日本鉄道","1902年（明治35年）5月1日","地上駅","福岡県太宰府市宰府二丁目北緯33度31分8.53秒東経130度31分53.07秒﻿ / ﻿北緯33.5190361度 東経130.5314083度﻿ /33.5190361; 130.5314083座標:北緯33度31分8.53秒東経130度31分53.07秒﻿ / ﻿北緯33.5190361度 東経130.5314083度﻿ /33.5190361; 130.5314083","3面2線","","D  02 ","","","12,139人/日-2019年-","","","","","","",""
"田崎橋停留場","田崎橋停留場（たさきばしていりゅうじょう）","https://ja.wikipedia.org/wiki/田崎橋停留場","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯32度47分7.45秒東経130度41分19.10秒","田崎線（■A系統）","0.5km（熊本駅前起点）健軍町から9.2 km","熊本市交通局","1959年（昭和34年）12月24日","地上駅","熊本市西区春日二丁目北緯32度47分7.45秒東経130度41分19.10秒﻿ / ﻿北緯32.7854028度 東経130.6886389度﻿ /32.7854028; 130.6886389座標:北緯32度47分7.45秒東経130度41分19.10秒﻿ / ﻿北緯32.7854028度 東経130.6886389度﻿ /32.7854028; 130.6886389","2面1線","*■A系統起点","□1","","","979[1]人/日-2015年-","","","","","","",""
"田沢駅","田沢駅（たざわえき）","https://ja.wikipedia.org/wiki/田沢駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯36度18分2.69秒東経137度56分27.83秒","■篠ノ井線","45.1 km（塩尻起点）","東日本旅客鉄道（JR東日本）","1902年（明治35年）6月15日","地上駅","長野県安曇野市豊科田沢北緯36度18分2.69秒東経137度56分27.83秒﻿ / ﻿北緯36.3007472度 東経137.9410639度﻿ /36.3007472; 137.9410639座標:北緯36度18分2.69秒東経137度56分27.83秒﻿ / ﻿北緯36.3007472度 東経137.9410639度﻿ /36.3007472; 137.9410639","1面2線","簡易委託駅標高：555.9m","","タサ","515人/日（降車客含まず）-2019年-","","","","","","","",""
"田沢湖駅","田沢湖駅（たざわこえき）","https://ja.wikipedia.org/wiki/田沢湖駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯39度42分1秒東経140度43分20.7秒","■秋田新幹線","40.1km（盛岡起点）東京から575.4 km","東日本旅客鉄道（JR東日本）","1923年（大正12年）8月31日","地上駅","秋田県仙北市田沢湖生保内字男坂68北緯39度42分1秒東経140度43分20.7秒﻿ / ﻿北緯39.70028度 東経140.722417度﻿ /39.70028; 140.722417座標:北緯39度42分1秒東経140度43分20.7秒﻿ / ﻿北緯39.70028度 東経140.722417度﻿ /39.70028; 140.722417","2面3線","業務委託駅[1]みどりの窓口有","","ワコナイ（改称前）","289人/日（降車客含まず）-2019年-","","","","","","","",""
"出平駅","出平駅（だしだいらえき）","https://ja.wikipedia.org/wiki/出平駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯36度46分1.68秒東経137度38分1.5秒","黒部峡谷鉄道本線","9.1 km（宇奈月起点）","黒部峡谷鉄道","","","富山県黒部市宇奈月町音澤北緯36度46分1.68秒東経137度38分1.5秒座標:北緯36度46分1.68秒 東経137度38分1.5秒","島式　1面2線","専用駅","","","","","","","","","","",""
"駄科駅","駄科駅（だしなえき）","https://ja.wikipedia.org/wiki/駄科駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯35度28分30.21秒東経137度50分21.80秒","CD飯田線","121.1 km（豊橋起点）","東海旅客鉄道（JR東海）","1927年（昭和2年）4月8日[1]","地上駅","長野県飯田市駄科[1]下平867北緯35度28分30.21秒東経137度50分21.80秒﻿ / ﻿北緯35.4750583度 東経137.8393889度﻿ /35.4750583; 137.8393889座標:北緯35度28分30.21秒東経137度50分21.80秒﻿ / ﻿北緯35.4750583度 東経137.8393889度﻿ /35.4750583; 137.8393889","1面1線[1]","駅員無配置駅[1]標高：411m[1]","","タナ[1]","151人/日（降車客含まず）-2018年-","","","","","","","",""
"丹治部駅","丹治部駅（たじべえき）","https://ja.wikipedia.org/wiki/丹治部駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯35度2分46.95秒東経133度33分13.12秒","K姫新線","145.0 km（姫路起点）","西日本旅客鉄道（JR西日本）","1930年（昭和5年）12月11日","地上駅","岡山県新見市大佐田治部北緯35度2分46.95秒東経133度33分13.12秒﻿ / ﻿北緯35.0463750度 東経133.5536444度﻿ /35.0463750; 133.5536444﻿ (丹治部駅)","1面1線","無人駅","","タチ","15人/日（降車客含まず）-2019年-","","","","","","","",""
"田島駅","田島駅（たじまえき・東武佐野線）","https://ja.wikipedia.org/wiki/田島駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯36度17分25.97秒東経139度33分53.77秒","■佐野線","6.9 km（館林起点）","東武鉄道","1914年（大正3年）8月2日","地上駅","栃木県佐野市田島町184北緯36度17分25.97秒東経139度33分53.77秒﻿ / ﻿北緯36.2905472度 東経139.5649361度﻿ /36.2905472; 139.5649361﻿ (田島駅)座標:北緯36度17分25.97秒東経139度33分53.77秒﻿ / ﻿北緯36.2905472度 東経139.5649361度﻿ /36.2905472; 139.5649361﻿ (田島駅)","1面2線","","TI32","シマ","","132人/日-2019年-","","","","","","",""
"但馬駅","但馬駅（たじまえき・近鉄田原本線）","https://ja.wikipedia.org/wiki/但馬駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯34度34分9.69秒東経135度46分4.35秒","I田原本線","7.1 km（新王寺起点）","近畿日本鉄道（近鉄）","1932年（昭和7年）5月5日","地平駅","奈良県磯城郡三宅町大字但馬263北緯34度34分9.69秒東経135度46分4.35秒﻿ / ﻿北緯34.5693583度 東経135.7678750度﻿ /34.5693583; 135.7678750座標:北緯34度34分9.69秒東経135度46分4.35秒﻿ / ﻿北緯34.5693583度 東経135.7678750度﻿ /34.5693583; 135.7678750","1面1線","無人駅"," I38 ","タシマ","443人/日（降車客含まず）-2018年-","","","","","","","",""
"田島高校前駅","田島高校前駅（たじまこうこうまええき）","https://ja.wikipedia.org/wiki/田島高校前駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","","会津線","39.5 km（西若松起点）","会津鉄道","1951年（昭和26年）12月1日[1]","地上駅","","1面1線","","","タヘ（転換前）ツコ（会津鉄道）","93人/日（降車客含まず）-2015年-","","","","","","","",""
"多治見駅","多治見駅（たじみえき）","https://ja.wikipedia.org/wiki/多治見駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯35度20分6.068秒東経137度7分16.219秒","CF中央本線（名古屋地区）","360.7km（東京起点）名古屋から36.2 km","東海旅客鉄道（JR東海）日本貨物鉄道（JR貨物）","1900年（明治33年）7月25日[1]","地上駅（橋上駅）","岐阜県多治見市音羽町二丁目北緯35度20分6.068秒東経137度7分16.219秒﻿ / ﻿北緯35.33501889度 東経137.12117194度﻿ /35.33501889; 137.12117194座標:北緯35度20分6.068秒東経137度7分16.219秒﻿ / ﻿北緯35.33501889度 東経137.12117194度﻿ /35.33501889; 137.12117194","3面5線","駅長配置駅（管理駅）JR全線きっぷうりば有","CF  12 ","タミ","13,264人/日（降車客含まず）-2019年-","","","","","","","",""
"田尻駅","田尻駅（たじりえき）","https://ja.wikipedia.org/wiki/田尻駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯38度35分46.43秒東経141度3分31.66秒","■東北本線","401.1 km（東京起点）","東日本旅客鉄道（JR東日本）","1908年（明治41年）12月25日[1]","地上駅","宮城県大崎市田尻沼部字塩加良66-3北緯38度35分46.43秒東経141度3分31.66秒座標:北緯38度35分46.43秒 東経141度3分31.66秒","2面2線[1]","無人駅[2]","","タシ","434人/日（降車客含まず）-2017年-","","","","","","","",""
