"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","開業年月日","駅構造","ホーム","所在地","備考","駅番号","電報略号","乗車人員,-統計年度-","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","標高","標高差","最長滑走距離","最大傾斜","コース数"
"瀬戸市駅","瀬戸市駅（せとしえき）","https://ja.wikipedia.org/wiki/瀬戸市駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯35度13分34秒東経137度4分42秒","■愛知環状鉄道線","39.1 km（岡崎起点）","愛知環状鉄道","1988年（昭和63年）1月31日","高架駅","2面2線","愛知県瀬戸市東横山町114−3北緯35度13分34秒東経137度4分42秒﻿ / ﻿北緯35.22611度 東経137.07833度﻿ /35.22611; 137.07833座標:北緯35度13分34秒東経137度4分42秒﻿ / ﻿北緯35.22611度 東経137.07833度﻿ /35.22611; 137.07833","終日有人駅","○21","セト","","6,392人/日-2018年-","■名鉄瀬戸線（新瀬戸駅）","","","","","",""
"瀬戸市役所前駅","瀬戸市役所前駅（せとしやくしょまええき）","https://ja.wikipedia.org/wiki/瀬戸市役所前駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯35度13分30秒東経137度5分3秒","瀬戸線","19.4 km（栄町起点）","名古屋鉄道","1905年（明治38年）4月2日","地上駅","相対式 2面2線","愛知県瀬戸市西追分町2北緯35度13分30秒東経137度5分3秒﻿ / ﻿北緯35.22500度 東経137.08417度﻿ /35.22500; 137.08417座標:北緯35度13分30秒東経137度5分3秒﻿ / ﻿北緯35.22500度 東経137.08417度﻿ /35.22500; 137.08417","無人駅*1958年追分駅から改称。","ST  19 ","","","2,879人/日-2019年[1]-","","","","","","",""
"瀬戸瀬駅","瀬戸瀬駅（せとせえき）","https://ja.wikipedia.org/wiki/瀬戸瀬駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯44度0分31.41秒東経143度25分15.75秒","■石北本線","109.7 km（新旭川起点）","北海道旅客鉄道（JR北海道）","1927年（昭和2年）10月10日","地上駅","2面2線","北海道紋別郡遠軽町瀬戸瀬西町北緯44度0分31.41秒東経143度25分15.75秒","無人駅","○A49","セセ","","4人/日-2014年-","","","","","","",""
"銭函駅","銭函駅（ぜにばこえき）","https://ja.wikipedia.org/wiki/銭函駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯43度8分37.16秒東経141度9分34.83秒","■函館本線","268.1 km（函館起点）","北海道旅客鉄道（JR北海道）","1880年（明治13年）11月28日","地上駅","2面2線","北海道小樽市銭函2丁目2番5号北緯43度8分37.16秒東経141度9分34.83秒","社員配置駅みどりの窓口有","○S11","セニ","1,817人/日（降車客含まず）-2019年-","","","","","","","",""
"瀬野駅","瀬野駅（せのえき）","https://ja.wikipedia.org/wiki/瀬野駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯34度25分18.9秒東経132度35分47.7秒","G山陽本線","289.5 km（神戸起点）","西日本旅客鉄道（JR西日本）","1894年（明治27年）6月10日","地上駅（橋上駅）[1]","2面4線","広島県広島市安芸区瀬野一丁目5-1北緯34度25分18.9秒東経132度35分47.7秒﻿ / ﻿北緯34.421917度 東経132.596583度﻿ /34.421917; 132.596583座標:北緯34度25分18.9秒東経132度35分47.7秒﻿ / ﻿北緯34.421917度 東経132.596583度﻿ /34.421917; 132.596583","業務委託駅みどりの窓口有広島市内駅","JR-G07","セノ","3,593人/日（降車客含まず）-2019年-","","みどり口駅（スカイレール）","","","","","",""
"瀬上駅","瀬上駅（せのうええき）","https://ja.wikipedia.org/wiki/瀬上駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯37度48分8.57秒東経140度29分54.48秒","■阿武隈急行線","7.5 km（福島起点）","阿武隈急行","1988年（昭和63年）7月1日","地上駅","2面2線","福島県福島市瀬上町字桜町北緯37度48分8.57秒東経140度29分54.48秒﻿ / ﻿北緯37.8023806度 東経140.4984667度﻿ /37.8023806; 140.4984667座標:北緯37度48分8.57秒東経140度29分54.48秒﻿ / ﻿北緯37.8023806度 東経140.4984667度﻿ /37.8023806; 140.4984667","無人駅","","","162人/日（降車客含まず）-2016年-","","","","","","","",""
"妹尾駅","妹尾駅（せのおえき）","https://ja.wikipedia.org/wiki/妹尾駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯34度36分30.1秒東経133度52分17.41秒","L宇野線（宇野みなと線）（M瀬戸大橋線含む）","8.3 km（岡山起点）","西日本旅客鉄道（JR西日本）","1910年（明治43年）6月12日","地上駅（橋上駅）[1]","2面2線","岡山市南区東畦145番地北緯34度36分30.1秒東経133度52分17.41秒﻿ / ﻿北緯34.608361度 東経133.8715028度﻿ /34.608361; 133.8715028座標:北緯34度36分30.1秒東経133度52分17.41秒﻿ / ﻿北緯34.608361度 東経133.8715028度﻿ /34.608361; 133.8715028","業務委託駅みどりの窓口有","JR-L04（宇野みなと線）JR-M04（瀬戸大橋線）","ノオ","3,163人/日（降車客含まず）-2019年-","","","","","","","",""
"洗馬駅","洗馬駅（せばえき）","https://ja.wikipedia.org/wiki/洗馬駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯36度5分13.12秒東経137度54分59.62秒","CF中央本線","226.3km（東京起点）名古屋から170.6 km","東海旅客鉄道（JR東海）","1909年（明治42年）12月1日[1]","地上駅","2面3線[1]","長野県塩尻市大字宗賀洗馬[1]北緯36度5分13.12秒東経137度54分59.62秒﻿ / ﻿北緯36.0869778度 東経137.9165611度﻿ /36.0869778; 137.9165611﻿ (洗馬駅)","駅員無配置駅[1]標高：762.5m[1]","","セハ[1]","58人/日（降車客含まず）-2018年-","","","","","","","",""
"瀬辺地駅","瀬辺地駅（せへじえき）","https://ja.wikipedia.org/wiki/瀬辺地駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","","■津軽線","23.4 km（青森起点）","東日本旅客鉄道（JR東日本）","1951年（昭和26年）12月5日[1]","地上駅","1面1線[1]","","無人駅[1]","","セヘ","","","","","","","","",""
"瀬見温泉駅","瀬見温泉駅（せみおんせんえき）","https://ja.wikipedia.org/wiki/瀬見温泉駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯38度45分18.45秒東経140度25分10.22秒","■陸羽東線","75.0 km（小牛田起点）","東日本旅客鉄道（JR東日本）","1915年（大正4年）11月1日","地上駅","1面1線","山形県最上郡最上町大字大堀北緯38度45分18.45秒東経140度25分10.22秒座標:北緯38度45分18.45秒 東経140度25分10.22秒","無人駅*1999年に瀬見駅から改称。","","セミ","47人/日（降車客含まず）-2004年-","","","","","","","",""
"瀬峰駅","瀬峰駅（せみねえき）","https://ja.wikipedia.org/wiki/瀬峰駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯38度39分18.45秒東経141度4分25.48秒","■東北本線","407.8 km（東京起点）","東日本旅客鉄道（JR東日本）","1890年（明治23年）4月16日[1]","地上駅","2面3線[1]","宮城県栗原市瀬峰下田102-4北緯38度39分18.45秒東経141度4分25.48秒座標:北緯38度39分18.45秒 東経141度4分25.48秒","業務委託駅みどりの窓口有[1]","","セネ","499人/日（降車客含まず）-2019年-","","","","","","","",""
"瀬谷駅","瀬谷駅（せやえき）","https://ja.wikipedia.org/wiki/瀬谷駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯35度28分13秒東経139度28分57秒","本線","15.5 km（横浜起点）","相模鉄道","1926年（大正15年）5月12日","地上駅（橋上駅）","2面4線","横浜市瀬谷区瀬谷四丁目1-1北緯35度28分13秒東経139度28分57秒﻿ / ﻿北緯35.47028度 東経139.48250度﻿ /35.47028; 139.48250座標:北緯35度28分13秒東経139度28分57秒﻿ / ﻿北緯35.47028度 東経139.48250度﻿ /35.47028; 139.48250","","SO13","セヤ","","44,736人/日-2018年-","","","","","","",""
"勢野北口駅","勢野北口駅（せやきたぐちえき）","https://ja.wikipedia.org/wiki/勢野北口駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯34度36分21.77秒東経135度42分3秒","G生駒線","1.7 km（王寺起点）","近畿日本鉄道（近鉄）","1951年（昭和26年）11月20日","地上駅","1面1線","奈良県生駒郡三郷町勢野東四丁目3-50北緯34度36分21.77秒東経135度42分3秒﻿ / ﻿北緯34.6060472度 東経135.70083度﻿ /34.6060472; 135.70083座標:北緯34度36分21.77秒東経135度42分3秒﻿ / ﻿北緯34.6060472度 東経135.70083度﻿ /34.6060472; 135.70083","無人駅（自動券売機 有）"," G26 ","セヤ","992人/日（降車客含まず）-2018年-","","","","","","","",""
"世良田駅","世良田駅（せらだえき）","https://ja.wikipedia.org/wiki/世良田駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯36度16分22.71秒東経139度16分52.72秒","■伊勢崎線","104.1 km（浅草起点）","東武鉄道","1927年（昭和2年）10月1日","地上駅","1面2線","群馬県太田市世良田町2415-1北緯36度16分22.71秒東経139度16分52.72秒﻿ / ﻿北緯36.2729750度 東経139.2813111度﻿ /36.2729750; 139.2813111﻿ (世良田駅)座標:北緯36度16分22.71秒東経139度16分52.72秒﻿ / ﻿北緯36.2729750度 東経139.2813111度﻿ /36.2729750; 139.2813111﻿ (世良田駅)","簡易委託駅（駅舎外発券）","TI21","セラ","","464人/日-2019年-","","","","","","",""
"膳駅","膳駅（ぜんえき）","https://ja.wikipedia.org/wiki/膳駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯36度25分1.5秒東経139度13分18.81秒","■上毛線","14.3 km（中央前橋起点）","上毛電気鉄道","1928年（昭和3年）11月10日","地上駅","1面1線","群馬県前橋市粕川町膳568-3北緯36度25分1.5秒東経139度13分18.81秒﻿ / ﻿北緯36.417083度 東経139.2218917度﻿ /36.417083; 139.2218917﻿ (膳駅)座標:北緯36度25分1.5秒東経139度13分18.81秒﻿ / ﻿北緯36.417083度 東経139.2218917度﻿ /36.417083; 139.2218917﻿ (膳駅)","","","","","95人/日-2018年-","","","","","","",""
"泉岳寺駅","泉岳寺駅（せんがくじえき）","https://ja.wikipedia.org/wiki/泉岳寺駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯35度38分19.3秒東経139度44分24秒","●[1]都営地下鉄浅草線[* 2]","6.9 km（西馬込起点）","東京都交通局（都営地下鉄）京浜急行電鉄（京急）","1968年（昭和43年）6月21日[2]","地下駅","2面4線","東京都港区高輪二丁目16-34北緯35度38分19.3秒東経139度44分24秒﻿ / ﻿北緯35.638694度 東経139.74000度﻿ /35.638694; 139.74000﻿ (泉岳寺駅)座標:北緯35度38分19.3秒東経139度44分24秒﻿ / ﻿北緯35.638694度 東経139.74000度﻿ /35.638694; 139.74000﻿ (泉岳寺駅)","共同使用駅（東京都交通局の管轄駅）[4]","A07[1]","泉（駅名略称）","","（東京都交通局）-2019年-223,574[* 1]人/日（京急）-2019年-201,772[* 1]人/日","高輪ゲートウェイ駅[3]（JR山手線・JR京浜東北線）","","","","","",""
"千川駅","千川駅（せんかわえき）","https://ja.wikipedia.org/wiki/千川駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯35度44分18.3秒東経139度41分21秒","●[1]有楽町線","9.3 km（和光市起点）","東京地下鉄（東京メトロ）","1983年（昭和58年）6月24日","地下駅","各1面2線（計2面4線）","東京都豊島区要町三丁目10-7北緯35度44分18.3秒東経139度41分21秒﻿ / ﻿北緯35.738417度 東経139.68917度﻿ /35.738417; 139.68917座標:北緯35度44分18.3秒東経139度41分21秒﻿ / ﻿北緯35.738417度 東経139.68917度﻿ /35.738417; 139.68917","業務委託駅（メトロコマース）","Y07[1]","カワ","","40,617人/日-2019年-","","","","","","",""
"仙川駅","仙川駅（せんがわえき）","https://ja.wikipedia.org/wiki/仙川駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯35度39分44.3秒東経139度35分5.6秒","■京王線","11.5 km（新宿起点）","京王電鉄","1913年（大正2年）4月15日[1]","地上駅（半地下構造）","2面2線[1]","東京都調布市仙川町一丁目43番地北緯35度39分44.3秒東経139度35分5.6秒﻿ / ﻿北緯35.662306度 東経139.584889度﻿ /35.662306; 139.584889﻿ (仙川駅)座標:北緯35度39分44.3秒東経139度35分5.6秒﻿ / ﻿北緯35.662306度 東経139.584889度﻿ /35.662306; 139.584889﻿ (仙川駅)","1917年 下仙川駅から改称[1]","KO13","","","82,714人/日-2019年-","","","","","","",""
"善行駅","善行駅（ぜんぎょうえき）","https://ja.wikipedia.org/wiki/善行駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯35度21分46秒東経139度28分23.5秒","江ノ島線","19.7 km（相模大野起点）新宿から52.0 km","小田急電鉄","1960年（昭和35年）10月1日","地上駅（橋上駅）","2面2線","神奈川県藤沢市善行一丁目27番地北緯35度21分46秒東経139度28分23.5秒﻿ / ﻿北緯35.36278度 東経139.473194度﻿ /35.36278; 139.473194座標:北緯35度21分46秒東経139度28分23.5秒﻿ / ﻿北緯35.36278度 東経139.473194度﻿ /35.36278; 139.473194","","OE11","","","27,011人/日-2019年-","","","","","","",""
"せんげん台駅","せんげん台駅（せんげんだいえき）","https://ja.wikipedia.org/wiki/せんげん台駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯35度56分8.77秒東経139度46分28.27秒","■伊勢崎線（東武スカイツリーライン）","29.8 km（浅草起点）","東武鉄道","1967年（昭和42年）4月15日","地上駅","2面4線","埼玉県越谷市千間台東一丁目62-1北緯35度56分8.77秒東経139度46分28.27秒﻿ / ﻿北緯35.9357694度 東経139.7745194度﻿ /35.9357694; 139.7745194﻿ (せんげん台駅)座標:北緯35度56分8.77秒東経139度46分28.27秒﻿ / ﻿北緯35.9357694度 東経139.7745194度﻿ /35.9357694; 139.7745194﻿ (せんげん台駅)","","TS24","セタ","","57,414人/日-2019年-","","","","","","",""
"浅間町駅","浅間町駅（せんげんちょうえき）","https://ja.wikipedia.org/wiki/浅間町駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯35度11分1秒東経136度53分25.3秒","鶴舞線","4.9 km（上小田井起点）","名古屋市交通局（名古屋市営地下鉄）","1981年（昭和56年）11月27日","地下駅","2面2線","名古屋市西区浅間一丁目206北緯35度11分1秒東経136度53分25.3秒﻿ / ﻿北緯35.18361度 東経136.890361度﻿ /35.18361; 136.890361座標:北緯35度11分1秒東経136度53分25.3秒﻿ / ﻿北緯35.18361度 東経136.890361度﻿ /35.18361; 136.890361","","T05","","5,222人/日（降車客含まず）-2019年-","10,346[1]人/日-2019年-","","","","","","",""
