"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","所有者","位置","運用者","グラウンド","開場","大型映像装置","照明","ピッチサイズ","設計者","建設者","修繕","建設費","起工","拡張","運営者","分類","公式サイト","設備・遊具"
"広域中央運動公園陸上競技場","[古河市広域中央運動公園陸上競技場/ 広域中央] 古河市中央運動公園陸上競技場 （こがしちゅうおううんどうこうえんりくじょうきょうぎじょう）は、 古河市 が管理する陸上競技場。","https://ja.wikipedia.org/wiki/広域中央運動公園陸上競技場","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯36度10分49.2秒東経139度45分16.6秒","茨城県古河市大野2568","古河市","北緯36度10分49.2秒東経139度45分16.6秒﻿ / ﻿北緯36.180333度 東経139.754611度﻿ /36.180333; 139.754611座標:北緯36度10分49.2秒東経139度45分16.6秒﻿ / ﻿北緯36.180333度 東経139.754611度﻿ /36.180333; 139.754611","","芝生","","","","","","","","","","","","","",""
"小山運動公園陸上競技場兼サッカー場","[小山運動公園陸上競技場兼サッカー場/ 小山] 小山運動公園陸上競技場兼サッカー場 （おやまうんどうこうえんりくじょうきょうぎじょうけんサッカーじょう）は、 栃木県 小山市 が所有している陸上競技及びサッカーの兼用スタジアムで、小山運動公園内に立地している。","https://ja.wikipedia.org/wiki/小山運動公園陸上競技場兼サッカー場","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯36度18分50.3秒東経139度51分15.3秒","栃木県小山市向野187","小山市","北緯36度18分50.3秒東経139度51分15.3秒﻿ / ﻿北緯36.313972度 東経139.854250度﻿ /36.313972; 139.854250","小山市","","","","","","","","","","","","","","",""
"栃木県総合運動公園","[栃木県総合運動公園陸上競技場/栃木陸] 栃木県総合運動公園 （とちぎけんそうごううんどうこうえん）は、 栃木県 が設置  する 総合運動公園 である。 指定管理者制度 により、栃木県民公園福祉協会が管理・運営を行っている  。県民からは「総合グランド」と呼ばれ広く親しまれている。","https://ja.wikipedia.org/wiki/栃木県総合運動公園","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯36度30分42秒東経139度51分28.6秒","日本栃木県宇都宮市西川田4丁目1-1","","","","","","","","","","","","","","","栃木県民公園福祉協会","総合運動公園","栃木県総合運動公園",""
"高崎市浜川競技場","[高崎市浜川競技場/浜川] 高崎市浜川競技場 （たかさきし はまがわきょうぎじょう）は、 群馬県 高崎市 の浜川運動公園内にある 競技場 。 陸上競技 や ラグビー 、 サッカー 等で使用される。","https://ja.wikipedia.org/wiki/高崎市浜川競技場","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯36度21分59秒 東経138度59分16秒","高崎市浜川町1486","高崎市","","公益財団法人高崎財団","芝","1983年","","","","","","","","","","","","",""
"前橋総合運動公園陸上競技・サッカー場","[前橋総合運動公園陸上競技・サッカー場/前橋] 前橋総合運動公園陸上競技・サッカー場 （まえばしそうごううんどうこうえんりくじょうきょうぎ・サッカーじょう）は、 群馬県 前橋市 の 前橋総合運動公園 内にある前橋市が運営する多目的スタジアム。ピッチは天然芝だが、トラックはクレー。全国高校サッカー選手権の群馬県予選の会場などとして使用されている。公園内にはそのほかに 野球場 などがある。","https://ja.wikipedia.org/wiki/前橋総合運動公園陸上競技・サッカー場","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯36度22分42秒東経139度9分42秒","群馬県前橋市荒口町437番地2","前橋市","北緯36度22分42秒東経139度9分42秒﻿ / ﻿北緯36.37833度 東経139.16167度﻿ /36.37833; 139.16167座標:北緯36度22分42秒東経139度9分42秒﻿ / ﻿北緯36.37833度 東経139.16167度﻿ /36.37833; 139.16167","前橋市","","","","","","","","2010年","","","","","","",""
"中台運動公園陸上競技場","[中台運動公園陸上競技場/ 中台] 中台運動公園陸上競技場 （ なかだいうんどうこうえんりくじょうきょうぎじょう ）は 千葉県 成田市 の 中台運動公園 内にある陸上競技場。1983年に使用が開始された施設で当初は市の陸上競技場の域を出なかったが、2002年に大規模な整備がなされた。","https://ja.wikipedia.org/wiki/中台運動公園陸上競技場","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯35度46分48秒 東経140度18分24.8秒","","","","","","","","","","","","","","","","","","",""
"柏の葉公園総合競技場","[柏の葉公園総合競技場/ 柏の葉] 千葉県立柏の葉公園総合競技場 （ちばけんりつ かしわのはこうえん そうごうきょうぎじょう） は、 千葉県 柏市 の 柏の葉公園 内にある県営の陸上競技場である。施設は千葉県が所有し、財団法人千葉県まちづくり公社が 指定管理者 として管理運営を行っている。","https://ja.wikipedia.org/wiki/柏の葉公園総合競技場","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯35度53分51.99秒東経139度56分10.32秒","千葉県柏市柏の葉四丁目1番地","千葉県","北緯35度53分51.99秒東経139度56分10.32秒﻿ / ﻿北緯35.8977750度 東経139.9362000度﻿ /35.8977750; 139.9362000","千葉県まちづくり公社","天然芝","1999年","","1,500ルクス","105m x 68m","","","","","","","","","",""
"千葉県総合スポーツセンター東総運動場陸上競技場","[千葉県総合スポーツセンター東総運動場陸上競技場/ 東総] 千葉県総合スポーツセンター東総運動場陸上競技場 （ちばけんそうごうスポーツセンターとうそううんどうじょうりくじょうきょうぎじょう）は、 千葉県 が運営する千葉県 旭市 にある千葉県総合スポーツセンター東総運動場内に 立地 する日本陸連第2種公認 競技場 。2001年（平成13年）3月の完成以来、 日本フットボールリーグ （JFL）、 日本女子サッカーリーグ （なでしこリーグ）の 公式戦 などに使用されている。","https://ja.wikipedia.org/wiki/千葉県総合スポーツセンター東総運動場陸上競技場","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯35度46分29秒東経140度37分16秒","千葉県旭市清和乙621","千葉県","北緯35度46分29秒東経140度37分16秒﻿ / ﻿北緯35.774729度 東経140.621063度﻿ /35.774729; 140.621063","千葉県まちづくり公社","","2001年（平成13年）3月","","","","","","","","","","","","",""
"鴨川市陸上競技場","[鴨川陸上競技場/ 鴨川] 鴨川市陸上競技場 （かもがわしりくじょうきょうぎじょう）は、 千葉県 鴨川市 が所有・運営している多目的 スタジアム 。","https://ja.wikipedia.org/wiki/鴨川市陸上競技場","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯35度6分49.1秒 東経140度4分42.8秒","","","","","","","","","","","","","","","","","","",""
"東金アリーナ陸上競技場 (存在しないページ)","[東金アリーナ陸上競技場/ 東金]","https://ja.wikipedia.org/w/index.php?title=東金アリーナ陸上競技場&amp;action=edit&amp;redlink=1","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"東京スタジアム (多目的スタジアム)","[AGFフィールド（東京スタジアム西競技場）/ 味スタ西] 東京スタジアム （とうきょうスタジアム）は、 東京都 調布市 にある、多目的 スタジアム 。設立当初は主に 球技場 として使用されていたが、 陸上トラック も有する。東京都と 京王電鉄 などが出資する 第三セクター の 株式会社東京スタジアム が 指定管理者 として運営管理を行っている。 日本プロサッカーリーグ に所属する FC東京 と 東京ヴェルディ の2クラブがホームスタジアムとして使用している。","https://ja.wikipedia.org/wiki/東京スタジアム_(多目的スタジアム)","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯35度39分51秒東経139度31分38秒","東京都調布市西町376-3","東京都","北緯35度39分51秒東経139度31分38秒﻿ / ﻿北緯35.66417度 東経139.52722度﻿ /35.66417; 139.52722{{#coordinates:}} 関数に無効な引数が渡されました","株式会社東京スタジアム","ハイブリッド芝（110.5 m x 75.4 m）","2001年3月10日","オーロラビジョン","","105 m x 68 m","東京スタジアム・日本設計","大成建設JV・鹿島建設JV","","約307億円（設計価格 約347億円）","","","","","",""
"武蔵野陸上競技場","[武蔵野市立武蔵野陸上競技場/ 武蔵野] 武蔵野市立武蔵野陸上競技場 （むさしのしりつ むさしのりくじょうきょうぎじょう）は、 東京都 武蔵野市 にある 陸上競技場 。 球技場 としても使用される。施設は武蔵野市が所有し、 公益財団法人 武蔵野生涯学習振興事業団が 指定管理者 として運営管理を行っている。","https://ja.wikipedia.org/wiki/武蔵野陸上競技場","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯35度43分4.27秒東経139度34分3.36秒","東京都武蔵野市吉祥寺北町5-11-20","武蔵野市","北緯35度43分4.27秒東経139度34分3.36秒﻿ / ﻿北緯35.7178528度 東経139.5676000度﻿ /35.7178528; 139.5676000座標:北緯35度43分4.27秒東経139度34分3.36秒﻿ / ﻿北緯35.7178528度 東経139.5676000度﻿ /35.7178528; 139.5676000","公益財団法人武蔵野生涯学習振興事業団","天然芝","","無","無","105m × 68m","","","","","","1989年","","","",""
"多摩市立陸上競技場","[多摩市陸上競技場/ 多摩] 多摩市立陸上競技場 （たましりつりくじょうきょうぎじょう）は、 東京都 多摩市 の多摩市立多摩東公園にある 陸上競技場 。 球技場 としても使用される。施設は多摩市が所有し、多摩市が運営管理も行っている。","https://ja.wikipedia.org/wiki/多摩市立陸上競技場","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯35度37分29.94秒東経139度27分37.11秒","東京都多摩市諏訪4-9","多摩市","北緯35度37分29.94秒東経139度27分37.11秒﻿ / ﻿北緯35.6249833度 東経139.4603083度﻿ /35.6249833; 139.4603083座標:北緯35度37分29.94秒東経139度27分37.11秒﻿ / ﻿北緯35.6249833度 東経139.4603083度﻿ /35.6249833; 139.4603083","多摩市","天然芝","1986年5月","","無し","","","","","","","","","","",""
"大和市営大和スポーツセンター競技場","[大和市営大和スポーツセンター競技場/大和] 大和市営大和スポーツセンター競技場 は、 神奈川県 大和市 の運営する大和スポーツセンター内にある 陸上競技場 。 1990年 4月の大和スポーツセンターの開設に先立ち、同年3月に完成した。","https://ja.wikipedia.org/wiki/大和市営大和スポーツセンター競技場","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯35度28分31.7秒 東経139度27分27秒","","","","","","","","","","","","","","","","","","",""
