"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","位置","所在地","地図","指定文化財","遺構","築城年","築城主","廃城年","城郭構造","築造時期","史跡","規模","主な城主","形状","別名","出土品","天守構造","埋葬施設","特記事項"
"大村横穴群","[大村横穴群（おおむらよこあなぐん）〔人吉市〕] 大村横穴群 （おおむらよこあなぐん、大村横穴墓群/城本横穴群）は、 熊本県 人吉市 城本町にある 横穴墓 群。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/大村横穴群","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯32度13分01秒 東経130度45分15秒","","","","","","","","","","","","","","","","","","",""
"人吉城","[人吉城跡（ひとよしじょうあと）〔人吉市〕1961年9月2日] 人吉城 （ひとよしじょう）は、 熊本県 人吉市 麓町（旧・ 肥後国 球磨郡 人吉村）  にある 日本の城 （ 平山城跡 ）。 相良氏 が 鎌倉時代 に 地頭 として人吉荘に赴任して以来35代670年の長きにわたり在城し、 江戸時代 には 人吉藩 の藩庁であった。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/人吉城","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯32度12分39.9秒東経130度45分59.37秒","北緯32度12分39.9秒東経130度45分59.37秒﻿ / ﻿北緯32.211083度 東経130.7664917度﻿ /32.211083; 130.7664917﻿ (人吉城)座標:北緯32度12分39.9秒東経130度45分59.37秒﻿ / ﻿北緯32.211083度 東経130.7664917度﻿ /32.211083; 130.7664917﻿ (人吉城)","","人吉城","国の史跡","石垣、土塁","元久年間（1204年-1206年）","相良長頼","明治4年（1871年）","梯郭式平山城","","","","相良氏","","繊月城、三日月城","","なし","",""
"棚底城跡 (存在しないページ)","[棚底城跡（たなそこじょうあと）〔天草市〕]","https://ja.wikipedia.org/w/index.php?title=棚底城跡&amp;action=edit&amp;redlink=1","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"臼杵磨崖仏","[臼杵磨崖仏附 日吉塔、嘉応二年在銘五輪塔、承安二年在銘五輪塔（うすきまがいぶつ つけたり ひよしとう、かおう2ねんざいめいごりんとう、じょうあん2ねんざいめいごりんとう）〔臼杵市〕1934年1月22日] 臼杵磨崖仏 （うすきまがいぶつ）は、 大分県 臼杵市 にある 磨崖仏 である。一般には 臼杵石仏 （うすきせきぶつ）の名で知られている。 1952年 （昭和27年）に国の 特別史跡 に指定され、 1995年 （平成7年）には、磨崖仏として日本初、彫刻として九州初の 国宝 に指定された  。","https://ja.wikipedia.org/wiki/臼杵磨崖仏","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯33度5分25.8秒 東経131度45分45.5秒","","","","","","","","","","","","","","","","","","",""
"福澤諭吉旧居","[福沢諭吉旧居（ふくざわゆきちきゅうきょ）〔中津市〕1971年6月22日] 福澤諭吉旧居 （ふくざわゆきちきゅうきょ）は、 福澤諭吉 が幼少年期を過ごした 大分県 中津市 にある旧居である。 国史跡 。記念館併設。","https://ja.wikipedia.org/wiki/福澤諭吉旧居","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯33度36分26.3秒 東経131度11分27.5秒","","","","","","","","","","","","","","","","","","",""
"長者屋敷官衙遺跡","[長者屋敷官衙遺跡（ちょうじゃやしきかんがいせき）〔中津市〕2010年2月22日] 長者屋敷官衙遺跡 （ちょうじゃやしきかんがいせき）は、 大分県 中津市 大字永添にある 古代 官衙 の 遺跡 である。 豊前国 下毛郡 郡衙 の 正倉 域に比定されている   。 2010年 2月22日に国の 史跡 に指定され、 2017年 2月9日には一部が追加指定されている。","https://ja.wikipedia.org/wiki/長者屋敷官衙遺跡","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯33度34分4.4秒東経131度12分17.7秒","","大分県中津市大字永添2303番地3ほか","","","","","","","","","","","","","","","","",""
"宇佐神宮","[宇佐神宮境内（うさじんぐうけいだい）〔宇佐市〕1986年2月25日] 宇佐神宮 （うさじんぐう）は、 大分県 宇佐市 にある 神社 。 式内社 （ 名神大社 3社）、 豊前国 一宮 、 勅祭社 。 旧社格 は 官幣大社 で、現在は 神社本庁 の 別表神社 。","https://ja.wikipedia.org/wiki/宇佐神宮","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯33度31分34秒東経131度22分29秒","北緯33度31分34秒東経131度22分29秒﻿ / ﻿北緯33.52611度 東経131.37472度﻿ /33.52611; 131.37472﻿ (宇佐神宮)座標:北緯33度31分34秒東経131度22分29秒﻿ / ﻿北緯33.52611度 東経131.37472度﻿ /33.52611; 131.37472﻿ (宇佐神宮)","大分県宇佐市南宇佐2859","宇佐神宮大分県の地図を表示宇佐神宮日本の地図を表示","","","","","","","","","","","","宇佐八幡宇佐八幡宮","","","",""
"川部・高森古墳群","[川部・高森古墳群（かわべ・たかもりこふんぐん）〔宇佐市〕1980年3月24日 -宇佐風土記の丘] 川部・高森古墳群 （かわべ・たかもりこふんぐん）は、 大分県 宇佐市 大字高森字京塚にある 古墳 群。1980年3月24日に国の 史跡 に指定されている。この古墳群を含む一帯は、史跡 公園 宇佐風土記の丘 として整備されている。","https://ja.wikipedia.org/wiki/川部・高森古墳群","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"葛原古墳","[葛原古墳（くずはらこふん）〔宇佐市〕1957年11月28日] 葛原古墳 （くずはらこふん）は、 大分県 宇佐市 大字葛原字鬼塚にある 古墳 。1957年11月28日に国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/葛原古墳","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯33度32分26.2秒 東経131度20分10.0秒","","","","","","","","","","","","","","","","","","",""
"法鏡寺廃寺跡","[法鏡寺廃寺跡（ほうきょうじはいじあと）〔宇佐市〕1978年3月14日] 法鏡寺廃寺跡 （ほうきょうじはいじあと）は、 大分県 宇佐市 大字法鏡寺にある仏教寺院遺跡である。 1978年 （昭和53年） 3月14日 に国の 史跡 に指定されている  。","https://ja.wikipedia.org/wiki/法鏡寺廃寺跡","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯33度31分43.0秒 東経131度20分43.0秒","","","","","","","","","","","","","","","","","","",""
"四日市横穴群","[四日市横穴群（よっかいちよこあなぐん）〔宇佐市〕1957年11月28日] 四日市横穴群 （よっかいちよこあなぐん）は、 大分県 宇佐市 大字四日市にある 横穴墓 。 1957年 （ 昭和 32年）11月28日に国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/四日市横穴群","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯33度31分42.3秒 東経131度19分21.0秒","","","","","","","","","","","","","","","","","","",""
"安国寺集落遺跡","[安国寺集落遺跡（あんこくじしゅうらくいせき）〔国東市〕1992年4月3日] 安国寺集落遺跡 （あんこくじしゅうらくいせき、 安国寺遺跡 とも）は、 大分県 国東市 国東地区にある 弥生時代 から 古墳時代 初期にかけての 貝塚 ・集落遺跡である。","https://ja.wikipedia.org/wiki/安国寺集落遺跡","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯33度33分58.6秒 東経131度42分58.2秒","","","","","","","","","","","","","","","","","","",""
"鬼塚古墳 (国東市)","[鬼塚古墳（おにづかこふん）〔国東市〕1957年11月28日] 鬼塚古墳 （おにづかこふん）は、 大分県 国東市 国見町大字伊美字中にある 古墳 。1957年11月28日に国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/鬼塚古墳_(国東市)","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯33度40分40.0秒 東経131度34分58.4秒","","","","","","","","","","","","","","","","","","",""
"熊野磨崖仏","[熊野磨崖仏附元宮磨崖仏及び鍋山磨崖仏（くまのまがいぶつ つけたり もとみやまがいぶつ および なべやままがいぶつ）〔豊後高田市〕1955年2月15日] 熊野磨崖仏 （くまのまがいぶつ）は、 大分県 豊後高田市 にある 平安時代 後期の 磨崖仏 である。国の 重要文化財 （1964年5月26日指定）及び 史跡 （1955年2月15日指定）に指定されている。","https://ja.wikipedia.org/wiki/熊野磨崖仏","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯33度28分41.1秒 東経131度31分32.3秒","","","","","","","","","","","","","","","","","","",""
"富貴寺","[富貴寺境内（ふきじけいだい）〔豊後高田市〕2013年10月17日] 富貴寺 （ふきじ）は、 大分県 豊後高田市 田染蕗（たしぶふき）にある 天台宗 の 仏教 寺院 。 山号 を蓮華山と称する。 本尊 は 阿弥陀如来 、 開基 は 仁聞 と伝える。","https://ja.wikipedia.org/wiki/富貴寺","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯33度32分15.8秒東経131度31分43.5秒","北緯33度32分15.8秒東経131度31分43.5秒﻿ / ﻿北緯33.537722度 東経131.528750度﻿ /33.537722; 131.528750座標:北緯33度32分15.8秒東経131度31分43.5秒﻿ / ﻿北緯33.537722度 東経131.528750度﻿ /33.537722; 131.528750","大分県豊後高田市田染蕗2395","","","","","","","","","","","","","","","","",""
"三浦梅園","[三浦梅園旧宅（みうらばいえんきゅうたく）〔国東市〕1959年5月13日] 三浦 梅園 （みうら ばいえん、 享保 8年 8月2日 （ 1723年 9月1日 ） - 寛政 元年 3月14日 （ 1789年 4月9日 ））は、 日本 の 江戸時代 の 思想家 、自然哲学者、本職は医者。 豊後国 （ 大分県 国東市 安岐町富清）の出身。 諱 は晋（すすむ）。","https://ja.wikipedia.org/wiki/三浦梅園","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"小熊山古墳","[小熊山古墳・御塔山古墳（こぐまやまこふん・おとうやまこふん）〔杵築市〕2017年2月9日] 小熊山古墳 （こぐまやまこふん）は、 大分県 杵築市 狩宿（かりしゅく）にある 古墳 。形状は 前方後円墳 。国の 史跡 に指定されている（史跡「小熊山古墳・御塔山古墳」のうち）。","https://ja.wikipedia.org/wiki/小熊山古墳","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯33度24分44.11秒東経131度42分0.71秒","北緯33度24分44.11秒東経131度42分0.71秒﻿ / ﻿北緯33.4122528度 東経131.7001972度﻿ /33.4122528; 131.7001972座標:北緯33度24分44.11秒東経131度42分0.71秒﻿ / ﻿北緯33.4122528度 東経131.7001972度﻿ /33.4122528; 131.7001972","大分県杵築市大字狩宿字小熊","小熊山古墳","","","","","","","3世紀後半-4世紀初頭","国の史跡「小熊山古墳・御塔山古墳」に包含","墳丘長116.5m","","前方後円墳","","壺形埴輪・円筒埴輪","","不明（2基か）","大分県最大級の規模"
"鬼ノ岩屋古墳 (別府市)","[鬼ノ岩屋・実相寺古墳群（おにのいわや・じっそうじこふんぐん）〔別府市〕1957年11月28日、2017年2月9日追加指定・名称変更] 鬼ノ岩屋古墳 （おにのいわやこふん、 鬼の岩屋古墳 とも）は、 大分県 別府市 上人西町にある 古墳 。国の 史跡 に指定されている（史跡「 鬼ノ岩屋・実相寺古墳群 」のうち）。","https://ja.wikipedia.org/wiki/鬼ノ岩屋古墳_(別府市)","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯33度18分56.4秒 東経131度29分32.3秒","","","","","","","","","","","","","","","","","","",""
"大分元町石仏","[大分元町石仏（おおいたもとまちせきぶつ）〔大分市〕1934年1月22日] 大分元町石仏 （おおいたもとまちせきぶつ）は、 大分県 大分市 元町にある 平安時代 後期（11世紀中頃）の 磨崖仏 である。国の 史跡 （1924年1月22日指定）に指定されている。","https://ja.wikipedia.org/wiki/大分元町石仏","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯33度13分14.1秒 東経131度36分56.5秒","","","","","","","","","","","","","","","","","","",""
