"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","面積","分類","運営者","公式サイト","外部リンク","法人番号","国","地方","総人口","人口密度","駐車場","開園","都道府県","市町村コード","隣接自治体","設備・遊具","市長","事務所"
"根岸森林公園","[48根岸森林公園市立総合公園神奈川県横浜市横浜競馬場] 根岸森林公園 （ねぎししんりんこうえん）は、 神奈川県 横浜市 中区 にある総合 公園 。","https://ja.wikipedia.org/wiki/根岸森林公園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯35度25分23秒東経139度38分19秒","日本横浜市中区根岸台、山元町、簑沢","193,102m2","都市公園(総合公園)","宮川一清(尿氏)","横浜市環境創造局","","","","","","","200台(有料)","1977年3月","","","","","","環境創造局 南部公園緑地事務所 都心部公園担当"
"山下公園","[49山下公園市立風致公園神奈川県横浜市山下公園] 山下公園 （やましたこうえん）は、 神奈川県 横浜市 中区 山下町 にある 公園 （ 風致公園 ）。","https://ja.wikipedia.org/wiki/山下公園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯35度26分44.8秒東経139度38分59.1秒","日本横浜市中区山下町279","7.4ヘクタール","都市公園（風致公園）","横浜市","横浜市環境創造局 山下公園","","","","","","","有料（500台）","1930年（昭和5年）3月15日","","","","","","環境創造局 南部公園緑地事務所 都心部公園担当"
"大塚・歳勝土遺跡","[50大塚歳勝土公園市立歴史公園神奈川県横浜市大塚・歳勝土遺跡] 大塚・歳勝土遺跡 （おおつか・さいかちどいせき）は、 神奈川県 横浜市 都筑区 （ 港北ニュータウン 内）にある 弥生時代 中期の 遺跡 。国の 史跡 。","https://ja.wikipedia.org/wiki/大塚・歳勝土遺跡","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯35度33分5.1秒東経139度34分50.0秒","日本横浜市都筑区大棚西1","54,640m2","都市公園（歴史公園）","横浜市","大塚・歳勝土遺跡公園（横浜市歴史博物館）","","","","","","","","1996年3月25日","","","","","",""
"ペリー公園","[51ペリー公園市立歴史公園神奈川県横須賀市ペリー上陸記念碑] ペリー公園 （ぺりーこうえん）は、 神奈川県 横須賀市 にある横須賀市立の 都市公園 （歴史公園）である  。横須賀・西武パートナーズが 指定管理者 をつとめる。","https://ja.wikipedia.org/wiki/ペリー公園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯35度13分27秒東経139度42分43秒","日本神奈川県横須賀市久里浜7-14","7,121m2","都市公園（歴史公園）","横須賀市（指定管理者：横須賀・西武パートナーズ）","公式サイト","","","","","","","","","","","","ペリー記念館、上陸記念碑、児童広場","",""
"旧華頂宮邸庭園 (存在しないページ)","[52旧華頂宮邸庭園神奈川県鎌倉市旧華頂宮邸]","https://ja.wikipedia.org/w/index.php?title=旧華頂宮邸庭園&amp;action=edit&amp;redlink=1","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","","","","","","","","","","","","","","","","","","","",""
"石垣山一夜城歴史公園","[53石垣山一夜城歴史公園市立歴史公園神奈川県小田原市石垣山城] 石垣山一夜城歴史公園 （いしがきやまいちやじょうれきしこうえん）は、 小田原市 早川 にある、 石垣山一夜城 の跡地を整備した 公園 。","https://ja.wikipedia.org/wiki/石垣山一夜城歴史公園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯35度14分7.5秒東経139度7分40秒","日本神奈川県小田原市早川字梅ケ窪1383番の11番","5.8ha","歴史公園","小田原市","","","","","","","","あり","","","","","展望台、トイレ","",""
"西海子公園 (存在しないページ)","[54西海子公園市立街区公園神奈川県小田原市西海子小路]","https://ja.wikipedia.org/w/index.php?title=西海子公園&amp;action=edit&amp;redlink=1","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","","","","","","","","","","","","","","","","","","","",""
"小田原市郷土文化館","[55小田原市郷土文化館松永記念館の庭園神奈川県小田原市松永記念館] 小田原市郷土文化館（おだわらしきょうどぶんかかん）は、 神奈川県 小田原市 城内の 史跡小田原城跡 （ 小田原城址公園 ）内にある、 郷土 の 自然 ・ 歴史 ・ 文化 に関する 博物館 相当施設である。","https://ja.wikipedia.org/wiki/小田原市郷土文化館","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯35度14分58.9秒東経139度9分17.7秒","〒250-0014神奈川県小田原市城内7-8","","","","","","","","","","","","","","","","","",""
"秦野市立桜土手古墳公園 (存在しないページ)","[56秦野市立桜土手古墳公園市立歴史公園神奈川県秦野市桜土手古墳群]","https://ja.wikipedia.org/w/index.php?title=秦野市立桜土手古墳公園&amp;action=edit&amp;redlink=1","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","","","","","","","","","","","","","","","","","","","",""
"大磯城山公園","[57大磯城山公園県立風致公園神奈川県大磯町三井財閥別邸・吉田茂邸] 大磯城山公園 （おおいそじょうやまこうえん）は、 神奈川県 中郡 大磯町 に位置する神奈川県立の 都市公園 （風致公園）である。旧 三井財閥 の別荘跡地を公園として整備した。その後、 2013年 （ 平成 25年）に旧 吉田茂 邸地区一部開園、 2017年 （平成29年）に旧吉田茂邸地区全面開園した。","https://ja.wikipedia.org/wiki/大磯城山公園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯35度18分22秒東経139度17分25.3秒","神奈川県中郡大磯町西小磯、国府本郷北緯35度18分22秒東経139度17分25.3秒﻿ / ﻿北緯35.30611度 東経139.290361度﻿ /35.30611; 139.290361座標:北緯35度18分22秒東経139度17分25.3秒﻿ / ﻿北緯35.30611度 東経139.290361度﻿ /35.30611; 139.290361","8.7ha（計画9.9ha）","都市公園（風致公園）","神奈川県（指定管理者：公益財団法人神奈川県公園協会）","神奈川県のサイト","","","","","","","あり（時期により有料）","1987年（昭和62年）4月26日","","","","","",""
"湯河原万葉公園","[58湯河原万葉公園町立近隣公園神奈川県湯河原町万葉公園の文学碑群] 万葉公園 （まんようこうえん）とは、 神奈川県 足柄下郡 湯河原町 宮上にある、 湯河原温泉 をテーマとした町営の都市公園（近隣公園）である  。 日本の歴史公園100選 選定。","https://ja.wikipedia.org/wiki/湯河原万葉公園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯35度08分42秒 東経139度04分18秒","神奈川県足柄下郡湯河原町宮上566","","都市公園（近隣公園）","湯河原町公園課","湯河原町HP","","","","","","","あり","1951年（昭和26年）","","","","","",""
"白山公園 (新潟市)","[59白山公園市立地区公園新潟県新潟市白山公園] 白山公園 （はくさんこうえん）は、 新潟島 の中央部、 新潟県 新潟市 中央区 一番堀通町 地先にある 公園 である。 1873年 に布告された 太政官布告 により、日本で最初に開設された25箇所の 都市公園 のうちのひとつであり、 日本の都市公園100選 にも選ばれている。2018年度に国の 名勝 に指定された  。","https://ja.wikipedia.org/wiki/白山公園_(新潟市)","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯37度54分53秒東経139度02分21秒","日本新潟県新潟市中央区","7.0 ha","地区公園","","公式ウェブサイト","","","","","","","601台（有料）","","","","","","",""
"新発田市","[60奉先堂公園市立歴史公園新潟県新発田市五十公野御茶屋] 新発田市 （しばたし）は、 新潟県 下越地方 にある 市 である。","https://ja.wikipedia.org/wiki/新発田市","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯37度56分52.5秒東経139度19分38.2秒","〒957-8686新潟県新発田市中央町3丁目3番3号北緯37度56分52.5秒東経139度19分38.2秒﻿ / ﻿北緯37.947917度 東経139.327278度﻿ /37.947917; 139.327278座標:北緯37度56分52.5秒東経139度19分38.2秒﻿ / ﻿北緯37.947917度 東経139.327278度﻿ /37.947917; 139.327278","533.10km2","","","","公式ウェブサイト","5000020152064","日本","中部地方、北陸地方甲信越地方、信越地方北信越地方、上信越地方広域関東圏","94,289人（推計人口、2021年6月1日）","177人/km2","","","新潟県","15206-4","新潟市、阿賀野市、胎内市、北蒲原郡聖籠町、東蒲原郡阿賀町福島県喜多方市山形県西置賜郡小国町","","二階堂馨",""
"瓢湖水きん公園 (存在しないページ)","[61瓢湖水きん公園市立特殊公園新潟県阿賀野市瓢湖]","https://ja.wikipedia.org/w/index.php?title=瓢湖水きん公園&amp;action=edit&amp;redlink=1","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","","","","","","","","","","","","","","","","","","","",""
"福井県","[62北の庄城址公園市立歴史公園福井県福井市福井城] 北陸地方 で最も人口が少ない県である。","https://ja.wikipedia.org/wiki/福井県","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯36度3分54.7秒東経136度13分18秒","〒910-8580福井県福井市大手三丁目17番1号北緯36度3分54.7秒東経136度13分18秒﻿ / ﻿北緯36.065194度 東経136.22167度﻿ /36.065194; 136.22167座標:北緯36度3分54.7秒東経136度13分18秒﻿ / ﻿北緯36.065194度 東経136.22167度﻿ /36.065194; 136.22167県庁舎位置","4,190.49km2","","","","福井県","4000020180009","日本","中部地方、北陸地方","762,549人（推計人口、2021年6月1日）","182人/km2","","","","","","","",""
"敦賀市","[63金ケ崎公園市立総合公園福井県敦賀市金ヶ崎城] 敦賀市 （つるがし）は、 福井県 の南西部にある 市 。 嶺南 地方に含まれ、 日本海 の 敦賀湾 に面している。 原子力発電所 が多く立地している。 昆布 の加工地として知られている。気候は 季節風 の強まる 冬 でも、 日本海 沿岸地域では比較的穏やかとされている。","https://ja.wikipedia.org/wiki/敦賀市","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯35度38分42.7秒東経136度3分19.8秒","〒914-8501福井県敦賀市中央町二丁目1番1号北緯35度38分42.7秒東経136度3分19.8秒﻿ / ﻿北緯35.645194度 東経136.055500度﻿ /35.645194; 136.055500座標:北緯35度38分42.7秒東経136度3分19.8秒﻿ / ﻿北緯35.645194度 東経136.055500度﻿ /35.645194; 136.055500市庁舎位置","251.39km2","","","","公式ウェブサイト","6000020182028","日本","中部地方、北陸地方","63,777人（推計人口、2021年6月1日）","254人/km2","","","福井県","18202-8","南条郡南越前町、三方郡美浜町滋賀県：高島市、長浜市","","渕上隆信",""
"曽根丘陵公園","[64曽根丘陵公園県立広域公園山梨県甲府市甲斐銚子塚古墳・丸山塚古墳] 山梨県曽根丘陵公園 （やまなしけんそねきゅうりょうこうえん）は 山梨県 甲府市 下向山町にある県立の 都市公園  。 甲斐風土記の丘 （かいふどきのおか）の愛称がある。","https://ja.wikipedia.org/wiki/曽根丘陵公園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯35度35分32秒東経138度34分57秒","山梨県甲府市下向山1271","40.4 ha","都市公園（広域公園）","山梨県（指定管理者：富士観光開発・富士グリーンテック）","公式ホームページ","","","","","","","","1986年","","","","","","曽根丘陵公園管理事務所"
