"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","法人番号","位置","創建年","山号","本尊","宗派","文化財","開基","札所等","正式名","別称","公式HP","寺格","開山","宗旨","院号","中興","中興年"
"醍醐寺","[醍醐寺（だいごじ）（京都市伏見区）] 醍醐寺 （だいごじ）は、 京都市 伏見区 醍醐東大路町にある 真言宗醍醐派 総本山の寺院。 山号 を醍醐山（深雪山とも）と称し、 本尊 は 薬師如来 。上醍醐の准胝堂（じゅんていどう）は、 西国三十三所観音霊場 第11番札所で本尊は 准胝観世音菩薩 。京都市街の南東に広がる醍醐山（笠取山）に200万坪以上の広大な境内を持ち、 国宝 や 重要文化財 を含む約15万点の寺宝を所蔵する  。 豊臣秀吉 による「 醍醐の花見 」が行われた地としても知られている。 古都京都の文化財 として 世界遺産 に登録されている。","https://ja.wikipedia.org/wiki/醍醐寺","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯34度57分5.4秒東経135度49分18.4秒","京都府京都市伏見区醍醐東大路町22","6130005002163","北緯34度57分5.4秒東経135度49分18.4秒﻿ / ﻿北緯34.951500度 東経135.821778度﻿ /34.951500; 135.821778座標:北緯34度57分5.4秒東経135度49分18.4秒﻿ / ﻿北緯34.951500度 東経135.821778度﻿ /34.951500; 135.821778","貞観16年（874年）","醍醐山深雪山（上醍醐寺）","薬師如来（重要文化財）","真言宗醍醐派","醍醐寺境内（史跡）金堂、五重塔、木造薬師如来及両脇侍像ほか（国宝）清滝宮本殿、絹本著色阿弥陀三尊像、木造薬師如来及両脇侍像ほか（重要文化財）三宝院庭園（特別史跡、特別名勝）世界遺産","","西国三十三所第11番（上醍醐）真言宗十八本山第12番近畿三十六不動尊霊場第23番（上醍醐）西国薬師四十九霊場第39番役行者霊蹟札所神仏霊場巡拝の道第126番（京都第46番）","","","","総本山","聖宝","","","",""
"大国寺 (丹波篠山市)","[大國寺（だいこくじ）（兵庫県丹波篠山市）] 大国寺 （だいこくじ、大國寺）は 兵庫県 丹波篠山市 にある 天台宗 の寺院である。重要文化財指定の本堂や仏像を有し、「丹波の 正倉院 」と呼ばれる  。","https://ja.wikipedia.org/wiki/大国寺_(丹波篠山市)","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯35度3分57.9秒東経135度8分51.3秒","兵庫県丹波篠山市味間奥","7140005008729","北緯35度3分57.9秒東経135度8分51.3秒﻿ / ﻿北緯35.066083度 東経135.147583度﻿ /35.066083; 135.147583座標:北緯35度3分57.9秒東経135度8分51.3秒﻿ / ﻿北緯35.066083度 東経135.147583度﻿ /35.066083; 135.147583","（伝）大化年間（645年-650年）","安泰山","大日如来坐像","天台宗","木造大日如来坐像（本尊）・木造大日如来坐像・木造阿弥陀如来坐像、木造持国天立像、木造増長天立像、本堂（重要文化財）","（伝）法道仙人","","","","","","","","","",""
"太山寺 (神戸市)","[太山寺（たいさんじ）（神戸市西区）] 太山寺 （たいさんじ）は、 兵庫県 神戸市 西区 にある 天台宗 の 寺院 。 山号 は三身山（さんしんざん）。 本尊 は 薬師如来 と 十一面観音 、 開基 （創立者）は 藤原宇合 と伝える。 新西国三十三箇所 第25番札所。","https://ja.wikipedia.org/wiki/太山寺_(神戸市)","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯34度41分46.8秒東経135度4分2.1秒","兵庫県神戸市西区伊川谷町前開224","7140005001031","北緯34度41分46.8秒東経135度4分2.1秒﻿ / ﻿北緯34.696333度 東経135.067250度﻿ /34.696333; 135.067250座標:北緯34度41分46.8秒東経135度4分2.1秒﻿ / ﻿北緯34.696333度 東経135.067250度﻿ /34.696333; 135.067250","霊亀2年（716年）","三身山（さんしんざん）","薬師如来、十一面観音","天台宗","本堂（国宝）仁王門、阿弥陀如来坐像ほか（重要文化財）","藤原宇合、元正天皇（勅願）","新西国三十三箇所第25番神戸十三仏霊場第4番神戸六地蔵第1番播州薬師霊場第1番明石西国観音霊場第23番（龍象院）・第26番","","","三身山「太山寺」","","定恵（勧請開山）","","","",""
"大慈寺 (栃木市)","[大慈寺（だいじじ）（栃木県栃木市）] 大慈寺 （だいじじ）は、 栃木県 栃木市 にある 天台宗 の寺院。","https://ja.wikipedia.org/wiki/大慈寺_(栃木市)","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","","栃木県栃木市岩舟町小野寺2247番地","1060005005938","","（伝）737年（天平9年）","小野寺山","","天台宗準別格本山","相輪橖銅製華鬘銅造聖観音菩薩坐像（栃木県指定文化財）手香炉慈覚大師堂ほか（市指定）","（伝）行基","","","","","","","","","",""
"大樹寺","[大樹寺（だいじゅじ）（愛知県岡崎市）] 大樹寺 （だいじゅじ / だいじゅうじ）は、 愛知県 岡崎市 鴨田町 にある 浄土宗 の 寺院 。 山号 は成道山。正式には成道山松安院大樹寺（じょうどうさん しょうあんいん だいじゅじ）と称する。","https://ja.wikipedia.org/wiki/大樹寺","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯34度59分3.86秒東経137度9分55.09秒","愛知県岡崎市鴨田町広元5-1","5180305000350","北緯34度59分3.86秒東経137度9分55.09秒﻿ / ﻿北緯34.9844056度 東経137.1653028度﻿ /34.9844056; 137.1653028﻿ (大樹寺)座標:北緯34度59分3.86秒東経137度9分55.09秒﻿ / ﻿北緯34.9844056度 東経137.1653028度﻿ /34.9844056; 137.1653028﻿ (大樹寺)","天文4年（1535年）","成道山（じょうどうさん）","一光千体阿弥陀如来、如意輪観世音菩薩","浄土宗","多宝塔、絹本墨画淡彩如意輪観音図、大方丈障壁画（重要文化財）山門、木造阿弥陀如来坐像、絹本著色山越阿弥陀如来図ほか（愛知県指定文化財）","松平親忠","三河三十三観音3番三河新四国八十八ヶ所霊場21番・22番（成道閣）","成道山 松安院 大樹寺","","","","","","","",""
"大照院","[大照院（だいしょういん）（山口県萩市）] 大照院 （だいしょういん）は、 山口県 萩市 にある 臨済宗南禅寺派 の 寺院 である。 中国三十三観音霊場 第二十番。","https://ja.wikipedia.org/wiki/大照院","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯34度23分43.5秒東経131度23分8.9秒","山口県萩市椿4132","2250005004424","北緯34度23分43.5秒東経131度23分8.9秒﻿ / ﻿北緯34.395417度 東経131.385806度﻿ /34.395417; 131.385806座標:北緯34度23分43.5秒東経131度23分8.9秒﻿ / ﻿北緯34.395417度 東経131.385806度﻿ /34.395417; 131.385806","明暦2年","霊椿山","","南禅寺派","本堂、鐘楼門、庫裏、書院、経蔵、木造赤童子立像（重要文化財）萩藩主毛利家墓所（国の史跡）","毛利綱広","中国三十三観音霊場第20番","","","大照院","","","臨済宗","","",""
"大聖寺 (美作市)","[大聖寺（だいしょうじ）（岡山県美作市）] 大聖寺 （だいしょうじ）は 岡山県 美作市 にある 真言宗 の 寺院 。 山号 は恵龍山（けいりゅうざん）。","https://ja.wikipedia.org/wiki/大聖寺_(美作市)","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯35度2分30.33秒東経134度16分57.73秒","岡山県美作市大聖寺1","8260005007445","北緯35度2分30.33秒東経134度16分57.73秒﻿ / ﻿北緯35.0417583度 東経134.2827028度﻿ /35.0417583; 134.2827028","（伝）天平10年（738年）","恵龍山","不動明王（秘仏）","大覚寺派","境内（岡山県郷土自然保護地域）宝篋印塔、芦雁図（市重要文化財）イチョウ（市天然記念物)","（伝）行基","西国愛染十七霊場7番山陽花の寺13番ぼけ封じ三十三観音　別格","眞言宗大覺寺派 別格本山 惠龍山大聖寺","あじさい寺","別格本山 大聖寺","別格本山","","真言宗","","森忠政","慶長9年（1604年）頃"
"大聖観音寺","[大聖観音寺（たいしょうかんのんじ）（大阪市住吉区）] 大聖観音寺 （だいしょうかんのんじ）は、 大阪市 住吉区 にある 観音宗 の総本山の 寺院 。日本最古の 観音菩薩 の霊場だとされる。通称 あびこ観音 。西門付近の石柱は 吾彦観音寺 の表記となっている。あびこの名は、この地の豪族、依網吾彦（よさみのあびこ）に由来するといわれる。","https://ja.wikipedia.org/wiki/大聖観音寺","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯34度35分58.62秒東経135度30分36.67秒","大阪府大阪市住吉区我孫子4丁目1-20","4120005001374","北緯34度35分58.62秒東経135度30分36.67秒﻿ / ﻿北緯34.5996167度 東経135.5101861度﻿ /34.5996167; 135.5101861﻿ (大聖観音寺)座標:北緯34度35分58.62秒東経135度30分36.67秒﻿ / ﻿北緯34.5996167度 東経135.5101861度﻿ /34.5996167; 135.5101861﻿ (大聖観音寺)","欽明天皇7年（546年）","吾彦山","聖観音菩薩","観音宗","","聖徳太子","","","あびこ観音安彦観音寺我孫子観音吾彦観音寺","あびこ観音寺 公式ホームページ","総本山","","","","",""
"大乗寺","[大乗寺（だいじょうじ）　（石川県金沢市）] 大乗寺 （だいじょうじ、大乘寺）は、 石川県 金沢市 長坂町 にある 曹洞宗 の 寺院 。山号は東香山、椙樹林、古くは金獅峯。 僧堂 がある。 江戸時代 にここで 清規 （僧侶の修行規則）が再構築され、 規矩大乗 と称された。","https://ja.wikipedia.org/wiki/大乗寺","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯36度31分57.2秒東経136度39分32.2秒","石川県金沢市長坂町ル10番地","7220005000669","北緯36度31分57.2秒東経136度39分32.2秒﻿ / ﻿北緯36.532556度 東経136.658944度﻿ /36.532556; 136.658944座標:北緯36度31分57.2秒東経136度39分32.2秒﻿ / ﻿北緯36.532556度 東経136.658944度﻿ /36.532556; 136.658944","弘長3年（1263年）","東香山（とうこうざん）（林号:）椙樹林金獅峯","釈迦牟尼仏","曹洞宗","仏殿、五山十刹図、一夜碧巌、三代嗣法書、六祖壇経、羅漢供養講式稿本断簡 道元筆（重要文化財）総門、山門、回廊、鐘鼓楼、庫裡、書院、法堂、聯芳堂、僧堂、碧厳蔵、本多家霊廟、附棟札（石川県／金沢市指定有形文化財）","徹通義介","","","椙樹林","東香山 大乗寺","","","","","",""
"大聖勝軍寺","[大聖勝軍寺（だいせいしょうぐんじ）（下之太子、大阪府八尾市）] 大聖勝軍寺 （たいせいしょうぐんじ）は、 大阪府 八尾市 にある 高野山真言宗 の 寺院 。 山号 は神妙椋樹山（しんみょうりょうじゅさん）。開基は 聖徳太子 、本尊は植髪太子（聖徳太子）である。旧 奈良街道 に面して建つ。聖徳太子建立三太子の一つで、 叡福寺 （ 太子町 ）の「上の太子」、 野中寺 （ 羽曳野市 ）の「中の太子」に対して、「 下の太子 」と呼ばれている。地元では単に「 太子堂 」と呼ばれている。","https://ja.wikipedia.org/wiki/大聖勝軍寺","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯34度36分48.84秒東経135度35分16.88秒","大阪府八尾市太子堂3丁目3-16","7122005002036","北緯34度36分48.84秒東経135度35分16.88秒﻿ / ﻿北緯34.6135667度 東経135.5880222度﻿ /34.6135667; 135.5880222﻿ (大聖勝軍寺)座標:北緯34度36分48.84秒東経135度35分16.88秒﻿ / ﻿北緯34.6135667度 東経135.5880222度﻿ /34.6135667; 135.5880222﻿ (大聖勝軍寺)","用明天皇2年（587年）","神妙椋樹山","植髪太子（聖徳太子十六歳像）","高野山真言宗","二臂如意輪観音思惟半跏像及び同胎内仏金銅菩薩思惟半跏像ほか（府指定文化財）絹本著色聖徳太子絵伝ほか（市指定文化財）","聖徳太子","河内西国霊場第1番聖徳太子霊跡第2番河内飛鳥古寺霊場第3番河内飛鳥七福神（毘沙門天）","","太子堂、下の太子","","","","","","",""
"大石寺","[大石寺（たいせきじ）（静岡県富士宮市）] 大石寺 （たいせきじ）は、 日蓮正宗 の 寺院 であり、 寺格 は 総本山 。 正応 3年 10月12日 （ 1290年 11月15日 ）、第二祖 日興 によって開創された。寺号の大石寺は地名の大石ヶ原（おおいしがはら）に由来する。開基檀那は 南条時光 。","https://ja.wikipedia.org/wiki/大石寺","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"大仙院","[大仙院（だいせんいん）（京都市北区）] 大仙院 （だいせんいん）は、 京都府 京都市 北区 にある 臨済宗 の 大徳寺 内にある 塔頭 寺院 。","https://ja.wikipedia.org/wiki/大仙院","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯35度2分40.44秒東経135度44分45.42秒","京都府京都市北区紫野大徳寺町54-1","2130005001219","北緯35度2分40.44秒東経135度44分45.42秒﻿ / ﻿北緯35.0445667度 東経135.7459500度﻿ /35.0445667; 135.7459500座標:北緯35度2分40.44秒東経135度44分45.42秒﻿ / ﻿北緯35.0445667度 東経135.7459500度﻿ /35.0445667; 135.7459500","永正6年（1509年）","","釈迦牟尼仏","臨済宗大徳寺派北派","方丈、大燈国師墨蹟（国宝）方丈障壁画ほか（重要文化財）書院庭園（史跡、特別名勝）、庭園（名勝）","古嶽宗亘","","","","","大徳寺塔頭、北派本庵","","","","",""
