"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","位置","所在地","地図","築造時期","形状","史跡","規模","出土品","埋葬施設","法人番号","文化財","創建年","宗派","山号","別名","本尊","開基","所属","札所等"
"伊丹廃寺跡","[伊丹廃寺跡（いたみはいじあと）〔伊丹市〕] 伊丹廃寺跡 （いたみはいじあと）とは 兵庫県 伊丹市 緑ケ丘 にある、 奈良時代 から 鎌倉時代 にかけての 仏教 寺院遺跡である。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/伊丹廃寺跡","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度47分50.9秒東経135度24分24.3秒","","日本兵庫県伊丹市緑ケ丘4丁目・5丁目・7丁目北緯34度47分50.9秒東経135度24分24.3秒﻿ / ﻿北緯34.797472度 東経135.406750度﻿ /34.797472; 135.406750","","","","","","","","","","","","","","","","",""
"伊丹城","[有岡城跡（ありおかじょうあと）〔伊丹市〕1979年12月18日] 伊丹城 （いたみじょう）は、 摂津国 川辺郡 伊丹段丘有岡（現・ 兵庫県 伊丹市 ）に存在した 日本の城 跡。 有岡城（在岡城） （ありおかじょう）  とも言う。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/伊丹城","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度46分52.66秒東経135度25分15.21秒","北緯34度46分52.66秒東経135度25分15.21秒﻿ / ﻿北緯34.7812944度 東経135.4208917度﻿ /34.7812944; 135.4208917","","伊丹城","","","","","","","","","","","","有岡城、在岡城","","","",""
"中山荘園古墳","[中山荘園古墳（なかやまそうえんこふん）〔宝塚市〕] 中山荘園古墳 （なかやまそうえんこふん）は、 兵庫県 宝塚市 中山荘園にある 古墳 。形状は 八角墳 。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/中山荘園古墳","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度49分12.38秒東経135度21分47.43秒","北緯34度49分12.38秒東経135度21分47.43秒﻿ / ﻿北緯34.8201056度 東経135.3631750度﻿ /34.8201056; 135.3631750座標:北緯34度49分12.38秒東経135度21分47.43秒﻿ / ﻿北緯34.8201056度 東経135.3631750度﻿ /34.8201056; 135.3631750","兵庫県宝塚市中山荘園12-298ほか","中山荘園古墳","7世紀中葉","八角墳","国の史跡「中山荘園古墳」","対角長13m高さ2.6m","鉄釘・須恵器・土師器","横穴式石室","","","","","","","","","",""
"田能遺跡","[田能遺跡（たのいせき）〔尼崎市・伊丹市〕] 1965年 （昭和40年）に、尼崎・伊丹・西宮三市共同による工業用水園田配水場の建設工事中に大量の弥生土器が発見されたことから、この場所に大規模な弥生時代の遺跡があることが判明、調査が開始された。特に注目されたのが、木棺の発見である。木は腐りやすいため、それまでは推測でしかなかった弥生時代の木棺埋葬の風習が、初めて具体的な形で証明された。第1次調査では、木棺墓から人骨も発見された。","https://ja.wikipedia.org/wiki/田能遺跡","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度46分11.5秒 東経135度26分25.8秒","","","","","","","","","","","","","","","","","","",""
"近松門左衛門","[近松門左衛門墓（ちかまつもんざえもんのはか）〔大阪府大阪市・兵庫県尼崎市〕] 近松 門左衛門 （ちかまつ もんざえもん、 承応 2年〈 1653年 〉 - 享保 9年 11月22日 〈 1725年 1月6日 〉）とは、 江戸時代 の 浄瑠璃 および 歌舞伎 の作者。本名は 杉森 信盛 （すぎもり のぶもり）。平安堂、巣林子（そうりんし）、不移山人（ふいさんじん）と号す。 家紋 は「丸に一文字」。","https://ja.wikipedia.org/wiki/近松門左衛門","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"西宮砲台","[西宮砲台（にしのみやほうだい）〔西宮市〕1922年3月8日] 西宮砲台 （にしのみやほうだい）は、 兵庫県 西宮市 御前浜（ 香櫨園 浜）にある 江戸時代 末期の 砲台 跡。国の 史跡 に指定されている  。","https://ja.wikipedia.org/wiki/西宮砲台","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"会下山遺跡","[会下山遺跡（えげのやまいせき）〔芦屋市〕] 会下山遺跡 （えげのやまいせき）は、 兵庫県 芦屋市 内の北方から南に傾斜する 六甲山 堤の西半分にある 弥生時代 中期から後期の 高地性集落 遺跡 。社会史的に重要かつ著名な遺跡であり、1960年（昭和35年）に県の 史跡 に指定された後、2011年（平成23年）2月7日に国の史跡に指定された  。","https://ja.wikipedia.org/wiki/会下山遺跡","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度44分26.9秒東経135度17分28.1秒","","兵庫県芦屋市三条町","","","","","","","","","","","","","","","","",""
"明石藩舞子台場跡","[明石藩舞子台場跡（あかしはんまいこだいばあと）〔神戸市〕 2007年2月26日] 明石藩舞子台場跡 （あかしはんまいこだいばあと）は、 兵庫県 神戸市 垂水区 の 舞子公園 にある 砲台 跡。 舞子砲台跡 とも。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/明石藩舞子台場跡","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度37分58.5秒 東経135度1分56.2秒","","","","","","","","","","","","","","","","","","",""
"処女塚古墳","[処女塚古墳（おとめづかこふん）〔神戸市〕1922年3月8日] 処女塚古墳 （おとめづかこふん）は、 兵庫県 神戸市 東灘区 にある 古墳 。形状は 前方後方墳 。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/処女塚古墳","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度42分40.92秒東経135度14分50.59秒","北緯34度42分40.92秒東経135度14分50.59秒﻿ / ﻿北緯34.7113667度 東経135.2473861度﻿ /34.7113667; 135.2473861","兵庫県神戸市東灘区御影塚町2-10","処女塚古墳兵庫県内の位置","4世紀前半","前方後方墳","国の史跡「処女塚古墳」","墳丘長70メートル","山陰系土器","","","","","","","","","","",""
"湊川神社","[楠木正成墓碑（くすのきまさしげぼひ）〔神戸市〕] 湊川神社 （みなとがわじんじゃ）は、 兵庫県 神戸市 中央区 多聞通にある 神社 。祭神は 楠木正成 。地元では親しみを込めて「楠公（なんこう）さん」と呼ばれている。 建武中興十五社 の一社で、 旧社格 は 別格官幣社 で、現在は 神社本庁 の 別表神社 。","https://ja.wikipedia.org/wiki/湊川神社","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度40分53.5秒東経135度10分32秒","北緯34度40分53.5秒東経135度10分32秒﻿ / ﻿北緯34.681528度 東経135.17556度﻿ /34.681528; 135.17556﻿ (湊川神社)座標:北緯34度40分53.5秒東経135度10分32秒﻿ / ﻿北緯34.681528度 東経135.17556度﻿ /34.681528; 135.17556﻿ (湊川神社)","兵庫県神戸市中央区多聞通3丁目1-1","湊川神社","","","","","","","","","","","","","","","","神仏霊場巡拝の道第70番（兵庫第5番）"
"五色塚古墳","[五色塚（千壺）古墳小壺古墳（ごしきづか（せんつぼ）こふん・こつぼこふん）〔神戸市〕1921年3月3日] 五色塚古墳 （ごしきづかこふん、千壺古墳<せんつぼこふん>）は、 兵庫県 神戸市 垂水区 五色山にある 古墳 。形状は 前方後円墳 。国の 史跡 に指定され、出土品は国の 重要文化財 ・神戸市指定有形文化財に指定されている。","https://ja.wikipedia.org/wiki/五色塚古墳","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度37分46.6秒東経135度2分45.08秒","北緯34度37分46.6秒東経135度2分45.08秒﻿ / ﻿北緯34.629611度 東経135.0458556度﻿ /34.629611; 135.0458556座標:北緯34度37分46.6秒東経135度2分45.08秒﻿ / ﻿北緯34.629611度 東経135.0458556度﻿ /34.629611; 135.0458556","兵庫県神戸市垂水区五色山4丁目","五色塚古墳兵庫県内の位置","4世紀末-5世紀初頭","前方後円墳","国の史跡「五色塚（千壺）古墳 小壺古墳」","墳丘長194.0m高さ18.8m（後円部）","円筒埴輪・形象埴輪など","（推定）竪穴式石室","","","","","","千壺古墳","","","",""
"西求女塚古墳","[西求女塚古墳（にしもとめづかこふん）〔神戸市〕2005年3月] 西求女塚古墳 （にしもとめづかこふん）は、 兵庫県 神戸市 灘区 都通にある 古墳 。形状は 前方後方墳 。国の 史跡 に指定され、出土品は国の 重要文化財 に指定されている。","https://ja.wikipedia.org/wiki/西求女塚古墳","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度42分18.38秒東経135度13分35.41秒","北緯34度42分18.38秒東経135度13分35.41秒﻿ / ﻿北緯34.7051056度 東経135.2265028度﻿ /34.7051056; 135.2265028","兵庫県神戸市灘区都通3-1","西求女塚古墳兵庫県内の位置","3世紀後半","前方後方墳","国の史跡「西求女塚古墳」","墳丘長98メートル","三角縁神獣鏡7面ほか多数","","","","","","","","","","",""
"和田岬砲台","[和田岬砲台（わだみさきほうだい）〔神戸市〕1921年3月3日] 和田岬砲台 （わだみさきほうだい）は、 神戸市 兵庫区 にある砲台跡。国指定の 史跡 である。","https://ja.wikipedia.org/wiki/和田岬砲台","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度39分8.5秒 東経135度11分5.6秒","","","","","","","","","","","","","","","","","","",""
"明石城","[明石城跡（あかしじょうあと）〔明石市〕2004年9月30日] 明石城 （あかしじょう）は 日本の城 。所在地は 兵庫県 明石市 明石公園。旧 明石藩 の政庁と 藩主 の居所が置かれた。別名、 喜春城 （きはるじょう、きしゅん-）、 錦江城 （きんこうじょう）とも呼ばれる。","https://ja.wikipedia.org/wiki/明石城","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度39分10.07秒東経134度59分30.47秒","北緯34度39分10.07秒東経134度59分30.47秒﻿ / ﻿北緯34.6527972度 東経134.9917972度﻿ /34.6527972; 134.9917972座標:北緯34度39分10.07秒東経134度59分30.47秒﻿ / ﻿北緯34.6527972度 東経134.9917972度﻿ /34.6527972; 134.9917972","","明石城","","","","","","","","","","","","喜春城、錦江城","","","",""
"大中遺跡","[大中遺跡（おおなかいせき）〔加古郡播磨町〕] 大中遺跡 （おおなかいせき）は、 兵庫県 加古郡 播磨町 に位置する、 弥生終末 （約1900年前）から 古墳時代 初頭（ 邪馬台国 卑弥呼 と同時期）の代表的な 遺跡 の一つで規模の大きな集落跡。 竪穴住居 跡の一部は復元されており、1967年6月22日（昭和42年）には国の 史跡 に指定されている  。","https://ja.wikipedia.org/wiki/大中遺跡","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度43分37.7秒東経134度52分38.2秒","","日本兵庫県加古郡播磨町大中1丁目1番2号","","","","","","","","","","","","","","","","",""
"播州葡萄園跡","[播州葡萄園跡（ばんしゅうぶどうえんあと）〔加古郡稲美町〕] 明治前期の 殖産興業 政策の国家プロジェクトの一つで、 ヨーロッパブドウ の栽培と ワイン の醸造などを目的に 1880年 （明治13年）開設された。開設当初は、順調にブドウが生育していたが、 1885年 （明治18年）、 フィロキセラ による虫害、さらに大雨と台風の被害を受け、甚大な損害を被った。 1888年 （明治21年）に民間に払い下げられた後、 1896年 （明治29年）には廃園状態となった。播州葡萄園に関する資料はほとんど残っていなかったため、長い間、幻のブドウ園であった。1996年（平成8年）、稲美町印南地区の圃場整備中に、多くのレンガなどが出土し、加古川市教育委員会などによる 発掘調査 により、醸造所であったと思われるレンガ積みやガラス瓶などが出土した。現在、「 播州葡萄園歴史の館  」が建設され、当時の関連施設の材木の一部や発掘調査で出土した遺物、写真パネルなどで「幻の」播州葡萄園を紹介している。","https://ja.wikipedia.org/wiki/播州葡萄園跡","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度44分37.5秒 東経134度56分53.6秒","","","","","","","","","","","","","","","","","","",""
"三木城","[三木城跡及び付城跡・土塁（みきじょうあとおよびつけじろあと・どるい）〔三木市〕] 三木城 （みきじょう）は、 播磨国 美嚢郡 三木  （現・ 兵庫県 三木市 上の丸町）にあった 日本の城 。 平山城 。 釜山城 や 別所城 とも呼ばれる。 小寺氏 の 御着城 、 三木氏 の 英賀城 と並び 播磨三大城 と称された。","https://ja.wikipedia.org/wiki/三木城","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度47分59.537秒東経134度59分16.307秒","北緯34度47分59.537秒東経134度59分16.307秒﻿ / ﻿北緯34.79987139度 東経134.98786306度﻿ /34.79987139; 134.98786306","","三木城","","","","","","","","","","","","釜山城・別所城","","","",""
"西条古墳群","[西条古墳群（さいじょうこふんぐん）〔加古川市〕 -尼塚古墳、行者塚古墳、人塚古墳] 西条古墳群 （さいじょうこふんぐん）は、 兵庫県 加古川市 山手にある 古墳群 。3基が国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/西条古墳群","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
