"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","面積","淡水・汽水","成因","周囲長","水面の,標高","最大水深","位置","湖沼型","平均水深","透明度","貯水量","国","人口密度","推計人口"," • 合計","最大都市","流出河川","凍結"
"釜池","[釜池かまいけ富山県不明0.0330-] 釜池 （かまいけ）は、 富山県 上市町 に位置する 池 。面積は約2.4ha。その成因には諸説ある。","https://ja.wikipedia.org/wiki/釜池","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯36度38分34.53秒東経137度25分19.48秒","富山県上市町西種","0.024km2","淡水","諸説あり","0.5km","683  m","30m","北緯36度38分34.53秒東経137度25分19.48秒﻿ / ﻿北緯36.6429250度 東経137.4220778度﻿ /36.6429250; 137.4220778座標:北緯36度38分34.53秒東経137度25分19.48秒﻿ / ﻿北緯36.6429250度 東経137.4220778度﻿ /36.6429250; 137.4220778","諸説あり","- m","- m","","","","","","","",""
"つぶら池","[つぶら池つぶらいけ富山県不明---] つぶら池 （つぶらいけ）は、 富山県 上市町 に位置する 池 。周囲の3つの池の中で最小の面積である。その成因には諸説ある。","https://ja.wikipedia.org/wiki/つぶら池","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯36度38分32.92秒東経137度25分0.17秒","富山県上市町浅生","-km2","淡水","諸説あり","-km","659  m","-m","北緯36度38分32.92秒東経137度25分0.17秒﻿ / ﻿北緯36.6424778度 東経137.4167139度﻿ /36.6424778; 137.4167139座標:北緯36度38分32.92秒東経137度25分0.17秒﻿ / ﻿北緯36.6424778度 東経137.4167139度﻿ /36.6424778; 137.4167139","諸説あり","- m","- m","","","","","","","",""
"ながら池","[ながら池ながらいけ富山県不明---] ながら池 （ながらいけ）は、 富山県 上市町 に位置する 池 。周囲の3つの池の中で最大の面積を持つ。その成因には諸説ある。","https://ja.wikipedia.org/wiki/ながら池","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯36度38分26.10秒東経137度25分4.34秒","富山県上市町浅生","-km2","淡水","諸説あり","-km","668  m","0.7m","北緯36度38分26.10秒東経137度25分4.34秒﻿ / ﻿北緯36.6405833度 東経137.4178722度﻿ /36.6405833; 137.4178722座標:北緯36度38分26.10秒東経137度25分4.34秒﻿ / ﻿北緯36.6405833度 東経137.4178722度﻿ /36.6405833; 137.4178722","諸説あり","- m","- m","","","","","","","",""
"早月川河川敷の水溜り","[早月川河川敷の水溜りはやつきがわかせんじきのみずたまり富山県河跡0.0018--] 早月川河川敷の水溜り （はやつきがわかせんじきのみずたまり）とは、 富山県 滑川市 の 早月川 河川敷 にある 池 （ 三日月湖 ）である。面積は約0.18ha。早月川河川敷の水溜りという名前は、 魚津水族館 の調査書における通称であり、正式な池の名称ではない  。","https://ja.wikipedia.org/wiki/早月川河川敷の水溜り","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯36度47分57.49秒東経137度22分52.05秒","富山県滑川市三ヶ","0.0018km2","淡水","旧河道","0.5km","","-m","北緯36度47分57.49秒東経137度22分52.05秒﻿ / ﻿北緯36.7993028度 東経137.3811250度﻿ /36.7993028; 137.3811250座標:北緯36度47分57.49秒東経137度22分52.05秒﻿ / ﻿北緯36.7993028度 東経137.3811250度﻿ /36.7993028; 137.3811250","三日月湖","- m","- m","","","","","","","",""
"木場潟","[木場潟きばがた石川県海跡1.136.32.2加賀三湖の1つ。] 小松市に存在した。かつては 大和蜆 の産地であったが、前述のとおり干拓された。","https://ja.wikipedia.org/wiki/木場潟","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","","日本石川県小松市","","","潟湖","","","","","","","","","","","","","","",""
"柴山潟","[柴山潟しばやまがた石川県海跡1.924.94.6加賀三湖の1つ。] 小松市に存在した。かつては 大和蜆 の産地であったが、前述のとおり干拓された。","https://ja.wikipedia.org/wiki/柴山潟","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","","日本石川県小松市","","","潟湖","","","","","","","","","","","","","","",""
"河北潟","[河北潟かほくがた石川県海跡4.206.514.7二級河川・大野川水系] 河北潟 （かほくがた）は、 石川県 の中部にある 潟湖 である。 金沢平野 の北部に位置し 金沢市 、 河北郡 内灘町 にまたがる  。古くは蓮湖・大清湖（たいせいこ）とも呼ばれた。潟周辺には約70 km 2 に及ぶ湖岸 平野 が広がる  。","https://ja.wikipedia.org/wiki/河北潟","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯36度38分56秒東経136度40分30秒","日本石川県金沢市、河北郡内灘町","4.20km2","淡水湖","海跡湖","24.8km","0  m","6.5m","北緯36度38分56秒東経136度40分30秒﻿ / ﻿北緯36.64889度 東経136.67500度﻿ /36.64889; 136.67500座標:北緯36度38分56秒東経136度40分30秒﻿ / ﻿北緯36.64889度 東経136.67500度﻿ /36.64889; 136.67500","富栄養湖","","","","","","","","","",""
"邑知潟","[邑知潟おうちがた石川県海跡0.698.0-] 邑知潟 （おうちがた）は 石川県 羽咋市 にある 潟湖 である。","https://ja.wikipedia.org/wiki/邑知潟","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯36度55分27秒東経136度48分50秒","石川県羽咋市","0.7km2","淡水","海跡","","","","北緯36度55分27秒東経136度48分50秒﻿ / ﻿北緯36.92417度 東経136.81389度﻿ /36.92417; 136.81389座標:北緯36度55分27秒東経136度48分50秒﻿ / ﻿北緯36.92417度 東経136.81389度﻿ /36.92417; 136.81389","","","","","","","","","","",""
"北潟湖","[北潟湖きたがたこ福井県・石川県海跡2.1640.0058] 北潟湖 （きたがたこ）は、 福井県 あわら市 と 石川県 加賀市 に跨る、 国道305号 沿いに広がる 湖 。 越前加賀海岸国定公園 の一部である。","https://ja.wikipedia.org/wiki/北潟湖","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯36度16分20秒東経136度14分30秒","日本福井県あわら市・石川県加賀市","2.16km2","汽水","","14km","0.45m","3.7m","北緯36度16分20秒東経136度14分30秒﻿ / ﻿北緯36.27222度 東経136.24167度﻿ /36.27222; 136.24167座標:北緯36度16分20秒東経136度14分30秒﻿ / ﻿北緯36.27222度 東経136.24167度﻿ /36.27222; 136.24167","海跡湖","2.5 m","","","","","","","","",""
"水月湖","[水月湖すいげつこ福井県海跡4.183.40.08三方五湖の1つ。] 三方五湖 （みかたごこ）とは、 福井県 三方郡 美浜町 と同県 三方上中郡 若狭町 にまたがって位置する5つの 湖 の総称で、周囲には梅畑が広がる。国指定の 名勝  で、 若狭湾国定公園 に属する。 2005年 11月8日 付で ラムサール条約 指定湿地に登録されている。 2015年 （平成27年） 4月24日 、「海と都をつなぐ若狭の往来文化遺産群 - 御食国（みけつくに）若狭と鯖街道 - 」の構成文化財として 日本遺産 に認定される  。","https://ja.wikipedia.org/wiki/水月湖","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯35度34分19.9秒 東経135度53分04.0秒","","","","","","","","","","","","","","","","","","",""
"菅湖","[菅湖すがこ福井県海跡0.9113.0-三方五湖の1つ。] 三方五湖 （みかたごこ）とは、 福井県 三方郡 美浜町 と同県 三方上中郡 若狭町 にまたがって位置する5つの 湖 の総称で、周囲には梅畑が広がる。国指定の 名勝  で、 若狭湾国定公園 に属する。 2005年 11月8日 付で ラムサール条約 指定湿地に登録されている。 2015年 （平成27年） 4月24日 、「海と都をつなぐ若狭の往来文化遺産群 - 御食国（みけつくに）若狭と鯖街道 - 」の構成文化財として 日本遺産 に認定される  。","https://ja.wikipedia.org/wiki/菅湖","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯35度34分19.9秒 東経135度53分04.0秒","","","","","","","","","","","","","","","","","","",""
"久々子湖","[久々子湖くぐしこ福井県海跡1.402.50.0027三方五湖の1つ。] 三方五湖 （みかたごこ）とは、 福井県 三方郡 美浜町 と同県 三方上中郡 若狭町 にまたがって位置する5つの 湖 の総称で、周囲には梅畑が広がる。国指定の 名勝  で、 若狭湾国定公園 に属する。 2005年 11月8日 付で ラムサール条約 指定湿地に登録されている。 2015年 （平成27年） 4月24日 、「海と都をつなぐ若狭の往来文化遺産群 - 御食国（みけつくに）若狭と鯖街道 - 」の構成文化財として 日本遺産 に認定される  。","https://ja.wikipedia.org/wiki/久々子湖","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯35度34分19.9秒 東経135度53分04.0秒","","","","","","","","","","","","","","","","","","",""
"日向湖","[日向湖ひるがこ福井県海跡0.9238.50.0136三方五湖の1つ。] 三方五湖 （みかたごこ）とは、 福井県 三方郡 美浜町 と同県 三方上中郡 若狭町 にまたがって位置する5つの 湖 の総称で、周囲には梅畑が広がる。国指定の 名勝  で、 若狭湾国定公園 に属する。 2005年 11月8日 付で ラムサール条約 指定湿地に登録されている。 2015年 （平成27年） 4月24日 、「海と都をつなぐ若狭の往来文化遺産群 - 御食国（みけつくに）若狭と鯖街道 - 」の構成文化財として 日本遺産 に認定される  。","https://ja.wikipedia.org/wiki/日向湖","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯35度34分19.9秒 東経135度53分04.0秒","","","","","","","","","","","","","","","","","","",""
"三方湖","[三方湖みかたこ福井県海跡3.585.80.0048三方五湖の1つ。] 三方五湖 （みかたごこ）とは、 福井県 三方郡 美浜町 と同県 三方上中郡 若狭町 にまたがって位置する5つの 湖 の総称で、周囲には梅畑が広がる。国指定の 名勝  で、 若狭湾国定公園 に属する。 2005年 11月8日 付で ラムサール条約 指定湿地に登録されている。 2015年 （平成27年） 4月24日 、「海と都をつなぐ若狭の往来文化遺産群 - 御食国（みけつくに）若狭と鯖街道 - 」の構成文化財として 日本遺産 に認定される  。","https://ja.wikipedia.org/wiki/三方湖","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯35度34分19.9秒 東経135度53分04.0秒","","","","","","","","","","","","","","","","","","",""
"大沼池","[大沼池おおぬまいけ長野県火山0.2326.20.003] 大沼池 （おおぬまいけ）は 長野県 下高井郡 山ノ内町 の 志賀高原 にある 湖 。 エメラルド グリーン 色の湖水と 大蛇 の伝説（ 黒姫伝説 ）で知られる。","https://ja.wikipedia.org/wiki/大沼池","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"風吹大池","[風吹大池かざふきおおいけ長野県火山0.0875.50.0002] 風吹大池 （かざふきおおいけ）は、 長野県 北安曇郡 小谷村 にある 池 。、定常的な流出河川は無いが、雪解け時期に南東の位置からあふれ出す  。 横前倉山 (1,907m)を最高峰とするのドーム状の地形の西側にあり、周囲を 風吹岳 (1,888m)、 岩菅山 (1,889m)などに囲まれている。湖面標高はおよそ1,775m。南東から北西に長い サツマイモ 状の形をしており、長径約600m、幅約200mほどの大きさである。北東側に 小敷池 、西側の一段高い所には 科鉢池 がある。 北アルプス 山中では、南西5kmの地点にある 白馬大池 と並び、大きな池の一つである。","https://ja.wikipedia.org/wiki/風吹大池","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯36度48分48秒東経137度50分5秒","長野県北安曇郡小谷村","","淡水","堰止湖","","1,775  m","","北緯36度48分48秒東経137度50分5秒﻿ / ﻿北緯36.81333度 東経137.83472度﻿ /36.81333; 137.83472座標:北緯36度48分48秒東経137度50分5秒﻿ / ﻿北緯36.81333度 東経137.83472度﻿ /36.81333; 137.83472","貧栄養湖","","","","","","","","","",""
"白駒の池","[白駒の池しらこまのいけ長野県火山0.118.60.00046] 白駒の池 （ しらこまのいけ ）は、 長野県 南佐久郡 佐久穂町 と 小海町 との境（境界未確定）にある 池 。 北八ヶ岳 のふもとの 八千穂高原 にあり、 紅葉 の名所として知られる。国土地理院の地図では、 「白駒の池」 ではなく「 白駒池 （ しらこまいけ ）」と表記されている。","https://ja.wikipedia.org/wiki/白駒の池","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯36度3分5.1秒東経138度21分43.2秒","長野県南佐久郡佐久穂町・小海町","0.11km2","淡水","堰止湖","1.35km","2,115  m","8.6m","北緯36度3分5.1秒東経138度21分43.2秒﻿ / ﻿北緯36.051417度 東経138.362000度﻿ /36.051417; 138.362000座標:北緯36度3分5.1秒東経138度21分43.2秒﻿ / ﻿北緯36.051417度 東経138.362000度﻿ /36.051417; 138.362000","腐食栄養湖","","5.8 m","","","","","","","",""
"諏訪湖","[諏訪湖すわこ長野県断層12.817.20.063一級河川・天竜川水系。天竜川本流が流出する。出口に釜口水門が設置されている。] 諏訪湖 （すわこ）は、 長野県 岡谷市 、 諏訪市 、 諏訪郡 下諏訪町 にまたがる  湖 。 河川法 では、 天竜川 （ 一級河川 ）水系の一部として扱われる。 湖沼水質保全特別措置法 指定湖沼。","https://ja.wikipedia.org/wiki/諏訪湖","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯36度02分57秒東経138度05分07秒","日本長野県","12.81km2","淡水","構造湖（断層湖）","15.9km","759  m","7.2m","北緯36度02分57秒東経138度05分07秒﻿ / ﻿北緯36.04917度 東経138.08528度﻿ /36.04917; 138.08528座標:北緯36度02分57秒東経138度05分07秒﻿ / ﻿北緯36.04917度 東経138.08528度﻿ /36.04917; 138.08528","富栄養湖","4.7 m","1.3 m","0.063km3","","","","","","",""
"大正池 (松本市)","[大正池たいしょういけ長野県火山0.154.00.00035一級河川・信濃川水系。出口に東京電力霞沢発電所取水堰堤が設置されている。] 大正池 （たいしょういけ）は 長野県 松本市 安曇 にある景勝地で国の 特別名勝 ・ 特別天然記念物 に指定されている 上高地 にある 池 。","https://ja.wikipedia.org/wiki/大正池_(松本市)","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","","","","","","","","","","","","","","","","","","","",""
