"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","開業年月日","駅構造","ホーム","所在地","備考","電報略号","乗車人員,-統計年度-","駅番号","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","種別","起終点","駅数","開業","所有者"
"荻布停留場","荻布停留場（おぎのていりゅうじょう・万葉線高岡軌道線）","https://ja.wikipedia.org/wiki/荻布停留場","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯36度46分1.09秒東経137度2分8.70秒","高岡軌道線","3.8 km（高岡駅起点）","万葉線","1948年（昭和23年）4月10日","地上駅","2面2線","富山県高岡市荻布北緯36度46分1.09秒東経137度2分8.70秒﻿ / ﻿北緯36.7669694度 東経137.0357500度﻿ /36.7669694; 137.0357500座標:北緯36度46分1.09秒東経137度2分8.70秒﻿ / ﻿北緯36.7669694度 東経137.0357500度﻿ /36.7669694; 137.0357500","","","","","","","","","","","",""
"小木ノ城駅","小木ノ城駅（おぎのじょうえき）","https://ja.wikipedia.org/wiki/小木ノ城駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯37度30分55.45秒東経138度42分14.34秒","■越後線","22.7 km（柏崎起点）","東日本旅客鉄道（JR東日本）","1958年（昭和33年）6月25日[1][2]","地上駅[2]","1面1線[1][2]","新潟県三島郡出雲崎町大字小木[1][2]北緯37度30分55.45秒東経138度42分14.34秒座標:北緯37度30分55.45秒 東経138度42分14.34秒","無人駅[1][2]","オヨ","","","","","","","","","",""
"沖松島駅","沖松島駅（おきまつしまえき）","https://ja.wikipedia.org/wiki/沖松島駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯34度20分28.3秒東経134度4分21秒","■志度線","1.9 km（瓦町起点）","高松琴平電気鉄道","1911年（明治44年）11月18日","地上駅","単式ホーム1面1線","香川県高松市福岡町四丁目32番1号北緯34度20分28.3秒東経134度4分21秒﻿ / ﻿北緯34.341194度 東経134.07250度﻿ /34.341194; 134.07250座標:北緯34度20分28.3秒東経134度4分21秒﻿ / ﻿北緯34.341194度 東経134.07250度﻿ /34.341194; 134.07250","無人駅","",""," S03 ","701人/日-2018年-","","","","","","",""
"荻生駅","荻生駅（おぎゅうえき）","https://ja.wikipedia.org/wiki/荻生駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯36度52分30.31秒東経137度27分34.78秒","■本線","38.6 km（電鉄富山起点）","富山地方鉄道","1922年（大正11年）11月5日","地上駅","単式1面1線","富山県黒部市荻生5276北緯36度52分30.31秒東経137度27分34.78秒﻿ / ﻿北緯36.8750861度 東経137.4596611度﻿ /36.8750861; 137.4596611﻿ (荻生駅)座標:北緯36度52分30.31秒東経137度27分34.78秒﻿ / ﻿北緯36.8750861度 東経137.4596611度﻿ /36.8750861; 137.4596611﻿ (荻生駅)","","","","T29","72人/日-2019年-","","","","","","",""
"尾久駅","尾久駅（おくえき・東日本旅客鉄道東北本線）","https://ja.wikipedia.org/wiki/尾久駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯35度44分48.4秒東経139度45分16.7秒","■宇都宮線*（東北本線尾久支線）","2.7 km（日暮里起点）東京から8.4 km","東日本旅客鉄道（JR東日本）","1929年（昭和4年）6月20日","地上駅","1面2線","東京都北区昭和町一丁目2-16北緯35度44分48.4秒東経139度45分16.7秒﻿ / ﻿北緯35.746778度 東経139.754639度﻿ /35.746778; 139.754639座標:北緯35度44分48.4秒東経139度45分16.7秒﻿ / ﻿北緯35.746778度 東経139.754639度﻿ /35.746778; 139.754639","直営駅東京都区内駅","オク←ヲク","10,360人/日（降車客含まず）-2019年-","JU03","","","","","","","",""
"邑久駅","邑久駅（おくえき・西日本旅客鉄道赤穂線）","https://ja.wikipedia.org/wiki/邑久駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯34度40分6.7秒東経134度5分28.20秒","N赤穂線","45.9km（相生起点）播州赤穂から35.4 km","西日本旅客鉄道（JR西日本）","1962年（昭和37年）9月1日","地上駅","1面1線","岡山県瀬戸内市邑久町山田庄186-3北緯34度40分6.7秒東経134度5分28.20秒﻿ / ﻿北緯34.668528度 東経134.0911667度﻿ /34.668528; 134.0911667座標:北緯34度40分6.7秒東経134度5分28.20秒﻿ / ﻿北緯34.668528度 東経134.0911667度﻿ /34.668528; 134.0911667","業務委託駅みどりの窓口有","オク","1,840人/日（降車客含まず）-2019年-","JR-N08","","","","","","","",""
"奥阿仁駅","奥阿仁駅（おくあにえき）","https://ja.wikipedia.org/wiki/奥阿仁駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯39度54分40.40秒東経140度29分19.64秒","■秋田内陸線","49.7 km（鷹巣起点）","秋田内陸縦貫鉄道","1989年（平成元年）4月1日","地上駅","1面1線","秋田県北秋田市阿仁戸鳥内字小倉岱北緯39度54分40.40秒東経140度29分19.64秒﻿ / ﻿北緯39.9112222度 東経140.4887889度﻿ /39.9112222; 140.4887889座標:北緯39度54分40.40秒東経140度29分19.64秒﻿ / ﻿北緯39.9112222度 東経140.4887889度﻿ /39.9112222; 140.4887889","無人駅","","","","1人/日-2018年-","","","","","","",""
"奥泉駅","奥泉駅（おくいずみえき）","https://ja.wikipedia.org/wiki/奥泉駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯35度8分58.91秒東経138度8分51.89秒","井川線","7.5 km（千頭起点）","大井川鐵道","1959年（昭和34年）8月1日","地上駅","1面2線","静岡県榛原郡川根本町奥泉北緯35度8分58.91秒東経138度8分51.89秒﻿ / ﻿北緯35.1496972度 東経138.1477472度﻿ /35.1496972; 138.1477472座標:北緯35度8分58.91秒東経138度8分51.89秒﻿ / ﻿北緯35.1496972度 東経138.1477472度﻿ /35.1496972; 138.1477472","標高369m","","46人/日（降車客含まず）-2019年-","","57人/日-2019年-","","","","","","",""
"奥大井湖上駅","奥大井湖上駅（おくおおいこじょうえき）","https://ja.wikipedia.org/wiki/奥大井湖上駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯35度10分4.18秒東経138度10分50.76秒","井川線","13.9 km（千頭起点）","大井川鐵道","1990年（平成2年）10月2日","地上駅","1面1線","静岡県榛原郡川根本町梅地北緯35度10分4.18秒東経138度10分50.76秒﻿ / ﻿北緯35.1678278度 東経138.1807667度﻿ /35.1678278; 138.1807667座標:北緯35度10分4.18秒東経138度10分50.76秒﻿ / ﻿北緯35.1678278度 東経138.1807667度﻿ /35.1678278; 138.1807667","終日駅員無配置（無人駅）標高490m","","31人/日（降車客含まず）-2019年-","","79人/日-2019年-","","","","","","",""
"奥沢駅","奥沢駅（おくさわえき）","https://ja.wikipedia.org/wiki/奥沢駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯35度36分13.8秒東経139度40分20.3秒","■目黒線","5.5 km（目黒起点）","東急電鉄","1923年（大正12年）3月11日[1]","地上駅","2面3線","東京都世田谷区奥沢三丁目47番17号北緯35度36分13.8秒東経139度40分20.3秒﻿ / ﻿北緯35.603833度 東経139.672306度﻿ /35.603833; 139.672306座標:北緯35度36分13.8秒東経139度40分20.3秒﻿ / ﻿北緯35.603833度 東経139.672306度﻿ /35.603833; 139.672306","東急レールウェイサービス業務委託駅","","","MG07","9,800人/日-2020年-","","","","","","",""
"小串郷駅","小串郷駅（おぐしごうえき）","https://ja.wikipedia.org/wiki/小串郷駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯33度3分49.37秒東経129度50分3.9秒","大村線","9.6 km（早岐起点）","九州旅客鉄道（JR九州）","1944年（昭和19年）10月21日","地上駅","1面1線","長崎県東彼杵郡川棚町小串郷1480北緯33度3分49.37秒東経129度50分3.9秒﻿ / ﻿北緯33.0637139度 東経129.834417度﻿ /33.0637139; 129.834417﻿ (小串郷駅)","簡易委託駅","クシ←オクシ","77人/日（降車客含まず）-2016年-","","164人/日-2016年-","","","","","","",""
"奥田駅","奥田駅（おくだえき）","https://ja.wikipedia.org/wiki/奥田駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯35度14分7秒東経136度48分40秒","名古屋本線","78.8 km（豊橋起点）","名古屋鉄道","1928年（昭和3年）2月3日","地上駅","2面2線","愛知県稲沢市奥田大門町木之内2195-4北緯35度14分7秒東経136度48分40秒﻿ / ﻿北緯35.23528度 東経136.81111度﻿ /35.23528; 136.81111座標:北緯35度14分7秒東経136度48分40秒﻿ / ﻿北緯35.23528度 東経136.81111度﻿ /35.23528; 136.81111","無人駅（駅集中管理システム導入駅）","","","NH  46 ","2,456人/日-2019年[1]-","","","","","","",""
"奥田中学校前駅","奥田中学校前駅（おくだちゅうがっこうまええき）","https://ja.wikipedia.org/wiki/奥田中学校前駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯36度42分12.7秒東経137度13分24.8秒","■富山港線","1.2 km（富山駅起点）","富山地方鉄道","2006年（平成18年）4月29日","地上駅","2面2線","富山県富山市永楽町32北緯36度42分12.7秒東経137度13分24.8秒﻿ / ﻿北緯36.703528度 東経137.223556度﻿ /36.703528; 137.223556﻿ (奥田中学校前駅)座標:北緯36度42分12.7秒東経137度13分24.8秒﻿ / ﻿北緯36.703528度 東経137.223556度﻿ /36.703528; 137.223556﻿ (奥田中学校前駅)","","","","C29","436[1]人/日-2019年-","","","","","","",""
"奥多摩駅","奥多摩駅（おくたまえき）","https://ja.wikipedia.org/wiki/奥多摩駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯35度48分33.2秒東経139度5分48秒","■青梅線（東京アドベンチャーライン）","37.2 km（立川起点）","東日本旅客鉄道（JR東日本）","1944年（昭和19年）7月1日[2]","地上駅","1面2線[1]","東京都西多摩郡奥多摩町氷川210北緯35度48分33.2秒東経139度5分48秒座標:北緯35度48分33.2秒 東経139度5分48秒","業務委託駅*1971年に氷川駅から改称。","タマ←ヒワ（改称前）","866人/日（降車客含まず）-2019年-","JC74","","","","","","","",""
"奥町駅","奥町駅（おくちょうえき）","https://ja.wikipedia.org/wiki/奥町駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯35度19分27.8秒東経136度45分39.8秒","尾西線","29.4 km（弥富起点）","名古屋鉄道","1914年（大正3年）8月4日","地上駅","1面1線","愛知県一宮市奥町南目草30の1北緯35度19分27.8秒東経136度45分39.8秒﻿ / ﻿北緯35.324389度 東経136.761056度﻿ /35.324389; 136.761056座標:北緯35度19分27.8秒東経136度45分39.8秒﻿ / ﻿北緯35.324389度 東経136.761056度﻿ /35.324389; 136.761056","無人駅管理駅：名鉄一宮","","","BS  23 ","4,991人/日-2019年[1]-","","","","","","",""
"奥津軽いまべつ駅","奥津軽いまべつ駅（おくつがるいまべつえき）","https://ja.wikipedia.org/wiki/奥津軽いまべつ駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯41度8分42.3秒東経140度30分55.6秒","北海道新幹線","38.5 km（新青森起点）東京から752.2 km","北海道旅客鉄道（JR北海道）","2016年（平成28年）3月26日[1][2][報道 1][報道 2]","地上駅","2面2線[1]","青森県東津軽郡今別町大字大川平字清川91-1[1]北緯41度8分42.3秒東経140度30分55.6秒﻿ / ﻿北緯41.145083度 東経140.515444度﻿ /41.145083; 140.515444﻿ (奥津軽いまべつ駅)座標:北緯41度8分42.3秒東経140度30分55.6秒﻿ / ﻿北緯41.145083度 東経140.515444度﻿ /41.145083; 140.515444﻿ (奥津軽いまべつ駅)","* 旅客設備なし。新幹線駅舎の外側に狭軌の待避線が上下各2線ずつ設けられている。","ルオ","28人/日（降車客含まず）-2018年-","","","東日本旅客鉄道（JR東日本）津軽線津軽二股駅","","","","","",""
"奥洞海駅","奥洞海駅（おくどうかいえき）","https://ja.wikipedia.org/wiki/奥洞海駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯33度53分21.01秒東経130度45分53.75秒","JE筑豊本線（若松線）","4.6 km（若松起点）","九州旅客鉄道（JR九州）","1962年（昭和37年）11月1日*[2]","地上駅","2面2線[1]","北九州市若松区赤岩町[1]9-1北緯33度53分21.01秒東経130度45分53.75秒﻿ / ﻿北緯33.8891694度 東経130.7649306度﻿ /33.8891694; 130.7649306﻿ (奥洞海駅)","無人駅駅集中管理システム（Smart Support Station）採用北九州市内駅","トカ","335人/日（降車客含まず）-2019年-","JE  04 ","","","","","","","",""
"奥内駅","奥内駅（おくないえき）","https://ja.wikipedia.org/wiki/奥内駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯40度54分11.03秒東経140度40分20.41秒","■津軽線","11.5 km（青森起点）","東日本旅客鉄道（JR東日本）","1951年（昭和26年）12月5日[1]","地上駅","2面2線[1]","青森県青森市大字清水字浜元[1]北緯40度54分11.03秒東経140度40分20.41秒﻿ / ﻿北緯40.9030639度 東経140.6723361度﻿ /40.9030639; 140.6723361座標:北緯40度54分11.03秒東経140度40分20.41秒﻿ / ﻿北緯40.9030639度 東経140.6723361度﻿ /40.9030639; 140.6723361","無人駅[1]","オク","86人/日（降車客含まず）-2004年-","","","","","","","","",""
"奥中山高原駅","奥中山高原駅（おくなかやまこうげんえき）","https://ja.wikipedia.org/wiki/奥中山高原駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯40度3分57.91秒東経141度13分42.65秒","■いわて銀河鉄道線","44.4km（盛岡起点）東京から579.7 km","IGRいわて銀河鉄道","1891年（明治24年）9月1日","地上駅","2面3線","岩手県二戸郡一戸町中山字大塚76-3北緯40度3分57.91秒東経141度13分42.65秒座標:北緯40度3分57.91秒 東経141度13分42.65秒","社員配置駅","ナヤ","","","329人/日-2019年-","","","","","","",""
"小国駅","小国駅（おぐにえき）","https://ja.wikipedia.org/wiki/小国駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯38度3分40.92秒東経139度45分0.36秒","■米坂線","58.3 km（米沢起点）","東日本旅客鉄道（JR東日本）","1935年（昭和10年）10月30日","地上駅","2面3線","山形県西置賜郡小国町大字岩井沢北緯38度3分40.92秒東経139度45分0.36秒座標:北緯38度3分40.92秒 東経139度45分0.36秒","直営駅（管理駅）みどりの窓口有","オク←ヲク","124人/日（降車客含まず）-2019年-","","","","","","","","",""
"奥新川駅","奥新川駅（おくにっかわえき）","https://ja.wikipedia.org/wiki/奥新川駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯38度19分33.43秒東経140度35分39.57秒","■仙山線","33.8 km（仙台起点）","東日本旅客鉄道（JR東日本）","1937年11月10日[1]","地上駅","2面2線[1]","仙台市青葉区新川字岳山1北緯38度19分33.43秒東経140度35分39.57秒座標:北緯38度19分33.43秒 東経140度35分39.57秒","無人駅[1]（乗車駅証明書発行機 有）仙台市内駅","オク","16人/日（降車客含まず）-2007年-","","","","","","","","",""
